ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/01/20,40.00,45.30,40.00,45.25,0.00,0.00,,,,,,0.0000,,0,,,,,,,,12,,,,,0,,,,,,0,,,
2011/01/21,46.30,57.00,46.30,56.83,11.58,25.5912,,,,,,24.0000,,0,,,,,,,,24,,,,,0,,,,,,0,,,
2011/01/25,58.90,60.00,58.90,60.00,3.17,5.578,,,,,,27.0000,,0,,,,,,,,3,,,,,0,,,,,,0,,,
2011/01/26,60.50,63.15,60.50,63.15,3.15,5.25,,,,,,32.0000,,0,,,,,,,,5,,,,,0,,,,,,0,,,
2011/01/27,63.15,69.45,63.15,69.45,6.30,9.9762,58.9360,,,,,39.0000,,0,0,,,,,,,7,10,,,,0,0,,,,,0,0,,
2011/01/28,69.45,71.50,69.45,71.50,2.05,2.9518,64.1860,,,,,43.0000,,0,0,,,,,,,4,8,,,,0,0,,,,,0,0,,
2011/02/08,72.00,73.50,72.00,73.50,2.00,2.7972,67.5200,,,,,47.0000,,0,0,,100.0000,,,,,4,4,,,,0,0,,,,,0,0,,
2011/02/09,72.00,75.75,72.00,75.75,2.25,3.0612,70.6700,,,,,50.0000,,0,0,,100.0000,,,,,3,4,,,,0,0,,,,,0,0,,
2011/02/10,76.80,79.00,76.00,76.00,0.25,0.33,73.2400,,,,,63.0000,,0,0,,100.0000,,92.3077,64.1026,54.7009,13,6,64.1026,54.7009,82.9060,0,0,,,,,0,0,,
2011/02/11,76.00,78.00,74.10,74.10,-1.90,-2.50,74.1700,66.5530,,,,58.0000,38.3000,0,0,0,90.5091,,85.0153,71.0735,60.1584,5,5,71.0735,60.1584,92.9036,0,0,0,,,,0,0,0,
2011/02/14,73.50,73.50,66.50,71.50,-2.60,-3.5088,74.1700,69.1780,,,,40.0000,42.3000,0,0,0,78.3052,,62.6866,68.2778,62.8649,18,8,68.2778,62.8649,79.1038,0,0,0,,,,0,0,0,
2011/02/25,70.00,70.00,70.00,70.00,-1.50,-2.0979,73.4700,70.4950,,,,39.0000,43.8000,0,0,0,71.6197,,51.3514,62.6357,62.7885,1,8,62.6357,62.7885,62.3301,0,0,0,,,,0,0,0,
2011/03/07,70.00,70.00,70.00,70.00,0.00,0.00,72.3200,71.4950,,,,39.0000,45.0000,0,0,0,71.6197,83.6735,43.2177,56.1630,60.5800,1,7,56.1630,60.5800,47.3290,0,0,0,,,,0,0,0,
2011/03/30,66.50,68.00,66.50,68.00,-2.00,-2.8571,70.7200,71.9800,,,,35.0000,45.3000,0,0,0,61.5328,78.9842,12.0000,41.4420,54.2007,4,5,41.4420,54.2007,15.9247,0,0,0,,,,0,0,0,
2011/04/01,68.00,68.00,68.00,68.00,0.00,0.00,69.5000,71.8350,,,,35.0000,44.9000,0,0,0,61.5328,78.9842,12.0000,31.6280,46.6764,1,5,31.6280,46.6764,1.5311,0,0,0,,,,0,0,0,
2011/04/06,68.00,68.00,68.00,68.00,0.00,0.00,68.8000,71.4850,,,,35.0000,44.1000,0,0,0,61.5328,78.9842,12.0000,25.0853,39.4794,1,1,25.0853,39.4794,-3.7028,0,0,0,,,,0,0,0,
2011/04/15,65.00,65.00,65.00,65.00,-3.00,-4.4118,67.8000,70.6350,,,,34.0000,42.8000,0,0,0,45.0772,71.2124,0.0000,16.7236,31.8941,1,1,16.7236,31.8941,-13.6176,0,0,0,,,,0,0,0,
2011/04/19,64.50,64.50,64.50,64.50,-0.50,-0.7692,66.7000,69.5100,,,,32.0000,41.0000,0,0,0,42.7886,69.9607,0.0000,11.1490,24.9791,2,1,11.1490,24.9791,-16.5111,0,0,0,,,,0,0,0,
2011/04/20,65.00,65.00,65.00,65.00,0.50,0.7752,66.1000,68.4100,,,,33.0000,38.0000,0,0,0,46.0740,70.5259,5.5556,9.2845,19.7476,1,1,9.2845,19.7476,-11.6415,0,0,0,,,,0,0,0,
2011/04/27,65.00,65.00,65.00,65.00,0.00,0.00,65.5000,67.5000,67.0265,,,33.0000,35.5000,0,0,0,46.0740,70.5259,9.0909,9.2200,16.2384,2,1,9.2200,16.2384,-4.8168,0,0,0,,,,0,0,0,
2011/05/17,63.00,64.00,63.00,64.00,-1.00,-1.5385,64.7000,66.7500,67.9640,,,31.0000,34.6000,0,0,0,39.5354,67.5032,14.2857,10.9086,14.4618,2,1,10.9086,14.4618,3.8022,0,0,0,,,,0,0,0,
2011/06/15,65.00,65.00,65.00,65.00,1.00,1.5625,64.7000,66.2500,68.3725,,,32.0000,33.9000,0,0,0,48.3340,68.9547,40.0000,20.6057,16.5098,1,1,20.6057,16.5098,28.7976,0,0,0,,,,0,0,0,
2011/06/27,65.00,65.00,65.00,65.00,0.00,0.00,64.8000,65.7500,68.6225,,,32.0000,33.2000,0,0,0,48.3340,68.9547,40.0000,27.0705,20.0300,1,1,27.0705,20.0300,41.1514,0,0,0,,,,0,0,0,
2011/07/04,65.00,65.26,65.00,65.26,0.26,0.40,64.8520,65.4760,68.7280,,,38.0000,33.5000,0,0,0,51.0034,69.3779,45.2000,33.1137,24.3912,6,2,33.1137,24.3912,50.5585,0,0,0,,,,0,0,0,
2011/07/05,67.89,70.50,67.89,70.50,5.24,8.0294,65.9520,65.7260,68.7805,,,46.0000,34.6000,0,0,0,78.2193,76.4396,100.0000,55.4091,34.7305,8,3,55.4091,34.7305,96.7663,0,0,0,,,,0,0,0,
2011/07/06,71.57,73.68,71.57,73.68,3.18,4.5106,67.8880,66.2940,68.8895,,,52.0000,36.3000,0,0,0,84.4923,79.5602,100.0000,70.2727,46.5779,6,4,70.2727,46.5779,117.6624,0,0,0,,0.7373,,0,0,0,
2011/07/08,73.68,73.68,73.68,73.68,0.00,0.00,69.6240,67.1620,68.8985,,,52.0000,38.1000,0,0,0,84.4923,79.5602,100.0000,80.1818,57.7792,2,4,80.1818,57.7792,124.9870,0,0,0,,1.1787,,0,0,0,
2011/07/12,71.00,71.00,71.00,71.00,-2.68,-3.6374,70.8240,67.8120,68.6610,,,51.0000,40.0000,0,0,0,62.6090,70.2306,74.9064,78.4233,64.6606,1,4,78.4233,64.6606,105.9488,0,0,0,,1.2973,,0,0,0,
2011/07/13,71.00,72.00,71.00,72.00,1.00,1.4085,72.1720,68.5120,68.4610,,,55.0000,42.2000,0,0,0,66.4946,71.5868,84.2697,80.3721,69.8978,4,4,80.3721,69.8978,101.3208,0,0,0,,1.4552,,0,0,0,
2011/07/20,72.63,72.63,72.63,72.63,0.63,0.875,72.5980,69.2750,68.3875,,,59.0000,44.8000,0,0,0,68.9351,72.4495,87.9032,82.8825,74.2260,4,3,82.8825,74.2260,100.1954,0,0,0,,1.6126,,0,0,0,
2011/08/23,70.00,70.00,70.00,70.00,-2.63,-3.6211,71.8620,69.8750,68.3125,,,58.0000,47.5000,0,0,0,50.5059,63.6490,57.6037,74.4562,74.3027,1,2,74.4562,74.3027,74.7632,0,0,0,,1.5077,,0,0,0,
2011/08/25,69.00,69.00,69.00,69.00,-1.00,-1.4286,70.9260,70.2750,68.2625,,,57.0000,50.0000,0,0,0,45.0150,60.5959,46.0829,64.9985,71.2013,1,2,64.9985,71.2013,52.5928,0,0,0,,1.3286,,0,0,0,
2011/09/02,69.00,69.00,69.00,69.00,0.00,0.00,70.5260,70.6750,68.2125,,,57.0000,52.5000,0,0,0,45.0150,60.5959,19.1710,49.7226,64.0418,1,2,49.7226,64.0418,21.0844,0,0,0,,1.1731,,0,0,0,
2011/09/14,65.00,65.00,64.00,64.00,-5.00,-7.2464,68.9260,70.5490,68.0125,,,53.0000,54.0000,0,0,0,25.2499,47.1405,0.0000,33.1484,53.7440,4,2,33.1484,53.7440,-8.0427,0,0,0,-1.1506,0.6391,1.2144,0,0,0,
2011/09/16,64.21,64.21,64.21,64.21,0.21,0.3281,67.2420,69.9200,67.8230,,,58.0000,55.2000,0,0,0,26.8683,47.6729,2.1694,22.8221,43.4367,5,2,22.8221,43.4367,-18.4071,0,0,0,-1.5748,0.2301,1.0175,0,0,0,
2011/09/20,61.00,61.00,60.00,60.00,-4.21,-6.5566,65.2420,68.5520,67.4230,,,54.0000,55.4000,0,0,0,17.6667,39.0677,0.0000,15.2147,34.0294,4,3,15.2147,34.0294,-22.4145,0,0,0,-2.3140,-0.4287,0.7283,0,0,0,
2011/09/21,56.00,56.00,56.00,56.00,-4.00,-6.6667,62.6420,66.7840,66.9730,,,53.0000,55.5000,0,0,0,12.7056,32.9104,0.0000,10.1432,26.0673,1,3,10.1432,26.0673,-21.7051,0,0,0,-3.1798,-1.2591,0.3308,0,0,0,
2011/09/22,60.10,60.10,60.10,60.10,4.10,7.3214,60.8620,65.6940,66.7530,,,54.0000,55.8000,0,0,0,35.1166,42.9623,24.6542,14.9802,22.3716,1,3,14.9802,22.3716,0.1974,0,0,0,-3.0386,-1.5683,-0.0490,0,0,0,
2011/09/27,60.00,60.00,58.00,58.00,-2.10,-3.4942,59.6620,64.2940,66.4030,,,49.0000,55.2000,0,0,0,30.3306,39.6434,14.2857,14.7487,19.8306,5,3,14.7487,19.8306,4.5848,0,0,0,-3.0579,-1.9602,-0.4312,0,0,0,
2011/09/29,57.80,57.80,57.80,57.80,-0.20,-0.3448,58.3800,62.8110,66.0430,,,48.0000,54.1000,0,0,0,29.8654,39.3278,13.8462,14.4478,18.0364,1,2,14.4478,18.0364,7.2708,0,0,0,-2.9273,-2.2608,-0.7972,0,0,0,
2011/09/30,56.50,56.50,56.00,56.00,-1.80,-3.1142,57.5800,61.4110,65.6430,,,45.0000,52.8000,0,0,0,25.6215,36.4763,0.0000,9.6319,15.2349,3,2,9.6319,15.2349,-1.5741,0,0,0,-2.9073,-2.6142,-1.1606,0,0,0,
2011/10/07,54.73,54.73,54.73,54.73,-1.27,-2.2679,57.3260,59.9840,65.1295,,,44.0000,51.5000,0,0,0,22.8699,34.5483,0.0000,6.4213,12.2970,1,2,6.4213,12.2970,-5.3302,0,0,0,-2.8832,-2.9626,-1.5210,0,0,0,
2011/10/18,52.50,52.50,52.50,52.50,-2.23,-4.0745,55.8060,58.3340,64.5045,,,42.0000,50.0000,0,0,0,18.6498,31.3719,0.0000,4.2808,9.6250,2,2,4.2808,9.6250,-6.4074,0,0,0,-2.9739,-3.3797,-1.8927,0,0,0,
2011/10/19,52.50,52.50,52.50,52.50,0.00,0.00,54.7060,57.1840,63.8665,,,42.0000,48.9000,0,0,0,18.6498,31.3719,0.0000,2.8539,7.3679,4,2,2.8539,7.3679,-6.1742,0,0,0,-2.8403,-3.6679,-2.2478,0,0,0,
2011/10/21,52.50,52.50,52.50,52.50,0.00,0.00,53.6460,56.0130,62.9665,,,42.0000,47.3000,0,0,0,18.6498,31.3719,0.0000,1.9026,5.5462,4,2,1.9026,5.5462,-5.3845,0,0,0,-2.5667,-3.8520,-2.5686,0,0,0,
2011/10/28,52.00,52.00,52.00,52.00,-0.50,-0.9524,52.8460,55.2130,61.8825,,,41.0000,46.0000,0,0,0,17.4054,30.5541,0.0000,1.2684,4.1202,1,2,1.2684,4.1202,-4.4353,0,0,0,-2.2777,-3.9921,-2.8533,0,0,0,
2011/10/31,54.50,54.50,54.50,54.50,2.50,4.8077,52.8000,55.0630,60.9235,,,43.0000,45.0000,0,0,0,41.0184,39.1987,31.2500,11.2623,6.5009,2,2,11.2623,6.5009,20.7850,0,0,0,-1.6060,-3.8570,-3.0541,0,0,0,
2011/11/07,54.60,54.60,54.60,54.60,0.10,0.1835,53.2200,54.5130,60.1035,,,45.0000,44.1000,0,0,0,41.8168,39.5271,44.8276,22.4507,11.8175,2,2,22.4507,11.8175,43.7171,0,0,0,-1.0324,-3.6993,-3.1831,0,0,0,
2011/11/17,53.00,53.50,53.00,53.20,-1.40,-2.5641,53.3600,54.0330,59.1635,,,41.0000,43.3000,0,0,0,34.0688,36.5143,26.6667,23.8560,15.8303,4,2,23.8560,15.8303,39.9074,0,0,0,-0.7393,-3.6452,-3.2755,0,0,0,
2011/11/18,52.80,52.80,52.80,52.80,-0.40,-0.7519,53.4200,53.5330,58.1720,,,39.0000,42.4000,0,0,0,32.0339,35.6670,29.3040,25.6720,19.1109,2,2,25.6720,19.1109,38.7943,0,0,0,-0.5083,-3.5932,-3.3390,0,0,0,
2011/12/08,55.00,55.00,55.00,55.00,2.20,4.1667,54.0200,53.4330,57.4220,,,40.0000,41.9000,0,0,0,51.2517,43.5297,100.0000,50.4480,29.5566,1,2,50.4480,29.5566,92.2308,0,0,0,0.0049,-3.3360,-3.3384,0,0,0,
2011/12/09,54.72,54.72,54.72,54.72,-0.28,-0.5091,54.0640,53.4320,56.7080,,,38.0000,41.3000,0,0,0,49.1301,42.8033,90.6667,63.8542,40.9892,2,2,63.8542,40.9892,109.5844,0,0,0,0.3514,-3.1188,-3.2945,0,0,0,
