ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/27,101.00,104.00,101.00,102.50,0.00,0.00,,,,,,0.0000,,89,,,,,,,,214,,,,,0,,,,,,89,,,
2012/06/28,103.50,104.00,101.50,102.00,-0.50,-0.4878,,,,,,-174.0000,,86,,,,,,,,174,,,,,0,,,,,,86,,,
2012/06/29,101.00,103.00,101.00,102.50,0.50,0.4902,,,,,,-47.0000,,93,,,,,,,,127,,,,,0,,,,,,93,,,
2012/07/02,103.50,107.00,103.50,105.00,2.50,2.439,,,,,,291.0000,,100,,,,,,,,338,,,,,0,,,,,,100,,,
2012/07/03,105.00,107.00,104.50,105.50,0.50,0.4762,103.5000,,,,,522.0000,,101,94,,,,,,,231,216,,,,0,0,,,,,101,94,,
2012/07/04,106.00,109.50,105.50,109.00,3.50,3.3175,104.8000,,,,,1051.0000,,103,97,,,,,,,529,279,,,,0,0,,,,,103,97,,
2012/07/05,109.50,109.50,106.00,107.00,-2.00,-1.8349,105.8000,,,,,736.0000,,84,97,,73.6842,,,,,315,308,,,,0,0,,,,,84,97,,
2012/07/06,106.00,107.00,104.50,105.00,-2.00,-1.8692,106.3000,,,,,471.0000,,77,94,,58.8235,,,,,265,335,,,,0,0,,,,,77,94,,
2012/07/09,104.00,105.50,103.50,104.50,-0.50,-0.4762,106.2000,,,,,378.0000,,77,89,,55.4675,,41.1765,47.0588,49.0196,93,286,47.0588,49.0196,43.1373,0,0,,,,,77,89,,
2012/07/10,105.00,105.00,101.00,102.00,-2.50,-2.3923,105.5000,104.5000,,,,130.0000,335.8000,71,83,89,41.3223,,11.7647,35.2941,44.4444,248,290,35.2941,44.4444,16.9935,0,0,0,,,,71,83,89,
2012/07/11,101.00,104.50,101.00,103.00,1.00,0.9804,104.3000,104.5500,,,,259.0000,361.7000,71,77,87,47.7216,,23.5294,31.3725,40.0871,129,210,31.3725,40.0871,13.9434,44,9,4,,,,116,85,91,
2012/07/12,103.00,103.50,101.00,101.00,-2.00,-1.9417,103.1000,104.4500,,,,150.0000,394.1000,71,74,85,37.8220,,0.0000,20.9150,33.6964,109,168,20.9150,33.6964,-4.6478,0,9,4,,,,71,83,90,
2012/07/13,101.00,102.00,99.00,99.10,-1.90,-1.8812,101.9200,104.1100,,,,-22.0000,396.6000,77,74,84,30.5883,41.2371,0.9524,14.2608,27.2179,172,150,14.2608,27.2179,-11.6534,0,9,4,,,,77,83,88,
2012/07/16,100.00,100.00,98.80,99.10,0.00,0.00,100.8400,103.5200,,,,-22.0000,365.3000,65,72,80,30.5883,41.2371,2.8037,10.4418,21.6259,69,145,10.4418,21.6259,-11.9264,0,9,4,,,,65,80,85,
2012/07/17,98.10,102.00,98.10,102.00,2.90,2.9263,100.8400,103.1700,,,,172.0000,330.3000,77,73,78,51.1310,50.1121,34.2105,18.3647,20.5388,194,134,18.3647,20.5388,14.0165,0,9,4,,,,77,82,82,
2012/07/18,102.00,102.00,100.00,100.00,-2.00,-1.9608,100.2400,102.2700,,,,90.0000,234.2000,79,74,75,41.0715,44.9990,21.3483,19.3592,20.1456,82,125,19.3592,20.1456,17.7865,0,0,4,,,,79,74,80,
2012/07/19,101.50,103.00,101.00,101.00,1.00,1.00,100.2400,101.6700,,,,177.0000,178.3000,82,77,75,47.2932,47.8987,39.1892,25.9692,22.0868,87,120,25.9692,22.0868,33.7340,0,0,4,,,,82,77,80,
2012/07/20,101.50,102.50,101.00,101.50,0.50,0.495,100.7200,101.3200,,,,229.0000,154.1000,87,79,76,50.4332,49.3551,49.2754,33.7379,25.9705,52,96,33.7379,25.9705,49.2728,0,0,4,,,,87,79,81,
2012/07/23,101.00,101.50,99.00,99.70,-1.80,-1.7734,100.8400,100.8400,,,,135.0000,129.8000,87,83,77,40.1103,44.4729,25.0000,30.8253,27.5888,94,101,30.8253,27.5888,37.2983,0,0,4,,,,87,83,82,
2012/07/24,98.00,99.40,96.60,98.10,-1.60,-1.6048,100.0600,100.4500,102.4750,,,-14.0000,115.4000,82,84,78,32.9224,40.5803,21.7391,27.7966,27.6580,149,92,27.7966,27.6580,28.0736,0,0,4,,,,82,84,83,
