ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2014/08/29,71.99,87.80,71.99,87.79,0.00,0.00,,,,,,0.0000,,0,,,,,,,,63,,,,,0,,,,,,0,,,
2014/09/01,87.00,87.45,83.41,87.40,-0.39,-0.4442,,,,,,-27.0000,,0,,,,,,,,27,,,,,0,,,,,,0,,,
2014/09/02,87.45,93.00,87.45,93.00,5.60,6.4073,,,,,,-3.0000,,0,,,,,,,,24,,,,,0,,,,,,0,,,
2014/09/03,89.30,89.98,84.55,85.00,-8.00,-8.6022,,,,,,-25.0000,,0,,,,,,,,22,,,,,0,,,,,,0,,,
2014/09/05,83.00,83.00,81.70,81.70,-3.30,-3.8824,86.9780,,,,,-31.0000,,0,0,,,,,,,6,28,,,,0,0,,,,,0,0,,
2014/09/10,81.00,82.00,81.00,82.00,0.30,0.3672,85.8200,,,,,-27.0000,,0,0,,,,,,,4,16,,,,0,0,,,,,0,0,,
2014/09/11,79.80,80.00,79.80,80.00,-2.00,-2.439,84.3400,,,,,-38.0000,,0,0,,30.1174,,,,,11,13,,,,0,0,,,,,0,0,,
2014/09/12,78.00,79.00,78.00,79.00,-1.00,-1.25,81.5400,,,,,-44.0000,,0,0,,28.3790,,,,,6,9,,,,0,0,,,,,0,0,,
2014/09/15,76.97,78.00,76.52,77.00,-2.00,-2.5316,79.9400,,,,,-63.0000,,0,0,,24.9261,,23.8458,41.2819,47.0940,19,9,41.2819,47.0940,29.6578,0,0,,,,,0,0,,
2014/09/16,76.56,77.00,76.56,77.00,0.00,0.00,79.0000,82.9890,,,,-63.0000,-32.1000,0,0,0,24.9261,,2.9126,28.4922,40.8934,8,9,28.4922,40.8934,3.6897,0,0,0,,,,0,0,0,
