ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2015/03/30,60.00,62.10,57.50,59.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,19,,,,,0,,,,,,0,,,
2015/03/31,58.90,58.90,55.00,55.80,-3.20,-5.4237,,,,,,-23.0000,,0,,,,,,,,23,,,,,0,,,,,,0,,,
2015/04/01,56.49,56.49,55.50,56.00,0.20,0.3584,,,,,,-15.0000,,0,,,,,,,,8,,,,,0,,,,,,0,,,
2015/04/02,55.40,55.40,55.40,55.40,-0.60,-1.0714,,,,,,-16.0000,,0,,,,,,,,1,,,,,0,,,,,,0,,,
2015/04/07,55.40,56.40,55.40,56.40,1.00,1.8051,56.5200,,,,,-1.0000,,0,0,,,,,,,15,13,,,,0,0,,,,,0,0,,
2015/04/09,57.00,57.87,56.00,57.87,1.47,2.6064,56.2940,,,,,14.0000,,0,0,,,,,,,15,12,,,,0,0,,,,,0,0,,
2015/04/10,56.50,61.00,56.50,61.00,3.13,5.4087,57.3340,,,,,51.0000,,0,0,,60.4167,,,,,37,15,,,,0,0,,,,,0,0,,
2015/04/13,61.00,62.00,59.80,60.00,-1.00,-1.6393,58.1340,,,,,39.0000,,0,0,,53.7037,,,,,12,16,,,,0,0,,,,,0,0,,
2015/04/14,58.90,61.90,58.90,61.88,1.88,3.1333,59.4300,,,,,51.0000,,0,0,,62.9827,,96.9014,65.6338,55.2113,12,18,65.6338,55.2113,86.4789,0,0,,,,,0,0,,
2015/04/15,58.92,61.88,58.92,60.00,-1.88,-3.0381,60.1500,58.3350,,,,44.0000,14.4000,0,0,0,50.7716,,71.4286,67.5654,59.3293,7,16,67.5654,59.3293,84.0376,0,0,0,,,,0,0,0,
2015/04/16,58.93,61.49,58.92,60.50,0.50,0.8333,60.6760,58.4850,,,,61.0000,20.5000,0,0,0,53.6402,,77.2727,70.8012,63.1533,17,17,70.8012,63.1533,86.0970,0,0,0,,,,0,0,0,
2015/04/17,61.00,61.00,61.00,61.00,0.50,0.8264,60.6760,59.0050,,,,64.0000,29.2000,0,0,0,56.6700,,84.8485,75.4836,67.2634,3,10,75.4836,67.2634,91.9241,0,0,0,,,,0,0,0,
2015/04/20,61.50,63.29,61.01,63.29,2.29,3.7541,61.3340,59.7340,,,,92.0000,39.9000,0,0,0,68.1208,62.1530,100.0000,83.6557,72.7275,28,13,83.6557,72.7275,105.5122,0,0,0,,,,0,0,0,
2015/04/21,61.00,63.29,60.00,62.94,-0.35,-0.553,61.5460,60.4880,,,,-71.0000,34.4000,0,0,0,64.9717,60.8369,95.1989,87.5035,77.6528,163,43,87.5035,77.6528,107.2047,0,0,0,,,,0,0,0,
2015/04/22,59.86,62.49,59.86,60.50,-2.44,-3.8767,61.6460,60.8980,,,,-76.0000,26.9000,0,0,0,46.8524,52.3987,58.9102,77.9724,77.7593,5,43,77.9724,77.7593,78.3984,0,0,0,,,,0,0,0,
2015/04/23,59.85,62.62,59.38,62.62,2.12,3.5041,62.0700,61.3730,,,,-49.0000,20.6000,0,0,0,58.8248,57.9296,84.7380,80.2276,78.5821,27,45,80.2276,78.5821,83.5186,0,0,0,,,,0,0,0,
2015/04/24,59.85,62.30,59.85,62.29,-0.33,-0.527,62.3280,61.5020,,,,-76.0000,7.9000,0,0,0,56.4495,56.8087,77.2210,79.2254,78.7965,27,50,79.2254,78.7965,80.0831,0,0,0,,,,0,0,0,
2015/04/27,61.00,62.29,60.01,62.29,0.00,0.00,62.1280,61.7310,,,,-76.0000,-3.6000,0,0,0,56.4495,56.8087,77.1167,78.5225,78.7052,8,46,78.5225,78.7052,78.1571,0,0,0,,,,0,0,0,
2015/04/28,62.29,62.50,60.50,62.00,-0.29,-0.4656,61.9400,61.7430,,,,-128.0000,-21.5000,0,0,0,53.7053,55.6820,70.4805,75.8418,77.7507,52,23,75.8418,77.7507,72.0241,0,0,0,,,,0,0,0,
2015/04/29,61.00,61.00,61.00,61.00,-1.00,-1.6129,62.0400,61.8430,60.0890,,,-137.0000,-39.6000,0,0,0,44.7112,51.8159,41.4322,64.3720,73.2911,9,24,64.3720,73.2911,46.5336,0,0,0,,,,0,0,0,
2015/04/30,60.04,60.80,60.03,60.80,-0.20,-0.3279,61.6760,61.8730,60.1790,,,-147.0000,-60.4000,0,0,0,42.9835,51.0427,36.3171,55.0204,67.2009,10,21,55.0204,67.2009,30.6593,0,0,0,,,,0,0,0,
2015/05/04,62.00,62.00,57.95,61.00,0.20,0.3289,61.4180,61.8730,60.4390,,,-89.0000,-75.7000,0,0,0,45.5101,51.8269,57.1161,55.7189,63.3736,58,27,55.7189,63.3736,40.4097,0,0,0,,,,0,0,0,
2015/05/05,60.13,60.50,60.13,60.50,-0.50,-0.8197,61.0600,61.5940,60.6640,,,-96.0000,-94.5000,0,0,0,40.1699,49.6575,54.6039,55.3472,60.6981,7,27,55.3472,60.6981,44.6455,0,0,0,,,,0,0,0,
2015/05/06,60.10,61.98,60.10,61.50,1.00,1.6529,60.9600,61.4500,60.9690,,,-15.0000,-88.9000,0,0,0,53.3168,53.8704,76.0171,62.2372,61.2112,81,33,62.2372,61.2112,64.2893,0,0,0,,,,0,0,0,
2015/05/07,60.50,60.80,60.50,60.50,-1.00,-1.626,60.8600,61.4500,61.1740,,,-29.0000,-84.2000,0,0,0,42.1916,49.3639,56.0440,60.1728,60.8650,14,34,60.1728,60.8650,58.7883,0,0,0,,,,0,0,0,
2015/05/08,60.70,61.00,60.70,61.00,0.50,0.8264,60.9000,61.2880,61.3305,,,-13.0000,-80.6000,0,0,0,48.6237,51.5736,67.0330,62.4595,61.3965,16,35,62.4595,61.3965,64.5855,0,0,0,,0.8917,,0,0,0,
