ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2015/07/06,41.00,42.50,36.26,37.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,169,,,,,0,,,,,,0,,,
2015/07/07,36.20,36.50,34.90,36.30,-0.70,-1.8919,,,,,,-101.0000,,0,,,,,,,,101,,,,,0,,,,,,0,,,
2015/07/08,36.50,36.88,35.85,36.70,0.40,1.1019,,,,,,-78.0000,,0,,,,,,,,23,,,,,0,,,,,,0,,,
2015/07/09,37.00,37.00,36.50,37.00,0.30,0.8174,,,,,,-69.0000,,0,,,,,,,,9,,,,,0,,,,,,0,,,
2015/07/13,36.00,37.00,35.88,36.66,-0.34,-0.9189,36.7320,,,,,-96.0000,,0,0,,,,,,,27,65,,,,0,0,,,,,0,0,,
2015/07/14,35.88,36.88,35.82,36.00,-0.66,-1.8003,36.5320,,,,,-137.0000,,0,0,,,,,,,41,40,,,,0,0,,,,,0,0,,
2015/07/15,35.88,36.60,35.85,36.20,0.20,0.5556,36.5120,,,,,-105.0000,,0,0,,34.6154,,,,,32,26,,,,0,0,,,,,0,0,,
2015/07/16,36.00,36.20,36.00,36.20,0.00,0.00,36.4120,,,,,-105.0000,,0,0,,34.6154,,,,,4,22,,,,0,0,,,,,0,0,,
2015/07/17,35.88,36.00,35.85,36.00,-0.20,-0.5525,36.2120,,,,,-114.0000,,0,0,,31.1634,,14.4737,38.1579,46.0526,9,22,38.1579,46.0526,22.3684,0,0,,,,,0,0,,
2015/07/20,35.85,36.00,35.85,36.00,0.00,0.00,36.0800,36.4060,,,,-114.0000,-91.9000,0,0,0,31.1634,,52.3810,42.8989,45.0014,5,18,42.8989,45.0014,38.6940,0,0,0,,,,0,0,0,
2015/07/22,36.00,36.00,36.00,36.00,0.00,0.00,36.0800,36.3060,,,,-114.0000,-103.3000,0,0,0,31.1634,,15.2542,33.6840,41.2289,2,10,33.6840,41.2289,18.5942,0,0,0,,,,0,0,0,
2015/07/23,35.85,36.16,35.85,36.00,0.00,0.00,36.0400,36.2760,,,,-114.0000,-104.6000,0,0,0,31.1634,,15.2542,27.5408,36.6662,6,5,27.5408,36.6662,9.2899,0,0,0,,,,0,0,0,
2015/07/27,35.85,35.90,35.84,35.84,-0.16,-0.4444,35.9680,36.1900,,,,-126.0000,-109.4000,0,0,0,26.7399,30.4054,1.6949,18.9255,30.7526,12,6,18.9255,30.7526,-4.7288,0,0,0,,,,0,0,0,
2015/07/28,35.83,35.83,35.83,35.83,-0.01,-0.0279,35.9340,36.0730,,,,-131.0000,-115.6000,0,0,0,26.4582,30.2938,0.9434,12.9315,24.8122,5,6,12.9315,24.8122,-10.8301,0,0,0,,,,0,0,0,
2015/07/31,35.80,35.80,33.73,33.73,-2.10,-5.861,35.4800,35.7800,,,,-147.0000,-120.7000,0,0,0,7.2398,16.4531,0.0000,8.6210,19.4151,16,8,8.6210,19.4151,-12.9674,0,0,0,,,,0,0,0,
2015/08/03,33.00,33.00,33.00,33.00,-0.73,-2.1642,34.8800,35.4800,,,,-150.0000,-122.0000,0,0,0,5.5563,14.0235,0.0000,5.7473,14.8592,3,8,5.7473,14.8592,-12.4765,0,0,0,,,,0,0,0,
2015/08/04,33.50,33.50,32.78,32.85,-0.15,-0.4545,34.2500,35.1450,,,,-155.0000,-127.0000,0,0,0,5.2550,13.5741,2.0710,4.5219,11.4134,5,8,4.5219,11.4134,-9.2612,0,0,0,,,,0,0,0,
2015/08/05,32.85,32.85,32.85,32.85,0.00,0.00,33.6520,34.8100,,,,-155.0000,-132.0000,0,0,0,5.2550,13.5741,2.0710,3.7049,8.8439,1,6,3.7049,8.8439,-6.5731,0,0,0,,,,0,0,0,
2015/08/07,31.35,31.50,31.35,31.50,-1.35,-4.1096,32.7860,34.3600,,,,-160.0000,-136.6000,0,0,0,3.0861,10.1059,3.1185,3.5094,7.0658,5,6,3.5094,7.0658,-3.6032,0,0,0,,,,0,0,0,
2015/08/10,32.00,34.00,32.00,34.00,2.50,7.9365,32.8400,34.1600,35.2830,,,-138.0000,-139.0000,0,0,0,49.4500,40.7097,55.0936,20.7041,11.6119,22,7,20.7041,11.6119,38.8887,0,0,0,,,,0,0,0,
2015/08/11,34.89,35.00,34.50,34.70,0.70,2.0588,33.1800,34.0300,35.1680,,,-100.0000,-137.6000,0,0,0,56.4503,46.2945,73.6264,38.3449,20.5229,38,14,38.3449,20.5229,73.9889,0,0,0,,,,0,0,0,
2015/08/12,34.50,34.60,34.50,34.60,-0.10,-0.2882,33.5300,33.8900,35.0830,,,-104.0000,-136.6000,0,0,0,55.1413,45.6248,72.5446,49.7448,30.2635,4,14,49.7448,30.2635,88.7074,0,0,0,,,,0,0,0,
2015/08/13,33.73,35.00,33.73,34.00,-0.60,-1.7341,33.7600,33.7060,34.9480,,,-131.0000,-137.1000,0,0,0,47.2519,41.6781,59.5506,53.0134,37.8468,27,19,53.0134,37.8468,83.3465,0,0,0,,,,0,0,0,
2015/08/14,33.80,34.40,33.80,34.40,0.40,1.1765,34.3400,33.5630,34.8180,,,-121.0000,-136.1000,0,0,0,52.6694,45.1300,83.5616,63.1961,46.2966,10,20,63.1961,46.2966,96.9952,0,0,0,,,,0,0,0,
2015/08/17,34.30,34.30,33.66,33.90,-0.50,-1.4535,34.3200,33.5800,34.6800,,,-129.0000,-134.3000,0,0,0,45.6384,41.7596,69.8630,65.4184,52.6705,8,17,65.4184,52.6705,90.9142,0,0,0,,,,0,0,0,
2015/08/19,33.55,33.55,33.53,33.53,-0.37,-1.0914,34.0860,33.6330,34.5565,,,-135.0000,-132.8000,0,0,0,40.8018,39.3850,59.7260,63.5210,56.2873,6,11,63.5210,56.2873,77.9882,0,0,0,,-0.9479,,0,0,0,
2015/08/20,33.50,33.50,33.50,33.50,-0.03,-0.0895,33.8660,33.6980,34.4215,,,-140.0000,-131.3000,0,0,0,40.3853,39.1879,58.9041,61.9820,58.1856,5,11,61.9820,58.1856,69.5749,0,0,0,,-0.9265,,0,0,0,
2015/08/21,33.77,33.77,33.77,33.77,0.27,0.806,33.8200,33.7900,34.3000,,,-140.0000,-129.8000,0,0,0,46.3041,42.0359,59.0000,60.9880,59.1197,0,5,60.9880,59.1197,64.7246,0,0,0,,-0.8777,,0,0,0,
2015/08/24,32.11,32.11,30.50,30.50,-3.27,-9.6832,33.0400,33.6900,34.0250,,,-160.0000,-129.8000,0,0,0,18.9545,25.9680,0.0000,40.6587,52.9660,20,7,40.6587,52.9660,16.0439,0,0,0,,-1.0902,,0,0,0,
2015/08/25,29.64,29.69,29.64,29.69,-0.81,-2.6557,32.1980,33.2590,33.7095,,,-163.0000,-132.3000,0,0,0,16.1236,23.5369,0.9328,27.4167,44.4496,3,6,27.4167,44.4496,-6.6490,0,0,0,,-1.3090,,0,0,0,
2015/08/26,28.68,30.18,26.80,30.18,0.49,1.6504,31.5280,32.8070,33.4185,,,-112.0000,-133.5000,0,0,0,24.3277,27.9861,41.2195,32.0177,40.3056,51,15,32.0177,40.3056,15.4417,0,0,0,,-1.4264,,0,0,0,
2015/08/27,29.00,30.18,29.00,30.18,0.00,0.00,30.8640,32.3650,33.1275,,,-112.0000,-134.3000,0,0,0,24.3277,27.9861,44.4737,36.1697,38.9270,6,16,36.1697,38.9270,30.6551,0,0,0,,-1.5021,,0,0,0,
2015/08/28,30.08,30.30,30.00,30.10,-0.08,-0.2651,30.1300,31.9750,32.8405,,,-323.0000,-153.5000,0,0,0,23.7809,27.6733,44.0000,38.7798,38.8779,211,58,38.7798,38.8779,38.5835,0,0,0,,-1.5506,,0,0,0,
2015/08/31,30.30,30.30,30.30,30.30,0.20,0.6645,30.0900,31.5650,32.5640,,,-321.0000,-173.5000,0,0,0,28.5961,29.8133,50.2152,42.5916,40.1158,2,54,42.5916,40.1158,47.5432,0,0,0,-0.6245,-1.5551,-1.2428,0,0,0,
2015/09/01,30.30,30.30,29.88,30.30,0.00,0.00,30.2120,31.2050,32.3925,,,-321.0000,-192.7000,0,0,0,28.5961,29.8133,50.2152,45.1328,41.7881,8,55,45.1328,41.7881,51.8221,0,0,0,-0.4768,-1.5408,-1.3024,0,0,0,
2015/09/02,30.30,31.05,30.30,31.05,0.75,2.4752,30.3860,30.9570,32.2950,,,-316.0000,-210.8000,0,0,0,46.7592,38.0000,60.9756,50.4137,44.6633,5,46,50.4137,44.6633,61.9145,0,0,0,-0.2397,-1.4523,-1.3324,0,0,0,
2015/09/03,31.05,31.05,31.05,31.05,0.00,0.00,30.5600,30.7120,32.2050,,,-316.0000,-228.4000,0,0,0,46.7592,38.0000,80.0377,60.2884,49.8717,3,45,60.2884,49.8717,81.1218,0,0,0,-0.0543,-1.3663,-1.3392,0,0,0,
2015/09/04,31.88,32.10,30.88,31.80,0.75,2.4155,30.9000,30.5150,32.1525,,,-304.0000,-244.8000,0,0,0,61.0328,45.5574,94.3396,71.6388,57.1274,12,6,71.6388,57.1274,100.6616,0,0,0,0.1849,-1.2236,-1.3161,0,0,0,
2015/09/07,31.80,32.20,31.50,31.50,-0.30,-0.9434,31.1400,30.6150,32.1525,,,-310.0000,-259.8000,0,0,0,54.0742,43.2566,87.0370,76.7715,63.6754,6,6,76.7715,63.6754,102.9637,0,0,0,0.3109,-1.1218,-1.2772,0,0,0,
2015/09/09,31.60,32.45,31.60,31.66,0.16,0.5079,31.4120,30.8120,32.0355,,,-306.0000,-274.1000,0,0,0,57.1975,44.8763,77.1014,76.8815,68.0775,4,6,76.8815,68.0775,94.4896,0,0,0,0.4172,-1.0165,-1.2251,0,0,0,
2015/09/11,31.60,32.00,31.60,32.00,0.34,1.0739,31.6020,30.9940,31.9005,,,-303.0000,-293.2000,0,0,0,63.5231,48.2976,82.4903,78.7511,71.6353,3,5,78.7511,71.6353,92.9826,0,0,0,0.5277,-0.8952,-1.1591,0,0,0,
2015/09/14,32.50,32.50,32.50,32.50,0.50,1.5625,31.8920,31.2260,31.7955,,,-302.0000,-312.2000,0,0,0,71.0685,52.9795,100.0000,85.8341,76.3682,1,5,85.8341,76.3682,104.7657,0,0,0,0.6543,-0.7502,-1.0773,0,0,0,
2015/09/16,33.00,33.00,33.00,33.00,0.50,1.5385,32.1320,31.5160,31.7455,,,-301.0000,-310.0000,0,0,0,76.8219,57.2069,100.0000,90.5560,81.0975,1,3,90.5560,81.0975,109.4731,0,0,0,0.7828,-0.5881,-0.9795,0,0,0,
2015/09/17,33.00,33.35,33.00,33.35,0.35,1.0606,32.5020,31.8210,31.6930,,,-297.0000,-307.6000,0,0,0,80.1394,59.9561,100.0000,93.7040,85.2997,4,2,93.7040,85.2997,110.5127,0,0,0,0.8848,-0.4264,-0.8689,0,0,0,
2015/09/18,33.33,33.33,33.33,33.33,-0.02,-0.06,32.8360,32.1240,31.6645,,,-299.0000,-305.4000,0,0,0,79.3605,59.7169,99.1903,95.5328,88.7107,2,2,95.5328,88.7107,109.1769,0,0,0,0.9157,-0.2966,-0.7544,0,0,0,
2015/09/24,31.80,33.00,31.50,31.50,-1.83,-5.4905,32.7360,32.1690,31.5630,,,-302.0000,-304.0000,0,0,0,38.3903,42.7111,25.1012,72.0556,83.1590,3,2,72.0556,83.1590,49.8488,0,0,0,0.6672,-0.3374,-0.6710,0,0,0,
2015/09/25,32.95,32.95,31.35,31.60,0.10,0.3175,32.5560,32.2240,31.4680,,,-294.0000,-301.8000,0,0,0,40.4077,43.6674,12.5000,52.2037,72.8406,8,3,52.2037,72.8406,10.9300,0,0,0,0.5015,-0.3576,-0.6083,0,0,0,
2015/09/30,31.58,31.80,31.35,31.35,-0.25,-0.7911,32.2260,32.1790,31.3470,,,-299.0000,-301.3000,0,0,0,36.7933,41.7660,0.0000,34.8025,60.1612,5,4,34.8025,60.1612,-15.9150,0,0,0,0.3505,-0.3892,-0.5645,0,0,0,
2015/10/01,30.59,30.98,29.88,30.98,-0.37,-1.1802,31.7520,32.1270,31.3710,,,-319.0000,-302.2000,0,0,0,31.7497,39.0226,31.7003,33.7684,51.3636,20,7,33.7684,51.3636,-1.4220,0,0,0,0.2006,-0.4391,-0.5394,0,0,0,
2015/10/02,30.98,31.00,30.98,31.00,0.02,0.0646,31.2860,32.0610,31.4365,,,-310.0000,-302.6000,0,0,0,32.3512,39.2579,32.2767,33.2712,45.3328,9,9,33.2712,45.3328,9.1479,0,0,0,0.1085,-0.4716,-0.5259,0,0,0,
2015/10/05,31.35,31.65,30.15,30.80,-0.20,-0.6452,31.1460,31.9410,31.4675,,,-356.0000,-307.9000,0,0,0,29.2570,37.6722,26.5130,31.0184,40.5613,46,17,31.0184,40.5613,11.9326,0,0,0,0.0291,-0.5077,-0.5222,0,0,0,
2015/10/06,30.15,31.00,30.11,30.80,0.00,0.00,30.9860,31.7710,31.4985,,,-356.0000,-313.3000,0,0,0,29.2570,37.6722,26.5130,29.5166,36.8798,12,18,29.5166,36.8798,14.7903,0,0,0,-0.0126,-0.5301,-0.5238,0,0,0,
