ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2016/07/05,105.00,141.00,105.00,135.00,0.00,0.00,,,,,,0.0000,,0,,,,,,,,30,,,,,0,,,,,,0,,,
2016/07/06,132.05,132.05,125.40,128.00,-7.00,-5.1852,,,,,,-9.0000,,0,,,,,,,,9,,,,,0,,,,,,0,,,
2016/07/07,132.63,139.00,132.63,139.00,11.00,8.5938,,,,,,8.0000,,0,,,,,,,,17,,,,,0,,,,,,0,,,
2016/07/11,139.00,142.00,132.05,132.05,-6.95,-5.00,,,,,,-36.0000,,0,,,,,,,,44,,,,,0,,,,,,0,,,
2016/07/12,134.00,134.00,134.00,134.00,1.95,1.4767,133.6100,,,,,-32.0000,,0,0,,,,,,,4,20,,,,0,0,,,,,0,0,,
2016/07/13,133.00,133.00,133.00,133.00,-1.00,-0.7463,133.2100,,,,,-36.0000,,0,0,,,,,,,4,15,,,,0,0,,,,,0,0,,
2016/07/14,127.30,127.30,127.30,127.30,-5.70,-4.2857,133.0700,,,,,-37.0000,,0,0,,38.5417,,,,,1,14,,,,0,0,,,,,0,0,,
2016/07/15,134.00,134.00,134.00,134.00,6.70,5.2632,132.0700,,,,,-34.0000,,0,0,,50.4083,,,,,3,11,,,,0,0,,,,,0,0,,
2016/07/19,132.00,132.00,132.00,132.00,-2.00,-1.4925,132.0600,,,,,-36.0000,,0,0,,47.1473,,72.9730,57.6577,52.5526,2,2,57.6577,52.5526,67.8679,0,0,,,,,0,0,,
2016/07/20,134.00,134.00,132.00,134.00,2.00,1.5152,132.0600,132.8350,,,,-30.0000,-24.2000,0,0,0,50.9546,,51.8072,55.7075,53.6042,6,3,55.7075,53.6042,59.9141,0,0,0,,,,0,0,0,
2016/07/21,135.00,138.00,135.00,136.50,2.50,1.8657,132.7600,132.9850,,,,-5.0000,-24.7000,0,0,0,55.7374,,62.5850,58.0000,55.0695,25,7,58.0000,55.0695,63.8611,0,0,0,,,,0,0,0,
2016/07/22,133.10,137.00,133.00,136.00,-0.50,-0.3663,134.5000,133.7850,,,,-30.0000,-26.8000,0,0,0,54.4627,,59.1837,58.3946,56.1778,25,12,58.3946,56.1778,62.8280,0,0,0,,,,0,0,0,
2016/07/25,133.00,133.00,133.00,133.00,-3.00,-2.2059,134.3000,133.1850,,,,-32.0000,-30.8000,0,0,0,46.7630,48.0119,53.2710,56.6867,56.3475,2,12,56.6867,56.3475,57.3652,0,0,0,,,,0,0,0,
2016/07/29,134.00,134.00,133.00,133.00,0.00,0.00,134.5000,133.2800,,,,-32.0000,-30.4000,0,0,0,46.7630,48.0119,53.2710,55.5482,56.0810,3,12,55.5482,56.0810,54.4824,0,0,0,,,,0,0,0,
2016/08/01,136.00,136.00,133.50,134.00,1.00,0.7519,134.5000,133.2800,,,,-29.0000,-30.1000,0,0,0,50.1461,49.2135,62.6168,57.9044,56.6888,3,11,57.9044,56.6888,60.3355,0,0,0,,,,0,0,0,
2016/08/03,135.50,136.00,135.50,136.00,2.00,1.4925,134.4000,133.5800,,,,-25.0000,-29.0000,0,0,0,56.7434,51.6516,66.6667,60.8251,58.0676,4,7,60.8251,58.0676,66.3402,0,0,0,,,,0,0,0,
2016/08/04,136.00,141.50,133.00,137.50,1.50,1.1029,134.7000,134.6000,,,,12.0000,-24.1000,0,0,0,61.3470,53.4789,57.8947,59.8483,58.6612,37,9,59.8483,58.6612,62.2227,0,0,0,,,,0,0,0,
2016/08/05,137.50,137.50,137.50,137.50,0.00,0.00,135.6000,134.9500,,,,12.0000,-19.5000,0,0,0,61.3470,53.4789,57.8947,59.1971,58.8398,1,9,59.1971,58.8398,59.9118,0,0,0,,,,0,0,0,
2016/08/08,136.00,137.50,136.00,137.00,-0.50,-0.3636,136.4000,135.4500,,,,-8.0000,-16.7000,0,0,0,58.3655,52.6890,47.0588,55.1510,57.6102,20,13,55.1510,57.6102,50.2326,0,0,0,,,,0,0,0,
2016/08/09,138.00,142.00,137.50,142.00,5.00,3.6496,138.0000,136.2500,134.5425,,,5.0000,-13.2000,0,0,0,73.7025,59.2547,100.0000,70.1007,61.7737,13,15,70.1007,61.7737,86.7546,0,0,0,,,,0,0,0,
2016/08/10,140.00,141.00,136.00,137.20,-4.80,-3.3803,138.2400,136.3200,134.6525,,,-13.0000,-14.0000,0,0,0,51.7441,51.7355,46.6667,62.2893,61.9456,18,17,62.2893,61.9456,62.9769,0,0,0,,,,0,0,0,
2016/08/11,136.00,136.00,133.00,135.00,-2.20,-1.6035,137.7400,136.2200,135.0025,,,-28.0000,-13.8000,0,0,0,44.4589,48.6489,22.2222,48.9336,57.6083,15,13,48.9336,57.6083,31.5844,0,0,0,,,,0,0,0,
2016/08/12,136.84,136.84,136.84,136.84,1.84,1.363,137.6080,136.6040,134.8945,,,-24.0000,-13.0000,0,0,0,51.3354,51.2999,42.6667,46.8446,54.0204,4,14,46.8446,54.0204,32.4931,0,0,0,,,,0,0,0,
2016/08/16,138.00,139.00,138.00,138.50,1.66,1.2131,137.9080,137.1540,135.2170,,,-21.0000,-11.9000,0,0,0,57.0873,53.6547,61.1111,51.6001,53.2136,3,10,51.6001,53.2136,48.3731,0,0,0,,,,0,0,0,
2016/08/19,140.00,140.00,138.00,138.00,-0.50,-0.361,137.1080,137.5540,135.4170,,,-27.0000,-11.7000,0,0,0,54.7484,52.8155,55.5556,52.9186,53.1153,6,9,52.9186,53.1153,52.5252,0,0,0,,,,0,0,0,
2016/08/22,140.00,140.00,138.90,139.00,1.00,0.7246,137.4680,137.8540,135.7170,,,-10.0000,-10.2000,0,0,0,58.7996,54.3725,66.6667,57.5013,54.5773,17,9,57.5013,54.5773,63.3493,0,0,0,,2.1190,,0,0,0,
2016/08/26,137.50,138.00,137.50,138.00,-1.00,-0.7194,138.0680,137.9040,136.2520,,,-12.0000,-12.6000,0,0,0,53.0955,52.4833,55.5556,56.8527,55.3358,2,6,56.8527,55.3358,59.8866,0,0,0,,2.0326,,0,0,0,
2016/08/29,139.99,139.99,138.50,138.50,0.50,0.3623,138.4000,138.0040,136.4770,,,-6.0000,-14.4000,0,0,0,55.6754,53.3671,61.1111,58.2722,56.3146,6,6,58.2722,56.3146,62.1874,0,0,0,,1.9817,,0,0,0,
