ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2016/03/04,71.50,82.10,71.50,78.27,0.00,0.00,,,,,,0.0000,,0,,,,,,,,457,,,,,0,,,,,,0,,,
2016/03/07,80.00,80.00,68.00,69.53,-8.74,-11.1665,,,,,,-583.0000,,0,,,,,,,,583,,,,,0,,,,,,0,,,
2016/03/08,69.00,70.30,67.49,68.41,-1.12,-1.6108,,,,,,-887.0000,,0,,,,,,,,304,,,,,0,,,,,,0,,,
2016/03/09,68.00,69.80,68.00,68.80,0.39,0.5701,,,,,,-757.0000,,0,,,,,,,,130,,,,,0,,,,,,0,,,
2016/03/10,68.80,68.90,67.84,68.30,-0.50,-0.7267,70.6620,,,,,-803.0000,,0,0,,,,,,,46,304,,,,0,0,,,,,0,0,,
2016/03/11,68.30,68.50,67.78,68.00,-0.30,-0.4392,68.6080,,,,,-958.0000,,0,0,,,,,,,155,243,,,,0,0,,,,,0,0,,
2016/03/14,68.00,68.57,68.00,68.01,0.01,0.0147,68.3040,,,,,-897.0000,,0,0,,3.6166,,,,,61,139,,,,0,0,,,,,0,0,,
2016/03/15,68.00,68.10,67.78,68.10,0.09,0.1323,68.2420,,,,,-824.0000,,0,0,,4.5487,,,,,73,93,,,,0,0,,,,,0,0,,
2016/03/16,68.25,68.25,67.75,68.00,-0.10,-0.1468,68.0820,,,,,-851.0000,,0,0,,4.4908,,3.4908,34.4969,44.8323,27,72,34.4969,44.8323,13.8261,0,0,,,,,0,0,,
2016/03/17,68.20,68.20,67.51,67.95,-0.05,-0.0735,68.0120,69.3370,,,,-899.0000,-745.9000,0,0,0,4.4568,,3.6771,24.2236,37.9627,48,72,24.2236,37.9627,-3.2546,0,0,0,,,,0,0,0,
2016/03/18,67.54,67.93,67.54,67.93,-0.02,-0.0294,67.9980,68.3030,,,,-948.0000,-840.7000,0,0,0,4.4406,,15.6584,21.3685,32.4313,49,51,21.3685,32.4313,-0.7571,0,0,0,,,,0,0,0,
2016/03/21,67.93,68.01,67.74,68.00,0.07,0.103,67.9960,68.1500,,,,-923.0000,-874.7000,0,0,0,5.8738,,21.3974,21.3782,28.7469,25,44,21.3782,28.7469,6.6406,0,0,0,,,,0,0,0,
2016/03/22,67.62,68.00,67.51,67.85,-0.15,-0.2206,67.9460,68.0940,,,,-930.0000,-879.0000,0,0,0,5.6557,4.8527,24.4604,22.4056,26.6332,7,31,22.4056,26.6332,13.9504,0,0,0,,,,0,0,0,
2016/03/23,67.70,67.80,67.50,67.50,-0.35,-0.5158,67.8460,67.9640,,,,-941.0000,-897.4000,0,0,0,5.1230,4.6973,0.0000,14.9371,22.7345,11,28,14.9371,22.7345,-0.6578,0,0,0,,,,0,0,0,
2016/03/24,67.94,67.99,67.69,67.74,0.24,0.3556,67.8040,67.9080,,,,-924.0000,-909.5000,0,0,0,11.9469,6.9271,22.4299,17.4347,20.9679,17,21,17.4347,20.9679,10.3683,0,0,0,,,,0,0,0,
2016/03/25,68.09,68.49,68.00,68.25,0.51,0.7529,67.8680,67.9330,,,,-894.0000,-903.1000,0,0,0,25.5934,11.7155,75.7576,36.8756,26.2705,30,18,36.8756,26.2705,58.0860,0,0,0,,,,0,0,0,
2016/03/28,68.30,68.80,67.79,68.00,-0.25,-0.3663,67.8680,67.9320,,,,-928.0000,-906.2000,0,0,0,23.4551,11.4018,38.4615,37.4043,29.9817,34,19,37.4043,29.9817,52.2494,0,0,0,,,,0,0,0,
2016/03/29,67.78,68.30,67.70,67.70,-0.30,-0.4412,67.8380,67.8920,,,,-954.0000,-919.2000,0,0,0,20.9363,11.0157,15.3846,30.0644,30.0093,26,23,30.0644,30.0093,30.1746,0,0,0,,,,0,0,0,
2016/03/30,68.19,68.19,67.79,68.00,0.30,0.4431,67.9380,67.8920,,,,-948.0000,-928.9000,0,0,0,29.9619,14.1860,38.4615,32.8634,30.9607,6,22,32.8634,30.9607,36.6690,0,0,0,,,,0,0,0,
2016/03/31,67.97,68.00,67.71,68.00,0.00,0.00,67.9900,67.8970,68.6170,,,-948.0000,-933.8000,0,0,0,29.9619,14.1860,38.4615,34.7295,32.2169,20,23,34.7295,32.2169,39.7545,0,0,0,,,,0,0,0,
2016/04/01,68.00,68.23,67.73,67.73,-0.27,-0.3971,67.8860,67.8770,68.0900,,,-982.0000,-937.2000,0,0,0,26.1004,13.6646,17.6923,29.0504,31.1614,34,24,29.0504,31.1614,24.8284,0,0,0,,,,0,0,0,
2016/04/06,67.72,67.95,67.60,67.91,0.18,0.2658,67.8680,67.8680,68.0090,,,-969.0000,-941.8000,0,0,0,33.0076,15.9124,31.5385,29.8798,30.7342,13,19,29.8798,30.7342,28.1709,0,0,0,,,,0,0,0,
2016/04/07,67.53,67.53,67.21,67.21,-0.70,-1.0308,67.7700,67.8040,67.9490,,,-975.0000,-946.3000,0,0,0,22.9829,14.3296,0.0000,19.9198,27.1294,6,15,19.9198,27.1294,5.5007,0,0,0,,,,0,0,0,
2016/04/08,67.21,67.50,67.01,67.01,-0.20,-0.2976,67.5720,67.7550,67.8595,,,-1004.0000,-952.6000,0,0,0,20.8154,13.8987,0.0000,13.2799,22.5129,29,20,13.2799,22.5129,-5.1861,0,0,0,,,,0,0,0,
2016/04/11,67.42,67.42,66.50,67.00,-0.01,-0.0149,67.3720,67.6810,67.7945,,,-1055.0000,-965.7000,0,0,0,20.6983,13.8760,21.7391,16.0996,20.3752,51,26,16.0996,20.3752,7.5486,0,0,0,,,,0,0,0,
2016/04/12,66.71,67.18,66.53,66.53,-0.47,-0.7015,67.1320,67.5090,67.7210,,,-1070.0000,-983.3000,0,0,0,15.7122,12.8011,1.6667,11.2886,17.3463,15,22,11.2886,17.3463,-0.8267,0,0,0,,-0.8588,,0,0,0,
2016/04/13,66.69,66.90,66.69,66.90,0.37,0.5561,66.9300,67.3990,67.6655,,,-1064.0000,-996.9000,0,0,0,31.3377,18.2400,23.1214,15.2329,16.6418,6,21,15.2329,16.6418,12.4150,0,0,0,,-0.8456,,0,0,0,
2016/04/14,67.00,67.00,66.01,66.80,-0.10,-0.1495,66.8480,67.3090,67.6005,,,-1067.0000,-1008.2000,0,0,0,29.5604,17.9106,35.5856,22.0171,18.4336,3,20,22.0171,18.4336,29.1842,0,0,0,,-0.8337,,0,0,0,
2016/04/15,66.02,66.30,64.61,64.61,-2.19,-3.2784,66.3680,66.9700,67.4310,,,-1090.0000,-1022.4000,0,0,0,11.8695,12.5125,0.0000,14.6781,17.1818,23,19,14.6781,17.1818,9.6707,0,0,0,,-0.9895,,0,0,0,
2016/04/18,64.60,64.60,63.01,63.50,-1.11,-1.718,65.6680,66.5200,67.2085,,,-1116.0000,-1039.2000,0,0,0,8.7020,10.7251,9.9190,13.0917,15.8184,26,14,13.0917,15.8184,7.6384,0,0,0,,-1.1889,,0,0,0,
2016/04/19,61.28,64.00,61.28,62.00,-1.50,-2.3622,64.7620,65.9470,66.9120,,,-1122.0000,-1053.2000,0,0,0,6.0736,8.8595,11.5200,12.5678,14.7349,6,12,12.5678,14.7349,8.2337,0,0,0,,-1.4512,,0,0,0,
