ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2017/11/24,122.00,160.00,122.00,158.00,0.00,0.00,,,,,,0.0000,,37746,,,,,,,,4293,,,,,0,,,,,,37746,,,
2017/11/27,147.00,151.00,140.50,142.50,-15.50,-9.8101,,,,,,-2038.0000,,37789,,,,,,,,2038,,,,,0,,,,,,37789,,,
2017/11/28,145.50,146.00,135.50,146.00,3.50,2.4561,,,,,,-828.0000,,37746,,,,,,,,1210,,,,,0,,,,,,37746,,,
2017/11/29,147.00,162.00,142.00,155.00,9.00,6.1644,,,,,,639.0000,,37775,,,,,,,,1467,,,,,0,,,,,,37775,,,
2017/11/30,150.00,157.00,145.50,146.00,-9.00,-5.8065,149.5000,,,,,-436.0000,,37758,37763,,,,,,,1075,2016,,,,0,0,,,,,37758,37763,,
2017/12/01,148.00,148.00,131.50,133.00,-13.00,-8.9041,144.5000,,,,,-1557.0000,,37764,37767,,,,,,,1121,1382,,,,0,0,,,,,37764,37767,,
2017/12/04,130.00,131.00,123.50,124.50,-8.50,-6.391,140.9000,,,,,-2223.0000,,37767,37762,,21.3675,,,,,666,1107,,,,0,0,,,,,37767,37762,,
2017/12/05,123.00,123.00,112.50,112.50,-12.00,-9.6386,134.2000,,,,,-3037.0000,,37763,37766,,17.1468,,,,,814,1028,,,,0,0,,,,,37763,37766,,
2017/12/06,112.00,121.50,112.00,116.00,3.50,3.1111,126.4000,,,,,-2501.0000,,37763,37763,,22.5045,,8.0000,36.0000,45.3333,536,842,36.0000,45.3333,17.3333,0,0,,,,,37763,37763,,
2017/12/07,116.00,116.00,110.00,111.50,-4.50,-3.8793,119.5000,134.5000,,,,-2873.0000,-1485.4000,37763,37764,37764,20.4629,,2.8846,24.9615,38.5427,372,701,24.9615,38.5427,-2.2009,0,0,0,,,,37763,37764,37764,
2017/12/08,111.50,112.00,101.50,107.50,-4.00,-3.5874,114.4000,129.4500,,,,-3328.0000,-1818.2000,37763,37764,37765,18.6575,,9.9174,19.9468,32.3441,455,568,19.9468,32.3441,-4.8478,0,0,0,,,,37763,37764,37765,
2017/12/11,106.50,110.00,103.50,107.00,-0.50,-0.4651,110.9000,125.9000,,,,-3567.0000,-1971.1000,37764,37763,37763,18.4138,,9.0909,16.3282,27.0055,239,483,16.3282,27.0055,-5.0264,0,0,0,,,,37764,37763,37763,
2017/12/12,108.50,116.00,106.00,111.00,4.00,3.7383,110.6000,122.4000,,,,-3119.0000,-2200.2000,37763,37763,37764,27.5041,22.9885,17.1171,16.5912,23.5340,448,410,16.5912,23.5340,2.7054,0,0,0,,,,37763,37763,37764,
2017/12/13,109.00,111.00,103.50,105.00,-6.00,-5.4054,108.4000,117.4000,,,,-3628.0000,-2626.9000,37763,37763,37763,22.9095,21.3800,7.5269,13.5697,20.2126,509,404,13.5697,20.2126,0.2840,0,0,0,,,,37763,37763,37763,
2017/12/14,105.50,108.00,103.50,105.00,0.00,0.00,107.1000,113.3000,,,,-3628.0000,-2946.1000,37763,37763,37764,22.9095,21.3800,11.8644,13.0013,17.8088,260,382,13.0013,17.8088,3.3862,0,0,0,,,,37763,37763,37764,
2017/12/15,106.00,106.00,103.00,103.00,-2.00,-1.9048,106.2000,110.3000,,,,-3802.0000,-3170.6000,37762,37763,37764,21.2088,20.8026,6.9767,10.9931,15.5369,174,326,10.9931,15.5369,1.9055,0,0,0,,,,37762,37763,37764,
2017/12/18,103.00,107.00,103.00,105.00,2.00,1.9417,105.8000,108.3500,,,,-3671.0000,-3315.4000,37762,37763,37763,27.6534,23.0691,17.5000,13.1621,14.7453,131,304,13.1621,14.7453,9.9956,0,0,0,,,,37762,37763,37763,
2017/12/19,105.00,105.50,102.50,103.00,-2.00,-1.9048,104.2000,107.4000,,,,-3821.0000,-3393.8000,37760,37762,37763,25.1818,22.3707,10.3448,12.2230,13.9045,150,244,12.2230,13.9045,8.8599,0,0,0,,,,37760,37762,37763,
2017/12/20,103.50,113.00,102.50,113.00,10.00,9.7087,105.8000,107.1000,,,,-3269.0000,-3470.6000,37798,37769,37766,51.2988,33.3735,79.3103,34.5854,20.7982,552,253,34.5854,20.7982,62.1600,0,0,0,,,,37798,37769,37766,
2017/12/21,113.00,116.50,109.00,113.50,0.50,0.4425,107.5000,107.3000,120.9000,,,-2720.0000,-3455.3000,37781,37773,37768,52.2979,33.8846,78.5714,49.2474,30.2813,549,311,49.2474,30.2813,87.1798,20,4,2,,,,37801,37777,37770,
2017/12/22,113.00,113.00,110.00,111.00,-2.50,-2.2026,109.1000,107.6500,118.5500,,,-2926.0000,-3415.1000,37771,37775,37769,46.5662,32.5237,60.7143,53.0697,37.8774,206,317,53.0697,37.8774,83.4543,20,8,4,,,,37791,37783,37773,
2017/12/25,111.00,112.00,106.00,106.00,-5.00,-4.5045,109.3000,107.5500,116.7250,,,-3190.0000,-3377.4000,37746,37771,37767,36.8685,29.9032,25.0000,43.7131,39.8227,264,344,43.7131,39.8227,51.4941,20,12,6,,,,37766,37783,37773,
