ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/06,15.90,16.00,15.80,15.90,0.00,0.00,,,,,,0.0000,,3,,,,,,,,39,,,,,0,,,,,,3,,,
2012/06/07,16.00,16.20,15.90,15.90,0.00,0.00,,,,,,0.0000,,3,,,,,,,,120,,,,,0,,,,,,3,,,
2012/06/08,15.90,15.95,15.80,15.90,0.00,0.00,,,,,,0.0000,,3,,,,,,,,56,,,,,0,,,,,,3,,,
2012/06/11,16.00,16.10,15.90,16.10,0.20,1.2579,,,,,,48.0000,,3,,,,,,,,48,,,,,0,,,,,,3,,,
2012/06/12,16.10,16.15,15.90,16.15,0.05,0.3106,15.9900,,,,,98.0000,,3,3,,,,,,,50,62,,,,0,0,,,,,3,3,,
2012/06/13,16.20,16.30,16.15,16.30,0.15,0.9288,16.0700,,,,,149.0000,,3,3,,,,,,,51,65,,,,0,0,,,,,3,3,,
2012/06/14,16.30,16.35,16.30,16.35,0.05,0.3067,16.1600,,,,,197.0000,,3,3,,100.0000,,,,,48,50,,,,0,0,,,,,3,3,,
2012/06/15,16.35,16.60,16.35,16.60,0.25,1.5291,16.3000,,,,,247.0000,,3,3,,100.0000,,,,,50,49,,,,0,0,,,,,3,3,,
2012/06/18,16.70,16.90,16.70,16.70,0.10,0.6024,16.4200,,,,,325.0000,,3,3,,100.0000,,81.8182,60.6061,53.5354,78,55,60.6061,53.5354,74.7475,0,0,,,,,3,3,,
2012/06/19,16.60,16.80,16.50,16.80,0.10,0.5988,16.5500,16.2700,,,,393.0000,145.7000,3,3,3,100.0000,,90.9091,70.7071,59.2593,68,59,70.7071,59.2593,93.6027,0,0,0,,,,3,3,3,
2012/06/20,16.90,17.00,16.60,17.00,0.20,1.1905,16.6900,16.3800,,,,587.0000,204.4000,3,3,3,100.0000,,100.0000,80.4714,66.3300,194,87,80.4714,66.3300,108.7542,0,0,0,,,,3,3,3,
2012/06/21,17.00,17.00,16.80,17.00,0.00,0.00,16.8200,16.4900,,,,587.0000,263.1000,3,3,3,100.0000,,100.0000,86.9809,73.2136,58,89,86.9809,73.2136,114.5155,0,0,0,,,,3,3,3,
2012/06/22,16.70,16.80,16.65,16.80,-0.20,-1.1765,16.8600,16.5800,,,,534.0000,316.5000,3,3,3,71.2709,84.6154,81.8182,85.2600,77.2291,53,90,85.2600,77.2291,101.3219,0,0,0,,,,3,3,3,
2012/06/25,16.80,16.80,16.70,16.80,0.00,0.00,16.8800,16.6500,,,,534.0000,365.1000,3,3,3,71.2709,84.6154,76.4706,82.3302,78.9295,39,82,82.3302,78.9295,89.1317,0,0,0,,,,3,3,3,
2012/06/26,16.80,17.10,16.70,17.10,0.30,1.7857,16.9400,16.7450,,,,617.0000,417.0000,3,3,3,82.2720,87.9302,100.0000,88.2201,82.0263,83,85,88.2201,82.0263,100.6077,0,0,0,,,,3,3,3,
2012/06/27,17.10,17.40,17.00,17.40,0.30,1.7544,17.0200,16.8550,,,,705.0000,472.6000,3,3,3,87.8534,90.2272,100.0000,92.1468,85.3998,88,64,92.1468,85.3998,105.6406,0,0,0,,,,3,3,3,
2012/06/28,17.40,17.50,17.30,17.30,-0.10,-0.5747,17.0800,16.9500,,,,608.0000,513.7000,3,3,3,78.0271,84.3872,80.0000,88.0978,86.2992,97,72,88.0978,86.2992,91.6952,0,0,0,,,,3,3,3,
2012/06/29,17.20,17.50,17.20,17.50,0.20,1.1561,17.2200,17.0400,,,,684.0000,557.4000,3,3,3,82.6772,86.3192,100.0000,92.0652,88.2212,76,76,92.0652,88.2212,99.7533,0,0,0,,,,3,3,3,
2012/07/02,17.60,17.70,17.50,17.70,0.20,1.1429,17.4000,17.1400,,,,761.0000,601.0000,3,3,3,86.1855,87.9464,100.0000,94.7101,90.3842,77,84,94.7101,90.3842,103.3621,0,0,0,,,,3,3,3,
