ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,17.65,18.05,17.60,18.00,0.00,0.00,,,,,,0.0000,,1562,,,,,,,,38,,,,,0,,,,,,1562,,,
2012/06/29,17.80,18.10,17.60,17.90,-0.10,-0.5556,,,,,,-66.0000,,1562,,,,,,,,66,,,,,0,,,,,,1562,,,
2012/07/02,18.05,18.05,18.00,18.00,0.10,0.5587,,,,,,-34.0000,,1562,,,,,,,,32,,,,,0,,,,,,1562,,,
2012/07/03,18.00,18.20,18.00,18.00,0.00,0.00,,,,,,-34.0000,,1562,,,,,,,,27,,,,,0,,,,,,1562,,,
2012/07/04,18.15,18.15,17.80,18.00,0.00,0.00,17.9800,,,,,-34.0000,,1562,1563,,,,,,,53,43,,,,0,0,,,,,1562,1563,,
2012/07/05,18.00,18.00,17.80,18.00,0.00,0.00,17.9800,,,,,-34.0000,,1562,1563,,,,,,,55,46,,,,0,0,,,,,1562,1563,,
2012/07/06,17.75,18.20,17.75,18.20,0.20,1.1111,18.0400,,,,,-4.0000,,1562,1563,,75.0000,,,,,30,39,,,,0,0,,,,,1562,1563,,
2012/07/09,18.00,18.05,17.90,18.00,-0.20,-1.0989,18.0400,,,,,-33.0000,,1562,1563,,46.8750,,,,,29,38,,,,0,0,,,,,1562,1563,,
2012/07/10,17.95,18.00,17.95,17.95,-0.05,-0.2778,18.0300,,,,,-96.0000,,1562,1563,,42.1348,,58.3333,52.7778,50.9259,63,46,52.7778,50.9259,56.4815,0,0,,,,,1562,1563,,
2012/07/11,18.00,18.00,17.95,17.95,0.00,0.00,18.0200,18.0000,,,,-96.0000,-43.1000,1562,1563,1563,42.1348,,58.3333,54.6296,52.1605,29,41,54.6296,52.1605,59.5679,0,0,0,,,,1562,1563,1563,
2012/07/12,17.90,18.00,17.90,18.00,0.05,0.2786,18.0200,18.0000,,,,-64.0000,-49.5000,1562,1563,1563,49.4900,,55.5556,54.9383,53.0864,32,36,54.9383,53.0864,58.6420,0,0,0,,,,1562,1563,1563,
2012/07/13,18.00,18.00,18.00,18.00,0.00,0.00,17.9800,18.0100,,,,-64.0000,-49.3000,1562,1563,1563,49.4900,,55.5556,55.1440,53.7723,15,33,55.1440,53.7723,57.8875,0,0,0,,,,1562,1563,1563,
2012/07/16,17.90,18.00,17.85,17.95,-0.05,-0.2778,17.9700,18.0050,,,,-81.0000,-54.0000,1562,1563,1563,41.8330,46.6667,44.4444,51.5775,53.0407,17,31,51.5775,53.0407,48.6511,0,0,0,,,,1562,1563,1563,
2012/07/17,17.90,18.00,17.85,18.00,0.05,0.2786,17.9800,18.0050,,,,-57.0000,-56.3000,1562,1563,1563,50.9413,50.2825,55.5556,52.9035,52.9950,24,23,52.9035,52.9950,52.7206,0,0,0,,,,1562,1563,1563,
2012/07/18,18.00,18.05,18.00,18.00,0.00,0.00,17.9900,18.0050,,,,-57.0000,-58.6000,1562,1563,1563,50.9413,50.2825,55.5556,53.7875,53.2592,16,20,53.7875,53.2592,54.8443,0,0,0,,,,1562,1563,1563,
2012/07/19,18.00,18.00,18.00,18.00,0.00,0.00,17.9900,18.0050,,,,-57.0000,-60.9000,1562,1563,1563,50.9413,50.2825,75.0000,60.8584,55.7922,15,17,60.8584,55.7922,70.9906,0,0,0,,,,1562,1563,1563,
2012/07/20,18.00,18.10,18.00,18.00,0.00,0.00,17.9900,17.9850,,,,-57.0000,-66.2000,1562,1563,1563,50.9413,50.2825,60.0000,60.5722,57.3856,11,16,60.5722,57.3856,66.9456,0,0,0,,,,1562,1563,1563,
2012/07/23,18.00,18.70,18.00,18.70,0.70,3.8889,18.1400,18.0550,,,,-11.0000,-64.0000,1562,1563,1563,91.1540,78.7920,100.0000,73.7148,62.8286,46,22,73.7148,62.8286,95.4872,0,0,0,,,,1562,1563,1563,
2012/07/24,18.65,18.80,18.60,18.80,0.10,0.5348,18.3000,18.1400,,,,41.0000,-50.3000,1562,1563,1563,92.2438,80.5318,100.0000,82.4765,69.3779,52,28,82.4765,69.3779,108.6738,0,0,0,,,,1562,1563,1563,
2012/07/25,18.60,18.80,18.60,18.75,-0.05,-0.266,18.4500,18.2200,18.1100,,,22.0000,-38.5000,1562,1563,1563,85.8943,77.0826,94.7368,86.5633,75.1064,19,28,86.5633,75.1064,109.4771,0,0,0,,,,1562,1563,1563,
2012/07/26,18.75,18.85,18.75,18.85,0.10,0.5333,18.6200,18.3050,18.1525,,,85.0000,-23.6000,1562,1563,1563,87.8942,79.0412,100.0000,91.0422,80.4183,63,38,91.0422,80.4183,112.2899,0,0,0,,,,1562,1563,1563,
2012/07/27,18.75,18.85,18.75,18.80,-0.05,-0.2653,18.7800,18.3850,18.1975,,,55.0000,-11.7000,1562,1563,1563,81.0034,75.5208,95.0000,92.3615,84.3994,30,42,92.3615,84.3994,108.2857,0,0,0,,,,1562,1563,1563,
2012/07/30,18.80,18.90,18.80,18.90,0.10,0.5319,18.8200,18.4800,18.2425,,,79.0000,4.3000,1562,1563,1563,84.0117,77.6889,100.0000,94.9076,87.9021,24,37,94.9076,87.9021,108.9187,0,0,0,,,,1562,1563,1563,
2012/07/31,18.90,18.95,18.90,18.95,0.05,0.2646,18.8500,18.5750,18.2900,,,124.0000,22.4000,1562,1563,1563,85.3990,78.7171,100.0000,96.6051,90.8031,45,36,96.6051,90.8031,108.2090,0,0,0,,,,1562,1563,1563,
2012/08/01,18.95,18.95,18.70,18.95,0.00,0.00,18.8900,18.6700,18.3375,,,124.0000,40.5000,1562,1563,1563,85.3990,78.7171,100.0000,97.7367,93.1143,17,35,97.7367,93.1143,106.9815,0,0,0,,,,1562,1563,1563,
