ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2004/01/28,8.00,8.10,8.00,8.05,0.00,0.00,,,,,,0.0000,,574,,,,,,,,44,,,,,0,,,,,,574,,,
2004/01/29,8.05,8.20,8.00,8.10,0.05,0.6211,,,,,,38.0000,,574,,,,,,,,38,,,,,0,,,,,,574,,,
2004/01/30,8.10,8.40,8.10,8.40,0.30,3.7037,,,,,,66.0000,,574,,,,,,,,28,,,,,0,,,,,,574,,,
2004/02/02,8.55,8.70,8.40,8.70,0.30,3.5714,,,,,,135.0000,,574,,,,,,,,69,,,,,0,,,,,,574,,,
2004/02/03,8.55,8.75,8.50,8.75,0.05,0.5747,8.4000,,,,,161.0000,,574,575,,,,,,,26,41,,,,0,0,,,,,574,575,,
2004/02/04,8.75,8.75,8.70,8.70,-0.05,-0.5714,8.5300,,,,,153.0000,,574,575,,,,,,,8,33,,,,0,0,,,,,574,575,,
2004/02/05,8.55,8.65,8.55,8.65,-0.05,-0.5747,8.6400,,,,,146.0000,,574,575,,87.5000,,,,,7,27,,,,0,0,,,,,574,575,,
2004/02/06,8.35,8.80,8.35,8.70,0.05,0.578,8.7000,,,,,169.0000,,574,575,,88.3721,,,,,23,26,,,,0,0,,,,,574,575,,
2004/02/09,9.30,9.30,9.30,9.30,0.60,6.8966,8.8200,,,,,210.0000,,574,575,,94.1995,,100.0000,66.6667,55.5556,41,21,66.6667,55.5556,88.8889,0,0,,,,,574,575,,
2004/02/10,9.95,9.95,9.95,9.95,0.65,6.9892,9.0600,8.7300,,,,296.0000,137.4000,574,575,575,96.4878,,100.0000,77.7778,62.9630,86,33,77.7778,62.9630,107.4074,0,0,0,,,,574,575,575,
2004/02/11,10.60,10.60,10.60,10.60,0.65,6.5327,9.4400,8.9850,,,,331.0000,170.5000,574,575,575,97.6162,,100.0000,85.1852,70.3704,35,38,85.1852,70.3704,114.8148,0,0,0,,,,574,575,575,
2004/02/12,11.30,11.30,10.70,11.30,0.70,6.6038,9.9700,9.3050,,,,1863.0000,353.0000,574,575,575,98.3156,,100.0000,90.1235,76.9547,1532,343,90.1235,76.9547,116.4609,0,0,0,,,,574,575,575,
2004/02/13,10.90,11.75,10.80,11.10,-0.20,-1.7699,10.4500,9.5750,,,,1537.0000,500.1000,574,575,575,89.3298,91.7808,80.8824,87.0431,80.3175,326,404,87.0431,80.3175,100.4942,0,0,0,,,,574,575,575,
2004/02/16,11.15,11.20,10.35,10.40,-0.70,-6.3063,10.6700,9.7450,,,,1374.0000,624.0000,574,575,575,64.5507,75.9011,60.2941,78.1268,79.5873,163,428,78.1268,79.5873,75.2058,0,0,0,,,,574,575,575,
2004/02/17,10.40,10.85,10.40,10.80,0.40,3.8462,10.8400,9.9500,,,,1531.0000,761.0000,574,575,575,70.2159,78.2473,72.0588,76.1041,78.4262,157,442,76.1041,78.4262,71.4599,0,0,0,,,,574,575,575,
2004/02/18,10.80,10.80,10.05,10.70,-0.10,-0.9259,10.8600,10.1500,,,,1277.0000,873.4000,574,575,575,67.0036,76.2234,69.1176,73.7753,76.8759,254,486,73.7753,76.8759,67.5741,0,0,0,,,,574,575,575,
2004/02/19,10.60,10.60,10.10,10.35,-0.35,-3.271,10.6700,10.3200,,,,1254.0000,984.2000,574,575,575,56.2040,69.3725,42.8571,63.4692,72.4070,23,184,63.4692,72.4070,45.5937,0,0,0,,,,574,575,575,
2004/02/20,10.00,10.50,9.80,10.20,-0.15,-1.4493,10.4900,10.4700,,,,1164.0000,1083.7000,574,575,575,51.9017,66.5749,20.5128,49.1504,64.6548,90,137,49.1504,64.6548,18.1417,0,0,0,,,,574,575,575,
2004/02/23,9.85,10.20,9.85,10.00,-0.20,-1.9608,10.4100,10.5400,,,,1127.0000,1175.4000,574,575,575,46.2386,62.8862,10.2564,36.1858,55.1651,37,112,36.1858,55.1651,-1.7730,0,0,0,,,,574,575,575,
2004/02/24,10.00,10.20,9.45,9.45,-0.55,-5.50,10.1400,10.4900,9.6100,,,1098.0000,1255.6000,574,575,575,33.9972,53.9230,0.0000,24.1238,44.8180,29,86,24.1238,44.8180,-17.2646,0,0,0,,,,574,575,575,
2004/02/25,10.05,10.05,9.70,9.80,0.35,3.7037,9.9600,10.4100,9.6975,,,1129.0000,1335.4000,574,575,575,45.0969,58.0717,15.2174,21.1550,36.9304,31,42,21.1550,36.9304,-10.3957,0,0,0,,,,574,575,575,
2004/02/26,10.00,10.00,9.85,9.85,0.05,0.5102,9.8600,10.2650,9.7850,,,1159.0000,1265.0000,574,575,575,46.6353,58.6518,22.8571,21.7224,31.8610,30,43,21.7224,31.8610,1.4451,0,0,0,,,,574,575,575,
2004/02/27,9.60,9.75,9.20,9.60,-0.25,-2.5381,9.7400,10.1150,9.8450,,,983.0000,1209.6000,574,575,575,39.9232,54.5356,24.2424,22.5624,28.7615,176,60,22.5624,28.7615,10.1642,0,0,0,,,,574,575,575,
2004/03/01,9.50,9.80,9.45,9.80,0.20,2.0833,9.7000,10.0550,9.9000,,,1043.0000,1176.5000,574,575,575,47.2164,57.1595,37.5000,27.5416,28.3549,60,65,27.5416,28.3549,25.9151,0,0,0,,,,574,575,575,
2004/03/02,9.65,9.80,9.60,9.80,0.00,0.00,9.7700,9.9550,9.9525,,,1043.0000,1127.7000,574,575,575,47.2164,57.1595,42.8571,32.6468,29.7855,28,65,32.6468,29.7855,38.3693,0,0,0,,,,574,575,575,
2004/03/03,9.80,10.00,9.80,9.90,0.10,1.0204,9.7900,9.8750,10.0125,,,1133.0000,1113.3000,574,575,575,51.4592,58.5819,53.8462,39.7132,33.0948,90,76,39.7132,33.0948,52.9502,0,0,0,,0.2013,,574,575,575,
2004/03/04,10.00,10.20,10.00,10.20,0.30,3.0303,9.8600,9.8600,10.0900,,,1239.0000,1111.8000,574,575,575,62.3531,62.6414,100.0000,59.8088,41.9994,106,92,59.8088,41.9994,95.4276,0,0,0,,0.2151,,574,575,575,
2004/03/05,10.50,10.50,10.00,10.10,-0.10,-0.9804,9.9600,9.8500,10.1600,,,1232.0000,1118.6000,574,575,575,57.2167,60.4856,69.2308,62.9495,48.9828,7,58,62.9495,48.9828,90.8828,0,0,0,,0.2154,,574,575,575,
2004/03/08,9.90,9.90,9.70,9.70,-0.40,-3.9604,9.9400,9.8200,10.1800,,,1219.0000,1127.8000,574,575,575,41.0036,52.5884,38.4615,54.7868,50.9175,13,48,54.7868,50.9175,62.5256,0,0,0,,0.1814,,574,575,575,
2004/03/09,9.70,10.10,9.70,10.10,0.40,4.1237,10.0000,9.8850,10.1875,,,1233.0000,1141.3000,574,575,575,55.9740,58.4995,69.2308,59.6015,53.8121,14,46,59.6015,53.8121,71.1802,0,0,0,,0.1845,,574,575,575,
2004/03/10,9.70,10.00,9.60,10.00,-0.10,-0.9901,10.0200,9.9050,10.1575,,,1228.0000,1151.2000,574,575,575,52.0144,56.5758,61.5385,60.2471,55.9571,5,29,60.2471,55.9571,68.8271,0,0,0,,0.1769,,574,575,575,
2004/03/11,9.70,10.00,9.70,10.00,0.00,0.00,9.9800,9.9200,10.0925,,,1228.0000,1158.1000,574,575,575,52.0144,56.5758,52.3810,57.6251,56.5131,22,12,57.6251,56.5131,59.8490,0,0,0,,0.1689,,574,575,575,
2004/03/12,9.60,10.00,9.60,10.00,0.00,0.00,9.9600,9.9600,10.0375,,,1228.0000,1182.6000,574,575,575,52.0144,56.5758,44.4444,53.2315,55.4193,16,14,53.2315,55.4193,48.8561,0,0,0,,0.1608,,574,575,575,
2004/03/15,9.70,9.90,9.50,9.90,-0.10,-1.00,10.0000,9.9700,10.0125,,,1176.0000,1195.9000,574,575,575,46.3488,54.2593,40.0000,48.8210,53.2198,52,21,48.8210,53.2198,40.0234,0,0,0,-0.0773,0.1445,0.1832,574,575,575,
2004/03/16,9.50,9.75,9.50,9.75,-0.15,-1.5152,9.9300,9.9650,9.9600,,,1149.0000,1206.5000,574,575,575,38.7511,50.8522,25.0000,40.8807,49.1068,27,24,40.8807,49.1068,24.4285,0,0,0,-0.1040,0.1182,0.1702,574,575,575,
2004/03/18,9.70,9.70,9.60,9.60,-0.15,-1.5385,9.8500,9.9350,9.9050,,,1142.0000,1207.4000,574,575,575,32.3814,47.5921,10.0000,30.5871,42.9336,7,24,30.5871,42.9336,5.8942,0,0,0,-0.1375,0.0843,0.1530,574,575,575,
2004/03/19,9.70,9.80,9.50,9.80,0.20,2.0833,9.8100,9.8950,9.8775,,,1153.0000,1198.8000,574,575,575,46.4619,52.0623,50.0000,37.0581,40.9751,11,22,37.0581,40.9751,29.2241,0,0,0,-0.1285,0.0727,0.1370,574,575,575,
2004/03/22,9.15,9.15,9.15,9.15,-0.65,-6.6327,9.6400,9.8000,9.8250,,,1140.0000,1189.6000,574,575,575,25.6396,39.9736,0.0000,24.7054,35.5518,13,22,24.7054,35.5518,3.0125,0,0,0,-0.2016,0.0109,0.1118,574,575,575,
2004/03/23,8.55,8.95,8.55,8.95,-0.20,-2.1858,9.4500,9.7250,9.7725,,,1114.0000,1179.1000,574,575,575,21.9993,37.0834,27.5862,25.6657,32.2564,26,16,25.6657,32.2564,12.4841,0,0,0,-0.2645,-0.0535,0.0787,574,575,575,
2004/03/24,8.65,8.75,8.40,8.75,-0.20,-2.2346,9.2500,9.5900,9.7375,,,1073.0000,1163.1000,574,575,575,18.7968,34.3722,21.8750,24.4021,29.6383,41,19,24.4021,29.6383,13.9297,0,0,0,-0.3169,-0.1194,0.0391,574,575,575,
2004/03/25,8.40,8.60,8.40,8.60,-0.15,-1.7143,9.0500,9.4500,9.6775,,,1071.0000,1147.4000,574,575,575,16.6194,32.4322,12.5000,20.4347,26.5705,2,18,20.4347,26.5705,8.1633,0,0,0,-0.3531,-0.1816,-0.0051,574,575,575,
