ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2007/07/13,14.50,14.50,14.15,14.20,0.00,0.00,,,,,,0.0000,,6,,,,,,,,174,,,,,0,,,,,,6,,,
2007/07/16,14.05,14.50,14.05,14.50,0.30,2.1127,,,,,,191.0000,,6,,,,,,,,191,,,,,0,,,,,,6,,,
2007/07/17,14.35,14.60,14.30,14.55,0.05,0.3448,,,,,,511.0000,,6,,,,,,,,320,,,,,0,,,,,,6,,,
2007/07/18,14.60,15.20,14.60,14.85,0.30,2.0619,,,,,,933.0000,,6,,,,,,,,422,,,,,0,,,,,,6,,,
2007/07/19,14.90,15.50,14.90,15.10,0.25,1.6835,14.6400,,,,,1151.0000,,0,5,,,,,,,218,265,,,,0,0,,,,,0,5,,
2007/07/20,15.25,15.35,14.90,15.30,0.20,1.3245,14.8600,,,,,1378.0000,,0,4,,,,,,,227,275,,,,0,0,,,,,0,4,,
2007/07/23,15.50,15.65,15.45,15.60,0.30,1.9608,15.0800,,,,,1745.0000,,5,3,,100.0000,,,,,367,310,,,,0,0,,,,,5,3,,
2007/07/24,15.80,15.80,15.00,15.10,-0.50,-3.2051,15.1900,,,,,1580.0000,,5,3,,70.0000,,,,,165,279,,,,0,0,,,,,5,3,,
2007/07/25,15.20,15.50,15.05,15.35,0.25,1.6556,15.2900,,,,,1775.0000,,5,3,,74.5763,,74.2857,58.0952,52.6984,195,234,58.0952,52.6984,68.8889,0,0,,,,,5,3,,
2007/07/26,15.30,15.40,15.00,15.05,-0.30,-1.9544,15.2800,14.9600,,,,1626.0000,1089.0000,5,4,4,61.1451,,57.1429,57.7778,54.3915,149,220,57.7778,54.3915,64.5503,0,0,0,,,,5,4,4,
2007/07/27,14.70,15.00,14.70,15.00,-0.05,-0.3322,15.2200,15.0400,,,,1570.0000,1246.0000,5,5,4,59.0192,,46.6667,54.0741,54.2857,56,186,54.0741,54.2857,53.6508,0,0,0,,,,5,5,4,
2007/07/30,15.00,15.00,14.55,15.00,0.00,0.00,15.1000,15.0900,,,,1570.0000,1383.9000,5,5,4,59.0192,,36.0000,48.0494,52.2069,55,124,48.0494,52.2069,39.7343,0,0,0,,,,5,5,4,
2007/07/31,14.95,15.35,14.95,15.20,0.20,1.3333,15.1200,15.1550,,,,1590.0000,1491.8000,5,5,4,65.8568,68.5185,52.0000,49.3663,51.2600,20,95,49.3663,51.2600,45.5787,0,0,0,,,,5,5,4,
2007/08/01,15.25,15.25,15.00,15.00,-0.20,-1.3158,15.0500,15.1700,,,,1554.0000,1553.9000,5,5,4,54.8707,63.3956,36.0000,44.9108,49.1436,36,63,44.9108,49.1436,36.4452,0,0,0,,,,5,5,4,
2007/08/02,15.00,15.00,14.30,14.70,-0.30,-2.00,14.9800,15.1300,,,,1505.0000,1589.3000,5,5,4,42.1994,56.4850,26.6667,38.8294,45.7056,49,43,38.8294,45.7056,25.0772,0,0,0,,,,5,5,4,
2007/08/03,14.70,14.70,14.60,14.60,-0.10,-0.6803,14.9000,15.0600,,,,1477.0000,1599.2000,5,5,5,38.6309,54.3313,20.0000,32.5530,41.3214,28,37,32.5530,41.3214,15.0161,0,0,0,,,,5,5,5,
2007/08/06,14.50,14.75,14.25,14.75,0.15,1.0274,14.8500,14.9750,,,,1484.0000,1573.1000,5,5,5,46.7380,57.0133,40.0000,35.0353,39.2260,7,28,35.0353,39.2260,26.6539,0,0,0,,,,5,5,5,
2007/08/07,14.85,14.85,14.85,14.85,0.10,0.678,14.7800,14.9500,,,,1485.0000,1563.6000,5,5,5,51.8288,58.7741,52.1739,40.7482,39.7334,1,24,40.7482,39.7334,42.7777,0,0,0,,,,5,5,5,
2007/08/08,14.80,14.80,14.80,14.80,-0.05,-0.3367,14.7400,14.8950,,,,1484.0000,1534.5000,5,5,5,49.0177,57.4896,50.0000,43.8321,41.0996,1,17,43.8321,41.0996,49.2971,0,0,0,,,,5,5,5,
2007/08/09,14.60,14.95,14.60,14.95,0.15,1.0135,14.7900,14.8850,14.9225,,,1492.0000,1521.1000,5,5,5,57.3462,60.3272,63.6364,50.4335,44.2109,8,9,50.4335,44.2109,62.8787,0,0,0,,,,5,5,5,
2007/08/10,14.85,14.85,14.85,14.85,-0.10,-0.6689,14.8400,14.8700,14.9550,,,1487.0000,1512.8000,5,5,5,50.7179,57.5342,54.5455,51.8042,46.7420,5,4,51.8042,46.7420,61.9285,0,0,0,,,,5,5,5,
2007/08/13,14.70,15.00,14.55,14.60,-0.25,-1.6835,14.8100,14.8300,14.9600,,,1452.0000,1501.0000,5,5,5,37.6596,51.0841,35.0000,46.2028,46.5623,35,10,46.2028,46.5623,45.4838,0,0,0,,,,5,5,5,
2007/08/14,14.60,14.60,14.50,14.50,-0.10,-0.6849,14.7400,14.7600,14.9575,,,1432.0000,1485.2000,5,5,5,33.5173,48.7016,33.3333,41.9130,45.0125,20,13,41.9130,45.0125,35.7139,0,0,0,,,,5,5,5,
2007/08/15,14.40,14.40,14.10,14.10,-0.40,-2.7586,14.6000,14.6700,14.9200,,,1394.0000,1469.2000,5,5,5,21.9359,40.4661,0.0000,27.9420,39.3223,38,21,27.9420,39.3223,5.1813,0,0,0,,,,5,5,5,
2007/08/16,14.10,14.10,13.45,13.45,-0.65,-4.6099,14.3000,14.5450,14.8375,,,1157.0000,1434.4000,0,4,4,13.1055,31.1333,0.0000,18.6280,32.4242,237,67,18.6280,32.4242,-8.9645,0,0,0,,,,0,4,4,
2007/08/17,13.60,13.70,13.20,13.30,-0.15,-1.1152,13.9900,14.4150,14.7375,,,1037.0000,1390.4000,0,3,4,11.7911,29.4249,5.5556,14.2705,26.3730,120,90,14.2705,26.3730,-9.9344,0,0,0,,-0.4421,,0,3,4,
2007/08/20,13.50,13.80,13.50,13.80,0.50,3.7594,13.8300,14.3200,14.6475,,,1100.0000,1352.0000,0,2,4,37.0469,41.1651,33.3333,20.6248,24.4569,63,95,20.6248,24.4569,12.9605,0,0,0,,-0.4494,,0,2,4,
2007/08/21,13.50,13.60,13.35,13.35,-0.45,-3.2609,13.6000,14.1700,14.5600,,,1078.0000,1311.3000,0,1,3,28.2968,35.3857,8.3333,16.5276,21.8138,22,96,16.5276,21.8138,5.9553,0,0,0,,-0.4859,,0,1,3,
2007/08/22,13.50,13.85,13.40,13.85,0.50,3.7453,13.5500,14.0750,14.4850,,,1112.0000,1274.1000,0,0,2,45.4695,44.7825,36.1111,23.0555,22.2277,34,95,23.0555,22.2277,24.7110,0,0,0,,-0.4691,,0,0,2,
2007/08/23,13.80,13.90,13.80,13.90,0.05,0.361,13.6400,13.9700,14.4275,,,1124.0000,1237.3000,0,0,2,46.9929,45.6448,38.8889,28.3333,24.2629,12,50,28.3333,24.2629,36.4740,0,0,0,,-0.4466,,0,0,2,
2007/08/24,13.90,13.90,13.50,13.50,-0.40,-2.8777,13.6800,13.8350,14.3525,,,1105.0000,1199.1000,0,0,2,37.0550,40.1698,21.4286,26.0317,24.8525,19,30,26.0317,24.8525,28.3901,0,0,0,,-0.4558,,0,0,2,
2007/08/27,13.55,13.65,13.50,13.65,0.15,1.1111,13.6500,13.7400,14.2850,,,1132.0000,1167.1000,0,0,1,42.5246,42.9684,37.5000,29.8545,26.5198,27,22,29.8545,26.5198,36.5238,0,0,0,,-0.4459,,0,0,1,
2007/08/28,13.65,13.75,13.50,13.50,-0.15,-1.0989,13.6800,13.6400,14.2000,,,665.0000,1090.4000,0,0,0,38.5091,40.8823,33.3333,31.0141,28.0179,467,111,31.0141,28.0179,37.0065,0,0,0,,-0.4450,,0,0,0,
2007/08/29,13.60,13.65,13.45,13.65,0.15,1.1111,13.6400,13.5950,14.1325,,,764.0000,1027.4000,0,0,0,44.7677,43.8558,64.2857,42.1046,32.7135,99,124,42.1046,32.7135,60.8869,0,0,0,0.0494,-0.4272,-0.4519,0,0,0,
2007/08/30,13.65,13.65,13.50,13.50,-0.15,-1.0989,13.5600,13.6000,14.0725,,,704.0000,982.1000,0,0,0,39.8950,41.5746,27.2727,37.1607,34.1959,60,134,37.1607,34.1959,43.0902,0,0,0,0.0504,-0.4204,-0.4456,0,0,0,
