ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/24,13.90,14.10,13.90,14.10,0.00,0.00,,,,,,0.0000,,49,,,,,,,,31,,,,,0,,,,,,49,,,
2012/05/25,14.05,14.05,13.85,13.90,-0.20,-1.4184,,,,,,-40.0000,,49,,,,,,,,40,,,,,0,,,,,,49,,,
2012/05/28,13.90,13.90,13.90,13.90,0.00,0.00,,,,,,-40.0000,,49,,,,,,,,1,,,,,0,,,,,,49,,,
2012/05/29,13.95,13.95,13.90,13.90,0.00,0.00,,,,,,-40.0000,,49,,,,,,,,8,,,,,0,,,,,,49,,,
2012/05/30,13.80,13.90,13.75,13.90,0.00,0.00,13.9400,,,,,-40.0000,,49,50,,,,,,,6,17,,,,0,0,,,,,49,50,,
2012/05/31,13.90,14.20,13.90,14.20,0.30,2.1583,13.9600,,,,,-32.0000,,49,50,,,,,,,8,12,,,,0,0,,,,,49,50,,
2012/06/01,13.95,13.95,13.95,13.95,-0.25,-1.7606,13.9700,,,,,-33.0000,,49,50,,40.0000,,,,,1,4,,,,0,0,,,,,49,50,,
2012/06/05,14.10,14.10,13.80,13.95,0.00,0.00,13.9800,,,,,-33.0000,,49,50,,40.0000,,,,,8,6,,,,0,0,,,,,49,50,,
2012/06/06,13.90,13.90,13.80,13.80,-0.15,-1.0753,13.9600,,,,,-35.0000,,49,50,,31.0559,,11.1111,37.0370,45.6790,2,5,37.0370,45.6790,19.7531,0,0,,,,,49,50,,
2012/06/07,13.80,13.80,13.80,13.80,0.00,0.00,13.9400,13.9400,,,,-35.0000,-32.8000,49,50,50,31.0559,,11.1111,28.3951,39.9177,16,7,28.3951,39.9177,5.3498,0,0,0,,,,49,50,50,
