ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/14,27.75,28.00,27.75,27.80,0.00,0.00,,,,,,0.0000,,6,,,,,,,,30,,,,,0,,,,,,6,,,
2012/06/15,28.80,28.80,27.60,28.50,0.70,2.518,,,,,,5.0000,,6,,,,,,,,5,,,,,0,,,,,,6,,,
2012/06/18,28.10,28.20,28.10,28.15,-0.35,-1.2281,,,,,,-7.0000,,6,,,,,,,,12,,,,,0,,,,,,6,,,
2012/06/19,28.05,28.15,28.05,28.15,0.00,0.00,,,,,,-7.0000,,6,,,,,,,,6,,,,,0,,,,,,6,,,
2012/06/20,28.45,28.80,28.25,28.80,0.65,2.3091,28.2800,,,,,3.0000,,6,6,,,,,,,10,12,,,,0,0,,,,,6,6,,
2012/06/21,28.80,28.90,28.15,28.90,0.10,0.3472,28.5000,,,,,28.0000,,6,6,,,,,,,25,11,,,,0,0,,,,,6,6,,
2012/06/22,28.90,29.10,28.60,29.10,0.20,0.692,28.6200,,,,,71.0000,,6,6,,82.5000,,,,,43,19,,,,0,0,,,,,6,6,,
2012/06/25,29.20,29.45,28.90,29.30,0.20,0.6873,28.8500,,,,,141.0000,,6,6,,84.3750,,,,,70,30,,,,0,0,,,,,6,6,,
2012/06/26,29.00,29.40,29.00,29.30,0.00,0.00,29.0800,,,,,141.0000,,6,6,,84.3750,,91.8919,63.9640,54.6547,51,39,63.9640,54.6547,82.5826,0,0,,,,,6,6,,
2012/06/27,29.40,29.90,29.40,29.70,0.40,1.3652,29.2600,28.7700,,,,227.0000,60.2000,6,6,6,88.0595,,91.3043,73.0774,60.7956,86,55,73.0774,60.7956,97.6411,0,0,0,,,,6,6,6,
2012/06/28,29.80,30.30,29.80,30.30,0.60,2.0202,29.5400,29.0200,,,,273.0000,87.5000,6,6,6,91.6175,,100.0000,82.0516,67.8809,46,59,82.0516,67.8809,110.3930,0,0,0,,,,6,6,6,
2012/06/29,30.60,31.80,30.55,31.70,1.40,4.6205,30.0600,29.3400,,,,328.0000,119.8000,6,6,6,95.4302,,97.3333,87.1455,74.3025,55,61,87.1455,74.3025,112.8317,0,0,0,,,,6,6,6,
2012/07/02,33.90,33.90,32.60,33.30,1.60,5.0473,30.8600,29.8550,,,,459.0000,166.4000,6,6,6,97.1857,94.3548,89.5652,87.9521,78.8523,131,73,87.9521,78.8523,106.1516,0,0,0,,,,6,6,6,
2012/07/03,33.30,35.00,33.30,33.90,0.60,1.8018,31.7800,30.4300,,,,563.0000,223.4000,6,6,6,97.6005,94.8939,83.9416,86.6153,81.4400,104,84,86.6153,81.4400,96.9658,0,0,0,,,,6,6,6,
2012/07/04,34.60,34.80,33.00,33.60,-0.30,-0.885,32.5600,30.9100,,,,413.0000,264.4000,6,6,6,89.6706,90.1960,78.1250,83.7852,82.2217,150,97,83.7852,82.2217,86.9121,0,0,0,,,,6,6,6,
2012/07/05,34.50,35.70,34.00,34.00,0.40,1.1905,33.3000,31.4200,,,,938.0000,355.4000,6,6,6,90.8589,90.8545,75.0000,80.8568,81.7667,525,193,80.8568,81.7667,79.0369,0,0,0,,,,6,6,6,
2012/07/06,34.20,35.20,34.00,34.00,0.00,0.00,33.7600,31.9100,,,,938.0000,442.1000,6,6,6,90.8589,90.8545,74.6269,78.7801,80.7712,341,250,78.7801,80.7712,74.7980,0,0,0,,,,6,6,6,
