ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,11.65,11.70,11.55,11.55,0.00,0.00,,,,,,0.0000,,0,,,,,,,,13,,,,,0,,,,,,0,,,
2012/06/29,11.65,11.65,11.55,11.60,0.05,0.4329,,,,,,13.0000,,0,,,,,,,,13,,,,,0,,,,,,0,,,
2012/07/02,11.60,11.80,11.60,11.70,0.10,0.8621,,,,,,43.0000,,0,,,,,,,,30,,,,,0,,,,,,0,,,
2012/07/03,11.70,11.85,11.70,11.85,0.15,1.2821,,,,,,66.0000,,0,,,,,,,,23,,,,,0,,,,,,0,,,
2012/07/04,11.90,12.00,11.85,12.00,0.15,1.2658,11.7400,,,,,110.0000,,0,1,,,,,,,44,24,,,,0,0,,,,,0,1,,
2012/07/05,12.05,12.05,11.85,12.00,0.00,0.00,11.8300,,,,,110.0000,,0,1,,,,,,,17,25,,,,0,0,,,,,0,1,,
2012/07/06,12.00,12.20,11.85,12.00,0.00,0.00,11.9100,,,,,110.0000,,0,1,,100.0000,,,,,38,30,,,,0,0,,,,,0,1,,
2012/07/09,12.05,12.20,11.90,11.90,-0.10,-0.8333,11.9500,,,,,94.0000,,0,1,,78.9474,,,,,16,27,,,,0,0,,,,,0,1,,
2012/07/10,12.10,12.10,12.00,12.00,0.10,0.8403,11.9800,,,,,106.0000,,0,1,,83.1933,,69.2308,56.4103,52.1368,12,25,56.4103,52.1368,64.9573,0,0,,,,,0,1,,
2012/07/11,12.05,12.20,11.85,12.00,0.00,0.00,11.9800,11.8600,,,,106.0000,75.8000,0,1,1,83.1933,,69.2308,60.6838,54.9858,29,22,60.6838,54.9858,72.0798,0,0,0,,,,0,1,1,
2012/07/12,12.05,12.15,11.90,11.90,-0.10,-0.8333,11.9600,11.8950,,,,68.0000,82.6000,0,1,1,64.4699,,50.0000,57.1225,55.6980,38,26,57.1225,55.6980,59.9715,0,0,0,,,,0,1,1,
2012/07/13,12.10,12.10,11.90,12.00,0.10,0.8403,11.9600,11.9350,,,,91.0000,90.4000,0,1,1,72.0251,,60.0000,58.0817,56.4926,23,23,58.0817,56.4926,61.2599,0,0,0,,,,0,1,1,
2012/07/16,12.00,12.05,12.00,12.05,0.05,0.4167,11.9900,11.9700,,,,102.0000,96.3000,0,1,1,75.1904,77.7778,57.1429,57.7687,56.9180,11,22,57.7687,56.9180,59.4703,0,0,0,,,,0,1,1,
2012/07/17,12.00,12.05,12.00,12.05,0.00,0.00,12.0000,11.9900,,,,102.0000,99.9000,0,1,1,75.1904,77.7778,57.1429,57.5601,57.1320,17,23,57.5601,57.1320,58.4163,0,0,0,,,,0,1,1,
2012/07/18,12.05,12.10,11.80,12.05,0.00,0.00,12.0100,11.9950,,,,102.0000,99.1000,0,1,1,75.1904,77.7778,62.5000,59.2067,57.8236,94,36,59.2067,57.8236,61.9731,0,0,0,,,,0,1,1,
2012/07/19,12.00,12.05,11.95,12.00,-0.05,-0.4149,12.0300,11.9950,,,,74.0000,95.5000,0,1,1,62.8934,72.5454,50.0000,56.1378,57.2617,28,34,56.1378,57.2617,53.8902,0,0,0,,,,0,1,1,
2012/07/20,12.00,12.00,11.75,11.75,-0.25,-2.0833,11.9800,11.9700,,,,56.0000,90.1000,0,1,1,31.7440,53.0710,0.0000,37.4252,50.6495,18,33,37.4252,50.6495,10.9766,0,0,0,,,,0,1,1,
2012/07/23,11.80,11.85,11.70,11.80,0.05,0.4255,11.9300,11.9600,,,,79.0000,88.6000,0,1,1,38.9953,55.6675,20.0000,31.6168,44.3053,23,36,31.6168,44.3053,6.2399,0,0,0,,,,0,1,1,
2012/07/24,11.80,11.85,11.65,11.70,-0.10,-0.8475,11.8600,11.9300,,,,-835.0000,-5.5000,0,1,1,31.0727,49.6713,10.0000,24.4112,37.6739,914,215,24.4112,37.6739,-2.1142,0,0,0,,,,0,1,1,
2012/07/25,10.80,10.80,10.50,10.80,-0.90,-7.6923,11.6100,11.8100,11.8350,,,-941.0000,-110.2000,0,1,1,9.7278,24.1409,18.7500,22.5241,32.6240,106,217,22.5241,32.6240,2.3244,0,0,0,,,,0,1,1,
2012/07/26,10.50,10.60,10.35,10.45,-0.35,-3.2407,11.3000,11.6650,11.7800,,,-973.0000,-214.3000,0,1,1,7.3664,19.8192,5.7143,16.9209,27.3896,32,218,16.9209,27.3896,-4.0167,0,0,0,,,,0,1,1,
2012/07/27,10.50,10.50,10.30,10.35,-0.10,-0.9569,11.0200,11.5000,11.7175,,,-1018.0000,-325.2000,0,1,1,6.8004,18.7717,2.7778,12.2065,22.3286,45,224,12.2065,22.3286,-8.0377,0,0,0,,,,0,1,1,
2012/07/30,10.40,10.45,10.40,10.40,0.05,0.4831,10.7400,11.3350,11.6525,,,-1003.0000,-435.7000,0,1,1,10.9076,21.0477,5.5556,9.9895,18.2156,15,222,9.9895,18.2156,-6.4626,0,0,0,,,,0,1,1,
2012/07/31,10.50,10.50,10.40,10.40,0.00,0.00,10.4800,11.1700,11.5800,,,-1003.0000,-546.2000,0,1,1,10.9076,21.0477,5.7143,8.5644,14.9985,18,43,8.5644,14.9985,-4.3037,0,0,0,,,,0,1,1,
2012/08/01,10.20,10.55,10.20,10.40,0.00,0.00,10.4000,11.0050,11.5000,,,-1003.0000,-656.7000,0,1,1,10.9076,21.0477,11.1111,9.4133,13.1368,15,25,9.4133,13.1368,1.9664,0,0,0,,,,0,1,1,
2012/08/03,10.50,10.50,10.45,10.45,0.05,0.4808,10.4000,10.8500,11.4225,,,-994.0000,-763.5000,0,1,1,17.2120,23.8189,15.1515,11.3261,12.5332,9,20,11.3261,12.5332,8.9118,0,0,0,,-0.6229,,0,1,1,
2012/08/06,10.50,10.60,10.50,10.50,0.05,0.4785,10.4300,10.7250,11.3475,,,-984.0000,-867.5000,0,1,1,23.6917,26.6284,18.1818,13.6113,12.8926,10,13,13.6113,12.8926,15.0488,0,0,0,,-0.6077,,0,1,1,
2012/08/07,10.50,10.55,10.50,10.55,0.05,0.4762,10.4600,10.6000,11.2800,,,-970.0000,-972.4000,0,1,1,30.2434,29.4660,58.3333,28.5187,18.1013,14,13,28.5187,18.1013,49.3534,0,0,0,,-0.5848,,0,1,1,
2012/08/08,10.45,10.50,10.40,10.45,-0.10,-0.9479,10.4700,10.4750,11.2025,,,-985.0000,-987.4000,0,1,1,25.0762,27.1731,62.5000,39.8458,25.3494,15,12,39.8458,25.3494,68.8384,0,0,0,,-0.5683,,0,1,1,
2012/08/09,10.40,10.50,10.40,10.50,0.05,0.4785,10.4900,10.4450,11.1275,,,-974.0000,-990.7000,0,1,1,32.0426,30.1384,75.0000,51.5638,34.0876,11,11,51.5638,34.0876,86.5164,0,0,0,,-0.5448,,0,1,1,
2012/08/10,10.50,10.50,10.40,10.50,0.00,0.00,10.5000,10.4500,11.0575,,,-974.0000,-990.8000,0,1,1,32.0426,30.1384,75.0000,59.3759,42.5170,21,14,59.3759,42.5170,93.0937,0,0,0,,-0.5202,,0,1,1,
2012/08/13,10.50,10.50,10.35,10.50,0.00,0.00,10.5000,10.4650,10.9825,,,-974.0000,-986.4000,0,1,1,32.0426,30.1384,75.0000,64.5839,49.8727,11,14,64.5839,49.8727,94.0065,0,0,0,,-0.4950,,0,1,1,
2012/08/14,10.60,10.60,10.50,10.55,0.05,0.4762,10.5000,10.4800,10.9075,,,-950.0000,-981.1000,0,1,1,41.4499,33.6459,87.5000,72.2226,57.3226,24,16,72.2226,57.3226,102.0226,0,0,0,,-0.4657,,0,1,1,
2012/08/15,10.55,10.55,10.25,10.55,0.00,0.00,10.5200,10.4950,10.8325,,,-950.0000,-975.8000,0,1,1,41.4499,33.6459,85.7143,76.7198,63.7884,25,18,76.7198,63.7884,102.5828,0,0,0,0.2023,-0.4374,-0.5385,0,1,1,
2012/08/16,10.50,10.50,10.30,10.50,-0.05,-0.4739,10.5200,10.5050,10.7550,,,-976.0000,-973.1000,0,1,1,34.5607,31.7489,71.4286,74.9561,67.5109,26,21,74.9561,67.5109,89.8464,0,0,0,0.1990,-0.4142,-0.5137,0,1,1,
2012/08/17,10.60,10.60,10.55,10.55,0.05,0.4762,10.5300,10.5150,10.6825,,,-964.0000,-970.1000,0,1,1,45.4421,35.7036,85.7143,78.5422,71.1880,12,19,78.5422,71.1880,93.2504,0,0,0,0.2022,-0.3873,-0.4884,0,1,1,
