ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/25,13.65,13.70,13.30,13.55,0.00,0.00,,,,,,0.0000,,5,,,,,,,,133,,,,,0,,,,,,5,,,
2012/05/28,13.55,13.90,13.50,13.85,0.30,2.214,,,,,,46.0000,,7,,,,,,,,46,,,,,0,,,,,,7,,,
2012/05/29,14.00,14.10,13.90,14.00,0.15,1.083,,,,,,128.0000,,7,,,,,,,,82,,,,,0,,,,,,7,,,
2012/05/30,14.10,14.50,14.10,14.25,0.25,1.7857,,,,,,167.0000,,1,,,,,,,,39,,,,,0,,,,,,1,,,
2012/05/31,14.25,14.50,14.25,14.25,0.00,0.00,13.9800,,,,,167.0000,,1,4,,,,,,,13,62,,,,0,0,,,,,1,5,,
2012/06/01,14.35,14.35,14.20,14.20,-0.05,-0.3509,14.1100,,,,,99.0000,,3,4,,,,,,,68,49,,,,0,0,,,,,3,4,,
2012/06/04,14.00,14.10,13.60,14.00,-0.20,-1.4085,14.1400,,,,,48.0000,,2,3,,73.6842,,,,,51,50,,,,0,0,,,,,2,3,,
2012/06/05,13.95,14.00,13.95,14.00,0.00,0.00,14.1400,,,,,48.0000,,6,3,,73.6842,,,,,52,44,,,,0,0,,,,,6,3,,
2012/06/06,14.10,14.20,14.10,14.15,0.15,1.0714,14.1200,,,,,63.0000,,9,4,,78.5592,,70.8333,56.9444,52.3148,15,39,56.9444,52.3148,66.2037,0,0,,,,,9,5,,
2012/06/07,14.20,14.40,14.20,14.25,0.10,0.7067,14.1200,14.0500,,,,86.0000,85.2000,13,7,5,81.3266,,75.0000,62.9630,55.8642,23,41,62.9630,55.8642,77.1605,0,0,0,,,,13,7,6,
2012/06/08,13.65,14.25,13.65,14.25,0.00,0.00,14.1300,14.1200,,,,86.0000,93.8000,15,9,6,81.3266,,72.2222,66.0494,59.2593,7,29,66.0494,59.2593,79.6296,0,0,0,,,,15,10,7,
2012/06/11,14.40,14.40,14.20,14.20,-0.05,-0.3509,14.1700,14.1550,,,,84.0000,97.6000,15,12,7,74.4114,,66.6667,66.2551,61.5912,2,19,66.2551,61.5912,75.5830,0,0,0,,,,15,12,8,
2012/06/12,13.80,14.25,13.80,14.25,0.05,0.3521,14.2200,14.1800,,,,87.0000,93.5000,15,13,8,76.7806,76.9231,72.2222,68.2442,63.8089,3,10,68.2442,63.8089,77.1148,0,0,0,,,,15,14,8,
