ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/03/03,7.50,7.90,7.50,7.80,0.00,0.00,,,,,,0.0000,,0,,,,,,,,71,,,,,0,,,,,,0,,,
2012/03/05,7.79,7.99,7.61,7.95,0.15,1.9231,,,,,,21.0000,,0,,,,,,,,21,,,,,0,,,,,,0,,,
2012/03/06,7.65,7.90,7.57,7.90,-0.05,-0.6289,,,,,,1.0000,,0,,,,,,,,20,,,,,0,,,,,,0,,,
2012/03/07,7.80,7.85,7.80,7.85,-0.05,-0.6329,,,,,,-10.0000,,0,,,,,,,,11,,,,,0,,,,,,0,,,
2012/03/08,7.87,7.90,7.80,7.85,0.00,0.00,7.8700,,,,,-10.0000,,0,0,,,,,,,29,30,,,,0,0,,,,,0,0,,
2012/03/09,7.88,7.88,7.80,7.88,0.03,0.3822,7.8860,,,,,12.0000,,0,0,,,,,,,22,20,,,,0,0,,,,,0,0,,
2012/03/12,7.80,7.88,7.70,7.87,-0.01,-0.1269,7.8700,,,,,-21.0000,,0,0,,62.0690,,,,,33,23,,,,0,0,,,,,0,0,,
2012/03/13,7.88,7.96,7.80,7.96,0.09,1.1436,7.8820,,,,,2.0000,,0,0,,72.3618,,,,,23,23,,,,0,0,,,,,0,0,,
2012/03/14,8.15,8.15,7.90,8.08,0.12,1.5075,7.9280,,,,,6.0000,,0,0,,80.7288,,89.2308,63.0769,54.3590,4,22,63.0769,54.3590,80.5128,0,0,,,,,0,0,,
2012/03/15,7.98,7.98,7.90,7.98,-0.10,-1.2376,7.9540,7.9120,,,,-3.0000,-0.2000,0,0,0,61.9688,,70.6897,65.6145,58.1108,9,18,65.6145,58.1108,80.6219,0,0,0,,,,0,0,0,
2012/03/16,7.98,7.98,7.71,7.95,-0.03,-0.3759,7.9680,7.9270,,,,-29.0000,-3.1000,0,0,0,57.1848,,65.5172,65.5821,60.6012,26,19,65.5821,60.6012,75.5438,0,0,0,,,,0,0,0,
2012/03/19,8.05,8.05,7.50,7.85,-0.10,-1.2579,7.9640,7.9170,,,,-48.0000,-10.0000,0,0,0,43.6926,,53.8462,61.6701,60.9575,19,16,61.6701,60.9575,63.0953,0,0,0,,,,0,0,0,
2012/03/20,7.88,7.88,7.87,7.87,0.02,0.2548,7.9460,7.9140,,,,-41.0000,-14.2000,0,0,0,46.7102,54.6667,56.9231,60.0878,60.6676,7,13,60.0878,60.6676,58.9281,0,0,0,,,,0,0,0,
2012/03/21,7.86,7.86,7.86,7.86,-0.01,-0.1271,7.9020,7.9150,,,,-45.0000,-17.7000,0,0,0,45.2550,53.8829,55.3846,58.5200,59.9518,4,13,58.5200,59.9518,55.6566,0,0,0,,,,0,0,0,
2012/03/22,7.85,7.85,7.47,7.78,-0.08,-1.0178,7.8620,7.9080,,,,-60.0000,-22.7000,0,0,0,34.8366,47.8907,45.5882,54.2094,58.0376,15,14,54.2094,58.0376,46.5530,0,0,0,,,,0,0,0,
2012/03/23,7.40,7.67,7.30,7.30,-0.48,-6.1697,7.7320,7.8500,,,,-105.0000,-34.4000,0,0,0,13.1084,27.7161,0.0000,36.1396,50.7383,45,18,36.1396,50.7383,6.9423,0,0,0,,,,0,0,0,
2012/03/26,7.56,7.56,7.56,7.56,0.26,3.5616,7.6740,7.8190,,,,-104.0000,-42.7000,0,0,0,38.1737,42.1233,30.5882,34.2892,45.2553,1,14,34.2892,45.2553,12.3570,0,0,0,,,,0,0,0,
2012/03/27,7.40,7.44,7.11,7.11,-0.45,-5.9524,7.5220,7.7340,,,,-161.0000,-59.0000,0,0,0,23.8717,30.6056,0.0000,22.8594,37.7900,57,24,22.8594,37.7900,-7.0016,0,0,0,,,,0,0,0,
2012/03/28,7.25,7.35,7.23,7.30,0.19,2.6723,7.4100,7.6560,,,,-144.0000,-74.0000,0,0,0,36.0173,38.3677,20.2128,21.9772,32.5191,17,27,21.9772,32.5191,0.8935,0,0,0,,,,0,0,0,
2012/03/29,7.20,7.20,6.79,7.17,-0.13,-1.7808,7.2880,7.5750,7.7435,,,-180.0000,-91.7000,0,0,0,31.8458,35.4112,30.1587,24.7044,29.9142,36,31,24.7044,29.9142,14.2848,0,0,0,,,,0,0,0,
2012/03/30,7.45,7.45,7.45,7.45,0.28,3.9052,7.3180,7.5250,7.7260,,,-179.0000,-106.7000,0,0,0,47.5475,45.3127,60.5505,36.6531,32.1605,1,22,36.6531,32.1605,45.6383,0,0,0,,,,0,0,0,
2012/04/02,7.00,7.09,6.93,6.95,-0.50,-6.7114,7.1960,7.4350,7.6760,,,-269.0000,-128.8000,0,0,0,31.8324,34.8925,14.9533,29.4198,31.2469,90,40,29.4198,31.2469,25.7656,0,0,0,,,,0,0,0,
2012/04/03,6.90,6.95,6.75,6.90,-0.05,-0.7194,7.1540,7.3380,7.6260,,,-283.0000,-153.0000,0,0,0,30.6180,34.0386,13.6364,24.1587,28.8842,14,31,24.1587,28.8842,14.7076,0,0,0,,,,0,0,0,
2012/04/05,7.23,7.23,7.05,7.05,0.15,2.1739,7.1040,7.2570,7.5860,,,-268.0000,-175.3000,0,0,0,38.9960,38.9299,32.6087,26.9753,28.2479,15,31,26.9753,28.2479,24.4302,0,0,0,,,,0,0,0,
2012/04/06,7.03,7.03,7.03,7.03,-0.02,-0.2837,7.0760,7.1820,7.5450,,,-271.0000,-196.4000,0,0,0,38.2569,38.5145,34.5679,29.5062,28.6673,3,24,29.5062,28.6673,31.1839,0,0,0,,,,0,0,0,
2012/04/09,7.05,7.05,7.05,7.05,0.02,0.2845,6.9960,7.1570,7.5035,,,-269.0000,-212.8000,0,0,0,39.6300,39.2220,42.8571,33.9565,30.4304,2,24,33.9565,30.4304,41.0088,0,0,0,,-0.3474,,0,0,0,
2012/04/10,6.99,7.05,6.99,7.05,0.00,0.00,7.0160,7.1060,7.4625,,,-269.0000,-229.3000,0,0,0,39.6300,39.2220,42.8571,36.9234,32.5947,5,7,36.9234,32.5947,45.5807,0,0,0,,-0.3357,,0,0,0,
2012/04/11,6.99,7.05,6.96,7.05,0.00,0.00,7.0460,7.1000,7.4170,,,-269.0000,-240.1000,0,0,0,39.6300,39.2220,42.8571,38.9013,34.6969,8,6,38.9013,34.6969,47.3101,0,0,0,,-0.3228,,0,0,0,
2012/04/12,7.15,7.15,7.15,7.15,0.10,1.4184,7.0660,7.0850,7.3705,,,-266.0000,-252.3000,0,0,0,49.3602,43.4463,57.1429,44.9818,38.1252,3,4,44.9818,38.1252,58.6950,0,0,0,,-0.3009,,0,0,0,
2012/04/13,7.10,7.15,6.80,7.06,-0.09,-1.2587,7.0720,7.0740,7.3245,,,-301.0000,-264.4000,0,0,0,42.0419,40.6709,64.5833,51.5157,42.5887,35,10,51.5157,42.5887,69.3696,0,0,0,,-0.2876,,0,0,0,
2012/04/16,7.02,7.02,7.02,7.02,-0.04,-0.5666,7.0660,7.0310,7.2780,,,-304.0000,-276.9000,0,0,0,38.9612,39.4491,56.2500,53.0938,46.0904,3,10,53.0938,46.0904,67.1005,0,0,0,,-0.2771,,0,0,0,
2012/04/17,7.04,7.04,7.04,7.04,0.02,0.2849,7.0640,7.0400,7.2375,,,-299.0000,-279.9000,0,0,0,41.5318,40.4253,55.8140,54.0005,48.7271,5,10,54.0005,48.7271,64.5473,0,0,0,,-0.2641,,0,0,0,
2012/04/18,6.85,6.98,6.73,6.98,-0.06,-0.8523,7.0500,7.0480,7.1930,,,-311.0000,-282.7000,0,0,0,36.0640,38.3992,59.5238,55.8416,51.0986,12,11,55.8416,51.0986,65.3276,0,0,0,,-0.2556,,0,0,0,
2012/04/19,6.90,6.90,6.90,6.90,-0.08,-1.1461,7.0000,7.0330,7.1450,,,-317.0000,-287.6000,0,0,0,29.7890,35.7900,40.4762,50.7198,50.9723,6,12,50.7198,50.9723,50.2147,0,0,0,0.0825,-0.2525,-0.2937,0,0,0,
2012/04/20,6.86,6.95,6.70,6.70,-0.20,-2.8986,6.9280,7.0000,7.0910,,,-328.0000,-293.3000,0,0,0,19.5724,30.1945,0.0000,33.8132,45.2526,11,7,33.8132,45.2526,10.9344,0,0,0,0.0490,-0.2631,-0.2876,0,0,0,
2012/04/23,6.80,6.80,6.80,6.80,0.10,1.4925,6.8840,6.9750,7.0660,,,-323.0000,-298.7000,0,0,0,33.2982,35.6796,22.2222,29.9495,40.1516,5,7,29.9495,40.1516,9.5454,0,0,0,0.0434,-0.2605,-0.2822,0,0,0,
2012/04/24,7.07,7.07,7.07,7.07,0.27,3.9706,6.8900,6.9770,7.0415,,,-318.0000,-303.6000,0,0,0,57.0481,47.7683,82.2222,47.3738,42.5590,5,7,47.3738,42.5590,57.0033,0,0,0,0.0773,-0.2339,-0.2725,0,0,0,
