ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/19,9.98,10.00,9.91,9.93,0.00,0.00,,,,,,0.0000,,358,,,,,,,,147,,,,,0,,,,,,361,,,
2012/06/20,10.00,10.00,9.93,9.99,0.06,0.6042,,,,,,180.0000,,400,,,,,,,,180,,,,,0,,,,,,403,,,
2012/06/21,9.85,9.99,9.85,9.95,-0.04,-0.4004,,,,,,87.0000,,407,,,,,,,,93,,,,,0,,,,,,410,,,
2012/06/22,9.50,9.92,9.50,9.88,-0.07,-0.7035,,,,,,-42.0000,,408,,,,,,,,129,,,,,0,,,,,,411,,,
2012/06/25,9.85,9.91,9.65,9.65,-0.23,-2.3279,9.8800,,,,,-192.0000,,423,399,,,,,,,150,139,,,,0,0,,,,,426,402,,
2012/06/26,9.53,9.74,9.53,9.70,0.05,0.5181,9.8340,,,,,-95.0000,,425,413,,,,,,,97,129,,,,0,0,,,,,428,416,,
2012/06/27,9.70,9.80,9.64,9.64,-0.06,-0.6186,9.7640,,,,,-174.0000,,432,419,,21.5686,,,,,79,109,,,,0,0,,,,,435,422,,
2012/06/28,9.78,9.78,9.65,9.67,0.03,0.3112,9.7080,,,,,-109.0000,,437,425,,26.7399,,,,,65,104,,,,0,0,,,,,440,428,,
2012/06/29,9.70,9.80,9.66,9.80,0.13,1.3444,9.6920,,,,,4.0000,,450,434,,45.4446,,60.0000,53.3333,51.1111,113,100,53.3333,51.1111,57.7778,0,0,,,,,453,437,,
2012/07/02,9.92,9.97,9.86,9.97,0.17,1.7347,9.7560,9.8180,,,,230.0000,-11.1000,448,439,419,61.0501,,94.0000,66.8889,56.3704,226,116,66.8889,56.3704,87.9259,0,0,0,,,,451,442,422,
2012/07/03,10.00,10.30,9.99,10.20,0.23,2.3069,9.8560,9.8450,,,,640.0000,52.9000,453,444,428,73.4023,,87.5000,73.7593,62.1667,410,178,73.7593,62.1667,96.9444,0,0,0,,,,456,447,431,
2012/07/04,10.20,10.30,10.15,10.25,0.05,0.4902,9.9780,9.8710,,,,893.0000,124.2000,459,450,434,75.4346,,93.7500,80.4228,68.2521,253,213,80.4228,68.2521,104.7644,0,0,0,,,,462,453,437,
2012/07/05,10.25,10.30,10.20,10.25,0.00,0.00,10.0940,9.9010,,,,893.0000,204.8000,465,455,440,75.4346,64.2857,93.5065,84.7841,73.7627,128,226,84.7841,73.7627,106.8267,0,0,0,,,,468,458,443,
2012/07/06,10.25,10.50,10.15,10.30,0.05,0.4878,10.1940,9.9430,,,,1316.0000,340.6000,464,458,446,77.8695,65.9443,79.3814,82.9832,76.8362,423,288,82.9832,76.8362,95.2771,0,0,0,,,,467,461,449,
2012/07/09,10.25,10.40,10.25,10.25,-0.05,-0.4854,10.2500,10.0030,,,,1056.0000,465.4000,470,462,450,69.5918,62.7645,70.9302,78.9655,77.5460,260,294,78.9655,77.5460,81.8046,0,0,0,,,,473,465,453,
2012/07/10,10.25,10.95,10.25,10.95,0.70,6.8293,10.4000,10.1280,,,,3917.0000,866.6000,472,466,455,89.0849,78.5563,100.0000,85.9770,80.3563,2861,785,85.9770,80.3563,97.2184,0,0,0,,,,475,469,458,
2012/07/11,10.95,11.00,10.40,10.45,-0.50,-4.5662,10.4400,10.2090,,,,2695.0000,1153.5000,441,463,456,57.4938,59.0439,58.9552,76.9698,79.2275,1222,978,76.9698,79.2275,72.4543,0,0,0,,,,444,466,459,
2012/07/12,10.45,10.45,10.10,10.15,-0.30,-2.8708,10.4200,10.2570,,,,1901.0000,1354.5000,402,450,453,45.8000,50.7870,25.4386,59.7927,72.7492,794,1112,59.7927,72.7492,33.8797,0,0,0,,,,405,453,456,
2012/07/13,10.15,10.25,9.99,10.00,-0.15,-1.4778,10.3600,10.2770,,,,1449.0000,1499.0000,393,436,447,40.8186,47.1876,0.9901,40.1918,61.8968,452,1117,40.1918,61.8968,-3.2180,0,0,0,,,,396,439,450,
2012/07/16,10.10,10.15,9.92,9.92,-0.08,-0.80,10.2940,10.2720,10.0450,,,1070.0000,1583.0000,371,416,439,38.1622,45.3188,0.0000,26.7946,50.1960,379,1141,26.7946,50.1960,-20.0084,0,0,0,,,,374,419,442,
2012/07/17,9.86,10.10,9.86,9.93,0.01,0.1008,10.0900,10.2450,10.0450,,,1344.0000,1653.4000,372,396,431,38.7600,45.6125,6.1404,19.9098,40.1006,274,624,19.9098,40.1006,-20.4718,0,0,0,,,,375,399,434,
2012/07/18,9.99,10.00,9.93,9.94,0.01,0.1007,9.9880,10.2140,10.0425,,,1496.0000,1713.7000,372,382,422,39.4623,45.9294,7.0175,15.6124,31.9379,152,410,15.6124,31.9379,-17.0386,0,0,0,,,,375,385,425,
2012/07/19,10.10,10.10,9.94,9.95,0.01,0.1006,9.9480,10.1840,10.0425,,,1726.0000,1797.0000,389,380,415,40.2841,46.2708,7.8947,13.0398,25.6385,230,297,13.0398,25.6385,-12.1575,0,0,0,,,,392,383,418,
2012/07/20,9.96,10.05,9.96,10.00,0.05,0.5025,9.9480,10.1540,10.0485,,,1886.0000,1854.0000,391,379,407,44.7815,48.0599,12.2807,12.7868,21.3546,160,239,12.7868,21.3546,-4.3489,0,0,0,,,,394,382,410,
2012/07/23,9.94,9.97,9.80,9.88,-0.12,-1.20,9.9400,10.1170,10.0600,,,1653.0000,1913.7000,354,376,396,36.7996,44.2060,6.6667,10.7468,17.8187,233,209,10.7468,17.8187,-3.3971,0,0,0,,,,357,379,399,
2012/07/24,9.80,9.84,9.70,9.78,-0.10,-1.0121,9.9100,10.0000,10.0640,,,1531.0000,1675.1000,333,368,382,31.2326,41.2024,10.6667,10.7201,15.4525,122,179,10.7201,15.4525,1.2552,0,0,0,,-0.0344,,336,371,385,
2012/07/25,9.71,9.84,9.63,9.82,0.04,0.409,9.8860,9.9370,10.0730,,,1705.0000,1576.1000,317,357,370,35.8880,42.8955,30.6452,17.3618,16.0889,174,183,17.3618,16.0889,19.9075,0,0,0,,-0.0451,,320,360,373,
2012/07/26,9.90,9.93,9.80,9.85,0.03,0.3055,9.8660,9.9070,10.0820,,,1899.0000,1575.9000,317,343,361,39.5699,44.2099,42.3077,25.6771,19.2850,194,176,25.6771,19.2850,38.4613,0,0,0,,-0.0506,,320,346,364,
2012/07/27,9.90,10.10,9.90,10.05,0.20,2.0305,9.8760,9.9120,10.0945,,,2395.0000,1670.5000,339,332,356,58.5933,52.2100,89.3617,46.9053,28.4917,496,243,46.9053,28.4917,83.7324,0,0,0,,-0.0383,,342,335,359,
2012/07/30,10.05,10.20,10.05,10.10,0.05,0.4975,9.9200,9.9300,10.1010,,,2760.0000,1839.5000,357,333,354,62.1664,54.0086,82.4561,58.7556,38.5797,365,270,58.7556,38.5797,99.1074,0,0,0,,-0.0243,,360,336,357,
2012/07/31,10.05,10.25,10.00,10.15,0.05,0.495,9.9940,9.9520,10.0985,,,3185.0000,2023.6000,390,344,356,65.7164,55.8224,83.8710,67.1274,48.0956,425,330,67.1274,48.0956,105.1910,0,0,0,,-0.0090,,393,347,359,
2012/08/01,10.15,10.85,10.10,10.75,0.60,5.9113,10.1800,10.0330,10.1235,,,5213.0000,2395.3000,389,359,358,85.4186,70.8646,91.8033,75.3527,57.1813,2028,701,75.3527,57.1813,111.6955,0,0,0,,0.0509,,392,362,361,
2012/08/03,10.60,10.80,10.40,10.40,-0.35,-3.2558,10.2900,10.0780,10.1310,,,4313.0000,2654.0000,375,370,356,60.9142,58.2444,63.1148,71.2734,61.8786,900,842,71.2734,61.8786,90.0628,0,0,0,,0.0693,,378,373,359,
2012/08/06,10.50,10.90,10.50,10.70,0.30,2.8846,10.4200,10.1480,10.1510,,,5325.0000,2997.9000,388,380,356,69.8195,64.2051,84.2520,75.5996,66.4523,1012,946,75.5996,66.4523,93.8941,0,0,0,0.2082,0.1069,0.0028,391,383,359,
2012/08/07,10.70,10.90,10.60,10.65,-0.05,-0.4673,10.5300,10.2250,10.1710,,,4707.0000,3303.3000,351,379,356,66.7766,62.5808,80.3150,77.1714,70.0253,618,996,77.1714,70.0253,91.4635,0,0,0,0.2054,0.1312,0.0285,354,382,359,
2012/08/08,10.85,10.95,10.70,10.70,0.05,0.4695,10.6400,10.3170,10.1585,,,5641.0000,3714.3000,364,374,359,68.4278,63.5858,78.2609,77.5345,72.5284,934,1098,77.5345,72.5284,87.5468,0,0,0,0.1987,0.1527,0.0533,367,377,362,
2012/08/09,10.75,11.10,10.75,11.00,0.30,2.8037,10.6900,10.4350,10.1860,,,6500.0000,4193.8000,364,369,364,76.7482,69.0301,91.6667,82.2452,75.7673,859,864,82.2452,75.7673,95.2011,0,0,0,0.2214,0.1917,0.0810,367,372,367,
