ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/18,60.00,60.90,59.90,60.60,0.00,0.00,,,,,,0.0000,,1089,,,,,,,,1285,,,,,1444,,,,,,10897,,,
2012/06/19,60.50,60.80,59.70,59.70,-0.90,-1.4851,,,,,,-533.0000,,1091,,,,,,,,533,,,,,1399,,,,,,10854,,,
2012/06/20,60.00,60.40,59.10,59.30,-0.40,-0.67,,,,,,-1181.0000,,1098,,,,,,,,648,,,,,1384,,,,,,10533,,,
2012/06/21,59.10,59.60,59.10,59.60,0.30,0.5059,,,,,,-814.0000,,1109,,,,,,,,367,,,,,1381,,,,,,10541,,,
2012/06/22,59.10,60.00,58.80,59.30,-0.30,-0.5034,59.7000,,,,,-1065.0000,,1108,1100,,,,,,,251,616,,,,1348,1391,,,,,10507,10667,,
2012/06/25,59.30,59.60,59.10,59.20,-0.10,-0.1686,59.4200,,,,,-1280.0000,,1099,1102,,,,,,,215,402,,,,1342,1371,,,,,10492,10586,,
2012/06/26,59.00,59.30,58.60,58.70,-0.50,-0.8446,59.2200,,,,,-1790.0000,,1072,1098,,12.0000,,,,,510,398,,,,1314,1354,,,,,10437,10503,,
2012/06/27,58.70,59.10,58.70,58.70,0.00,0.00,59.1000,,,,,-1790.0000,,1077,1094,,12.0000,,,,,172,303,,,,1337,1344,,,,,10465,10489,,
2012/06/28,58.80,59.30,58.80,58.90,0.20,0.3407,58.9600,,,,,-1579.0000,,1086,1089,,21.0904,,13.0435,37.6812,45.8937,211,271,37.6812,45.8937,21.2560,1348,1338,,,,,10544,10490,,
2012/06/29,59.40,59.70,59.00,59.70,0.80,1.3582,59.0400,59.3700,,,,-1227.0000,-1125.9000,1102,1088,1094,47.2473,,50.0000,41.7874,44.5250,352,292,41.7874,44.5250,36.3124,1359,1340,1366,,,,10572,10502,10585,
2012/07/02,60.00,60.80,59.80,60.80,1.10,1.8425,59.3600,59.3900,,,,-528.0000,-1178.7000,1115,1091,1096,65.8987,,100.0000,61.1916,50.0805,699,388,61.1916,50.0805,83.4138,1397,1351,1361,,,,10533,10511,10548,
2012/07/03,60.90,60.90,60.00,60.40,-0.40,-0.6579,59.7000,59.4600,,,,-1065.0000,-1231.9000,1119,1100,1099,57.0906,,78.2609,66.8814,55.6808,537,394,66.8814,55.6808,89.2825,1416,1371,1363,,,,10408,10505,10504,
2012/07/04,60.90,62.00,60.60,61.70,1.30,2.1523,60.3000,59.7000,,,,650.0000,-1048.8000,1161,1117,1105,71.7938,58.7302,91.1765,74.9797,62.1138,1715,702,74.9797,62.1138,100.7117,1526,1409,1377,,,,10560,10524,10506,
