ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/25,13.15,13.55,13.10,13.40,0.00,0.00,,,,,,0.0000,,9353,,,,,,,,68,,,,,0,,,,,,9353,,,
2012/06/26,13.05,13.20,13.05,13.10,-0.30,-2.2388,,,,,,-15.0000,,9353,,,,,,,,15,,,,,0,,,,,,9353,,,
2012/06/27,13.20,14.00,13.20,14.00,0.90,6.8702,,,,,,46.0000,,9353,,,,,,,,61,,,,,0,,,,,,9353,,,
2012/06/28,14.80,14.80,14.00,14.00,0.00,0.00,,,,,,46.0000,,9352,,,,,,,,77,,,,,0,,,,,,9352,,,
2012/06/29,13.75,13.90,13.15,13.70,-0.30,-2.1429,13.6400,,,,,-7.0000,,9353,9353,,,,,,,53,54,,,,0,0,,,,,9353,9353,,
2012/07/02,13.50,13.50,13.10,13.30,-0.40,-2.9197,13.6200,,,,,-29.0000,,9353,9353,,,,,,,22,45,,,,0,0,,,,,9353,9353,,
2012/07/03,13.30,13.55,13.20,13.55,0.25,1.8797,13.7100,,,,,-19.0000,,9353,9353,,53.4884,,,,,10,44,,,,0,0,,,,,9353,9353,,
2012/07/04,13.30,13.40,13.30,13.35,-0.20,-1.476,13.5800,,,,,-23.0000,,9353,9353,,48.1172,,,,,4,33,,,,0,0,,,,,9353,9353,,
2012/07/05,13.55,13.55,13.20,13.20,-0.15,-1.1236,13.4200,,,,,-36.0000,,9353,9353,,44.1289,,8.5714,36.1905,45.3968,13,20,36.1905,45.3968,17.7778,0,0,,,,,9353,9353,,
2012/07/06,13.15,13.70,13.15,13.65,0.45,3.4091,13.4100,13.5250,,,,-15.0000,-5.2000,9353,9353,9353,56.9689,,34.2857,35.5556,42.1164,21,14,35.5556,42.1164,22.4339,0,0,0,,,,9353,9353,9353,
2012/07/09,13.70,14.00,13.65,13.70,0.05,0.3663,13.4900,13.5550,,,,-9.0000,-6.1000,9353,9353,9353,58.2483,,35.2941,35.4684,39.9004,6,10,35.4684,39.9004,26.6044,0,0,0,,,,9353,9353,9353,
2012/07/10,13.50,13.50,13.20,13.20,-0.50,-3.6496,13.4200,13.5650,,,,-18.0000,-6.4000,9353,9353,9353,42.9315,,5.8824,25.6064,35.1357,9,10,25.6064,35.1357,6.5477,0,0,0,,,,9353,9353,9353,
2012/07/11,13.20,13.30,13.20,13.30,0.10,0.7576,13.4100,13.4950,,,,-11.0000,-12.1000,9353,9353,9353,46.3193,48.6111,22.2222,24.4783,31.5833,7,11,24.4783,31.5833,10.2685,0,0,0,,,,9353,9353,9353,
2012/07/12,13.35,13.35,13.00,13.00,-0.30,-2.2556,13.3700,13.3950,,,,-23.0000,-19.0000,9353,9353,9353,38.1635,44.5602,0.0000,16.3189,26.4951,12,11,16.3189,26.4951,-4.0336,0,0,0,,,,9353,9353,9353,
2012/07/13,13.00,13.00,12.95,13.00,0.00,0.00,13.2400,13.3250,,,,-23.0000,-20.6000,9353,9353,9353,38.1635,44.5602,4.7619,12.4666,21.8189,22,11,12.4666,21.8189,-6.2382,0,0,0,,,,9353,9353,9353,
2012/07/16,13.05,13.35,12.90,13.35,0.35,2.6923,13.1700,13.3300,,,,-14.0000,-19.1000,9353,9353,9353,52.2797,50.3095,40.9091,21.9474,21.8618,9,11,21.9474,21.8618,22.1187,0,0,0,,,,9353,9353,9353,
2012/07/17,13.10,13.10,13.10,13.10,-0.25,-1.8727,13.1500,13.2850,,,,-15.0000,-18.7000,9353,9353,9353,43.7241,46.5480,18.1818,20.6922,21.4719,1,10,20.6922,21.4719,19.1328,0,0,0,,,,9353,9353,9353,
2012/07/18,13.10,13.70,12.90,13.50,0.40,3.0534,13.1900,13.3000,,,,15.0000,-14.9000,9350,9353,9353,57.1788,52.7184,54.5455,31.9766,24.9735,30,14,31.9766,24.9735,45.9829,0,0,0,,,,9350,9353,9353,
2012/07/19,13.50,13.50,13.05,13.10,-0.40,-2.963,13.2100,13.2900,,,,11.0000,-10.2000,9350,9352,9353,44.4314,46.8220,18.1818,27.3784,25.7751,4,13,27.3784,25.7751,30.5849,0,0,0,,,,9350,9352,9353,
2012/07/20,13.10,13.10,13.10,13.10,0.00,0.00,13.2300,13.2350,13.3800,,,11.0000,-7.6000,9350,9352,9352,44.4314,46.8220,25.0000,26.5856,26.0453,1,9,26.5856,26.0453,27.6662,0,0,0,,,,9350,9352,9352,
2012/07/23,12.60,13.05,12.40,13.05,-0.05,-0.3817,13.1700,13.1700,13.3625,,,3.0000,-6.4000,9350,9351,9352,42.7172,46.0557,50.0000,34.3904,28.8270,8,8,34.3904,28.8270,45.5172,0,0,0,,,,9350,9351,9352,
2012/07/25,12.70,12.90,12.70,12.90,-0.15,-1.1494,13.1300,13.1400,13.3525,,,-3.0000,-4.9000,9350,9350,9352,37.5077,43.7143,38.4615,35.7474,31.1338,6,9,35.7474,31.1338,44.9747,0,0,0,,,,9350,9350,9352,
2012/07/26,12.80,12.90,12.60,12.90,0.00,0.00,13.0100,13.1000,13.2975,,,-3.0000,-4.1000,9350,9350,9352,37.5077,43.7143,38.4615,36.6521,32.9732,5,4,36.6521,32.9732,44.0099,0,0,0,,,,9350,9350,9352,
2012/07/27,12.90,13.15,12.90,12.90,0.00,0.00,12.9700,13.0900,13.2425,,,-3.0000,-2.1000,9350,9350,9351,37.5077,43.7143,38.4615,37.2553,34.4006,8,5,37.2553,34.4006,42.9646,0,0,0,,,,9350,9350,9351,
2012/07/30,13.30,13.30,12.90,12.90,0.00,0.00,12.9300,13.0800,13.2025,,,-3.0000,-0.1000,9350,9350,9351,37.5077,43.7143,38.4615,37.6574,35.4862,7,6,37.6574,35.4862,41.9997,0,0,0,,,,9350,9350,9351,
2012/07/31,12.90,12.90,12.10,12.85,-0.05,-0.3876,12.8900,13.0300,13.1800,,,-17.0000,-0.4000,9350,9350,9351,34.5918,42.6898,46.8750,40.7299,37.2341,14,8,40.7299,37.2341,47.7215,0,0,0,,-0.2181,,9350,9350,9351,
2012/08/01,13.70,13.70,13.70,13.70,0.85,6.6148,13.0500,13.0900,13.1875,,,6.0000,1.7000,9350,9350,9350,74.7060,60.0534,100.0000,60.4866,44.9849,23,11,60.4866,44.9849,91.4900,0,0,0,,-0.1491,,9350,9350,9350,
2012/08/03,14.65,14.65,14.65,14.65,0.95,6.9343,13.4000,13.2050,13.2525,,,52.0000,5.4000,9350,9350,9350,86.1215,70.8292,100.0000,73.6577,54.5425,46,19,73.6577,54.5425,111.8882,0,0,0,,-0.0175,,9350,9350,9350,
2012/08/06,14.95,15.00,14.40,14.70,0.05,0.3413,13.7600,13.3650,13.3275,,,195.0000,23.8000,9274,9335,9343,86.5061,71.2741,89.6552,78.9902,62.6918,143,46,78.9902,62.6918,111.5871,0,0,0,,0.0898,,9274,9335,9343,
2012/08/07,14.65,15.70,14.30,15.70,1.00,6.8027,14.3200,13.6250,13.4300,,,349.0000,57.6000,9199,9305,9328,91.8962,78.4466,100.0000,85.9935,70.4590,154,76,85.9935,70.4590,117.0624,0,0,0,,0.2526,,9199,9305,9328,
2012/08/08,15.70,15.70,14.95,14.95,-0.75,-4.7771,14.7400,13.8150,13.4925,,,250.0000,82.3000,9123,9260,9305,67.5954,65.1394,79.1667,83.7179,74.8786,99,93,83.7179,74.8786,101.3964,0,0,0,,0.3174,,9123,9260,9305,
2012/08/09,14.10,14.95,14.10,14.70,-0.25,-1.6722,14.9400,13.9950,13.5675,,,127.0000,95.3000,9046,9199,9275,61.1295,61.3547,72.2222,79.8860,76.5477,123,113,79.8860,76.5477,86.5625,0,0,0,,0.3446,,9046,9199,9275,
