ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,64.50,64.80,64.50,64.60,0.00,0.00,,,,,,0.0000,,212968,,,,,,,,145,,,,,0,,,,,,215719,,,
2012/06/29,64.60,64.90,64.40,64.90,0.30,0.4644,,,,,,201.0000,,212988,,,,,,,,201,,,,,0,,,,,,215739,,,
2012/07/02,65.00,65.00,64.80,64.90,0.00,0.00,,,,,,201.0000,,213003,,,,,,,,231,,,,,722,,,,,,217259,,,
2012/07/03,65.40,66.00,65.10,65.90,1.00,1.5408,,,,,,376.0000,,213076,,,,,,,,175,,,,,0,,,,,,216611,,,
2012/07/04,66.00,66.30,65.90,66.00,0.10,0.1517,65.2600,,,,,723.0000,,213086,213025,,,,,,,347,219,,,,723,289,,,,,217324,216531,,
2012/07/05,66.00,66.20,65.90,66.00,0.00,0.00,65.5400,,,,,723.0000,,213074,213046,,,,,,,139,218,,,,725,434,,,,,217313,216850,,
2012/07/06,66.10,66.40,66.00,66.30,0.30,0.4545,65.8200,,,,,856.0000,,213080,213065,,100.0000,,,,,133,205,,,,734,581,,,,,217328,217167,,
2012/07/09,66.40,67.70,66.40,66.40,0.10,0.1508,66.1200,,,,,1100.0000,,213072,213078,,100.0000,,,,,244,207,,,,744,585,,,,,217330,217182,,
2012/07/10,66.50,67.30,66.40,66.80,0.40,0.6024,66.3000,,,,,1670.0000,,213151,213093,,100.0000,,72.7273,57.5758,52.5253,570,286,57.5758,52.5253,67.6768,750,735,,,,,217415,217343,,
2012/07/11,66.80,66.90,66.10,66.50,-0.30,-0.4491,66.4000,65.8300,,,,1400.0000,725.0000,213150,213106,213066,82.2125,,63.6364,59.5960,54.8822,270,271,59.5960,54.8822,69.0236,0,591,440,,,,216664,217210,216871,
2012/07/12,66.20,66.60,65.40,65.40,-1.10,-1.6541,66.2800,65.9100,,,,897.0000,814.7000,213088,213109,213078,46.1181,,20.6897,46.6272,52.1305,503,344,46.6272,52.1305,35.6206,900,626,530,,,,217502,217248,217049,
2012/07/13,62.00,62.00,61.20,61.20,-4.20,-6.422,65.2600,65.5400,,,,617.0000,856.3000,213003,213094,213079,15.3135,,0.0000,31.0848,45.1153,280,373,31.0848,45.1153,3.0239,869,653,617,,,,217386,217260,217214,
2012/07/16,61.20,61.90,59.90,60.30,-0.90,-1.4706,64.0400,65.0800,,,,317.0000,867.9000,212940,213067,213073,13.0688,25.2874,5.1282,22.4326,37.5544,300,384,22.4326,37.5544,-7.8110,867,677,631,,,,217321,217258,217220,
2012/07/17,60.30,60.80,60.10,60.30,0.00,0.00,62.7400,64.5200,,,,317.0000,862.0000,212870,213011,213052,13.0688,25.2874,5.1282,16.6645,30.5911,341,338,16.6645,30.5911,-11.1887,817,691,713,,,,217206,217216,217279,
2012/07/18,60.60,60.90,60.10,60.90,0.60,0.995,61.6200,64.0100,,,,659.0000,855.6000,212866,212954,213030,23.7926,30.9543,12.8205,15.3831,25.5218,342,353,15.3831,25.5218,-4.8941,757,842,717,,,,217142,217312,217261,
2012/07/19,61.20,61.20,60.20,60.50,-0.40,-0.6568,60.6400,63.4600,,,,360.0000,819.3000,212835,212903,213006,21.6555,29.3360,7.6923,12.8195,21.2877,299,312,12.8195,21.2877,-4.1168,707,804,715,,,,217061,217223,217236,
2012/07/20,60.40,60.40,60.00,60.00,-0.50,-0.8264,60.4000,62.8300,,,,68.0000,740.5000,212701,212843,212968,19.0842,27.3838,1.3514,8.9968,17.1907,292,314,8.9968,17.1907,-7.3910,643,758,706,,,,216863,217119,217189,
2012/07/23,60.00,60.00,59.00,59.30,-0.70,-1.1667,60.2000,62.1200,,,,-377.0000,592.8000,212575,212770,212919,15.9104,24.8575,3.7975,7.2637,13.8817,445,343,7.2637,13.8817,-5.9724,591,703,690,,,,216685,216992,217125,
2012/07/24,59.30,59.70,59.00,59.20,-0.10,-0.1686,59.9800,61.3600,,,,-538.0000,372.0000,212535,212703,212857,15.4694,24.5051,2.6316,5.7197,11.1610,161,307,5.7197,11.1610,-5.1631,0,540,615,,,,216054,216761,216989,
2012/07/25,59.00,59.80,58.80,59.70,0.50,0.8446,59.7400,60.6800,63.2550,,,-233.0000,208.7000,212453,212620,212787,27.5233,29.9230,28.1250,13.1881,11.8367,305,300,13.1881,11.8367,15.8909,0,388,615,,,,215972,216527,216919,
2012/07/26,59.70,60.50,59.70,60.30,0.60,1.005,59.7000,60.1700,63.0400,,,177.0000,136.7000,212260,212505,212704,39.8704,35.9410,48.3871,24.9211,16.1982,410,322,24.9211,16.1982,42.3669,0,247,525,,,,215779,216271,216747,
2012/07/27,60.30,60.80,60.30,60.60,0.30,0.4975,59.8200,60.1100,62.8250,,,526.0000,127.6000,212157,212397,212620,45.4466,38.8075,75.0000,41.6141,24.6701,349,334,41.6141,24.6701,75.5019,0,118,438,,,,215571,216012,216566,
2012/07/30,60.60,61.50,60.50,60.80,0.20,0.33,60.1200,60.1600,62.6200,,,786.0000,174.5000,212054,212292,212531,49.2143,40.7361,74.0741,52.4341,33.9248,260,297,52.4341,33.9248,89.4526,0,0,352,,,,215468,215769,216380,
2012/07/31,60.70,61.40,59.90,59.90,-0.90,-1.4803,60.2600,60.1200,62.3200,,,258.0000,168.6000,211670,212119,212411,35.8456,35.2778,40.7407,48.5363,38.7953,528,370,48.5363,38.7953,68.0183,593,119,329,,,,215676,215693,216227,
