ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2011/07/15,27.40,27.40,27.00,27.30,0.00,0.00,,,,,,0.0000,,920,,,,,,,,10,,,,,0,,,,,,975,,,
2011/07/18,27.10,27.35,27.05,27.10,-0.20,-0.7326,,,,,,-41.0000,,920,,,,,,,,41,,,,,0,,,,,,975,,,
2011/07/19,27.10,27.45,27.10,27.15,0.05,0.1845,,,,,,-25.0000,,917,,,,,,,,16,,,,,0,,,,,,972,,,
2011/07/20,27.45,27.80,27.20,27.80,0.65,2.3941,,,,,,33.0000,,963,,,,,,,,58,,,,,0,,,,,,1018,,,
2011/07/21,27.95,28.10,27.65,27.65,-0.15,-0.5396,27.4000,,,,,0.0000,,973,939,,,,,,,33,31,,,,0,0,,,,,1028,994,,
2011/07/22,27.90,28.10,27.90,28.10,0.45,1.6275,27.5600,,,,,14.0000,,985,952,,,,,,,14,32,,,,0,0,,,,,1040,1007,,
2011/07/25,28.10,28.10,28.10,28.10,0.00,0.00,27.7600,,,,,14.0000,,985,965,,76.6667,,,,,1,24,,,,0,0,,,,,1014,1015,,
2011/07/26,28.15,28.20,27.80,28.00,-0.10,-0.3559,27.9300,,,,,-1.0000,,992,980,,70.9877,,,,,15,24,,,,0,0,,,,,1047,1030,,
2011/07/27,27.80,28.25,27.70,27.70,-0.30,-1.0714,27.9100,,,,,-27.0000,,993,986,,56.0429,,56.0000,52.0000,50.6667,26,17,52.0000,50.6667,54.6667,12,3,,,,,1060,1038,,
2011/07/28,27.70,28.00,27.55,28.00,0.30,1.083,27.9800,27.6900,,,,-14.0000,-4.7000,991,990,965,64.9082,,79.1667,61.0556,54.1296,13,13,61.0556,54.1296,74.9074,0,3,1,,,,1045,1042,1018,
