ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,13.00,13.15,13.00,13.05,0.00,0.00,,,,,,0.0000,,7914,,,,,,,,40,,,,,0,,,,,,9130,,,
2012/06/29,13.00,13.05,12.95,12.95,-0.10,-0.7663,,,,,,-52.0000,,7921,,,,,,,,52,,,,,0,,,,,,9137,,,
2012/07/02,13.00,13.20,13.00,13.15,0.20,1.5444,,,,,,42.0000,,7930,,,,,,,,94,,,,,0,,,,,,8650,,,
2012/07/03,13.20,13.25,13.10,13.20,0.05,0.3802,,,,,,218.0000,,7939,,,,,,,,176,,,,,0,,,,,,8659,,,
2012/07/04,13.20,13.30,13.15,13.25,0.05,0.3788,13.1200,,,,,447.0000,,7947,7930,,,,,,,229,118,,,,0,0,,,,,8667,8849,,
2012/07/05,13.25,13.30,13.20,13.30,0.05,0.3774,13.1700,,,,,573.0000,,7951,7938,,,,,,,126,135,,,,0,0,,,,,8670,8757,,
2012/07/06,13.30,13.30,13.20,13.30,0.00,0.00,13.2400,,,,,573.0000,,7945,7943,,77.7778,,,,,104,145,,,,0,0,,,,,8664,8662,,
2012/07/09,13.20,13.30,13.20,13.30,0.00,0.00,13.2700,,,,,573.0000,,7950,7947,,77.7778,,,,,54,137,,,,0,0,,,,,8669,8666,,
2012/07/10,13.30,13.40,13.25,13.35,0.05,0.3759,13.3000,,,,,666.0000,,7954,7950,,80.8429,,88.8889,62.9630,54.3210,93,121,62.9630,54.3210,80.2469,0,0,,,,,8673,8669,,
2012/07/11,13.35,13.35,13.25,13.30,-0.05,-0.3745,13.3100,13.2150,,,,579.0000,361.9000,7955,7951,7941,69.3623,,77.7778,67.9012,58.8477,87,92,67.9012,58.8477,86.0082,0,0,0,,,,8674,8670,8759,
2012/07/12,13.30,13.35,13.20,13.25,-0.05,-0.3759,13.3000,13.2350,,,,444.0000,406.3000,7950,7951,7944,59.2630,,62.5000,66.1008,61.2654,135,94,66.1008,61.2654,75.7716,0,0,0,,,,8669,8670,8713,
2012/07/13,13.30,13.35,13.20,13.30,0.05,0.3774,13.3000,13.2700,,,,551.0000,466.6000,7955,7953,7948,65.3220,,66.6667,66.2894,62.9401,107,95,66.2894,62.9401,72.9881,0,0,0,,,,8674,8672,8667,
2012/07/16,13.30,13.30,13.05,13.05,-0.25,-1.8797,13.2500,13.2600,,,,425.0000,504.9000,7943,7952,7949,34.5179,50.0000,0.0000,44.1930,56.6911,126,109,44.1930,56.6911,19.1968,0,0,0,,,,8662,8671,8668,
2012/07/17,13.00,13.15,13.00,13.05,0.00,0.00,13.1900,13.2450,,,,425.0000,525.6000,7943,7949,7950,34.5179,50.0000,12.5000,33.6286,49.0036,194,129,33.6286,49.0036,2.8788,0,0,0,,,,8662,8668,8669,
