ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,29.90,29.90,29.70,29.80,0.00,0.00,,,,,,0.0000,,69545,,,,,,,,198,,,,,0,,,,,,71973,,,
2012/06/29,29.95,30.20,29.80,30.00,0.20,0.6711,,,,,,557.0000,,69725,,,,,,,,557,,,,,0,,,,,,72153,,,
2012/07/02,30.20,30.35,30.00,30.30,0.30,1.00,,,,,,1297.0000,,69770,,,,,,,,740,,,,,7,,,,,,71999,,,
2012/07/03,30.30,30.50,30.15,30.30,0.00,0.00,,,,,,1297.0000,,69619,,,,,,,,651,,,,,0,,,,,,71802,,,
2012/07/04,30.35,30.65,30.35,30.60,0.30,0.9901,30.2000,,,,,1866.0000,,69629,69658,,,,,,,569,543,,,,0,1,,,,,71812,71948,,
2012/07/05,30.65,31.00,30.65,30.85,0.25,0.817,30.4100,,,,,2419.0000,,69648,69679,,,,,,,553,614,,,,0,1,,,,,71830,71919,,
2012/07/06,31.00,31.00,30.85,30.95,0.10,0.3241,30.6000,,,,,3071.0000,,69642,69662,,100.0000,,,,,652,633,,,,6,3,,,,,71830,71855,,
2012/07/09,31.00,31.35,30.95,31.35,0.40,1.2924,30.8100,,,,,3779.0000,,69642,69637,,100.0000,,,,,708,626,,,,0,1,,,,,71824,71820,,
2012/07/10,31.35,31.35,31.05,31.05,-0.30,-0.9569,30.9600,,,,,2911.0000,,69444,69602,,79.0495,,81.8182,60.6061,53.5354,868,670,60.6061,53.5354,74.7475,0,1,,,,,71696,71799,,
2012/07/11,31.05,31.30,31.00,31.20,0.15,0.4831,31.0800,30.6400,,,,3379.0000,2057.6000,69442,69564,69611,81.3889,,90.3226,70.5116,59.1941,468,649,70.5116,59.1941,93.1465,37,9,5,,,,71731,71782,71865,
2012/07/12,31.30,31.35,31.00,31.05,-0.15,-0.4808,31.1200,30.7650,,,,2918.0000,2349.4000,69397,69514,69596,71.7716,,77.7778,72.9336,63.7739,461,631,72.9336,63.7739,91.2530,31,15,8,,,,71705,71757,71838,
2012/07/13,31.10,31.20,30.55,30.70,-0.35,-1.1272,31.0700,30.8350,,,,1996.0000,2493.3000,69407,69467,69565,53.9286,,45.8333,63.9002,63.8160,922,685,63.9002,63.8160,64.0686,0,14,8,,,,71684,71728,71792,
