ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/19,25.65,25.75,25.55,25.70,0.00,0.00,,,,,,0.0000,,36744,,,,,,,,70,,,,,0,,,,,,36861,,,
2012/06/20,25.90,25.90,25.70,25.75,0.05,0.1946,,,,,,103.0000,,36736,,,,,,,,103,,,,,0,,,,,,36853,,,
2012/06/21,26.05,26.05,25.75,25.85,0.10,0.3883,,,,,,194.0000,,36725,,,,,,,,91,,,,,0,,,,,,36842,,,
2012/06/22,25.70,27.00,25.70,26.20,0.35,1.354,,,,,,253.0000,,36726,,,,,,,,59,,,,,2,,,,,,36846,,,
2012/06/25,26.25,26.25,26.05,26.05,-0.15,-0.5725,25.9100,,,,,215.0000,,36721,36731,,,,,,,38,72,,,,1,1,,,,,36838,36849,,
2012/06/26,26.00,26.25,26.00,26.00,-0.05,-0.1919,25.9700,,,,,173.0000,,36721,36726,,,,,,,42,66,,,,0,1,,,,,36835,36843,,
2012/06/27,26.00,26.20,26.00,26.00,0.00,0.00,26.0200,,,,,173.0000,,36721,36723,,71.4286,,,,,28,51,,,,0,1,,,,,36835,36840,,
2012/06/28,26.00,26.20,25.90,25.90,-0.10,-0.3846,26.0300,,,,,108.0000,,36729,36724,,60.9756,,,,,65,46,,,,0,1,,,,,36843,36840,,
2012/06/29,26.10,26.30,25.95,26.30,0.40,1.5444,26.0500,,,,,232.0000,,36757,36730,,77.0774,,51.7241,50.5747,50.1916,124,59,50.5747,50.1916,51.3410,0,0,,,,,36870,36845,,
2012/07/02,26.50,26.50,26.05,26.20,-0.10,-0.3802,26.0800,25.9950,,,,157.0000,160.8000,36743,36735,36733,68.5875,,38.4615,46.5370,48.9734,75,66,46.5370,48.9734,41.6642,0,0,0,,,,36830,36843,36846,
2012/07/03,26.20,26.30,26.05,26.25,0.05,0.1908,26.1300,26.0500,,,,260.0000,186.8000,36745,36739,36733,70.5348,,42.3077,45.1272,47.6913,103,79,45.1272,47.6913,39.9990,0,0,0,,,,36814,36839,36841,
2012/07/04,26.50,26.80,26.35,26.70,0.45,1.7143,26.2700,26.1450,,,,438.0000,220.3000,36745,36744,36734,82.3510,,76.9231,55.7258,50.3695,178,109,55.7258,50.3695,66.4385,0,0,0,,,,36796,36831,36835,
2012/07/05,26.70,26.70,26.40,26.40,-0.30,-1.1236,26.3700,26.2000,,,,308.0000,231.7000,36746,36747,36736,62.3485,66.6667,55.5556,55.6691,52.1360,130,122,55.6691,52.1360,62.7352,2,0,1,,,,36787,36820,36830,
2012/07/06,26.40,26.65,26.35,26.50,0.10,0.3788,26.4100,26.2300,,,,376.0000,244.0000,36732,36742,36736,65.6827,68.3128,66.6667,59.3349,54.5357,68,110,59.3349,54.5357,68.9335,0,0,0,,,,36771,36800,36822,
2012/07/09,26.50,26.50,26.35,26.35,-0.15,-0.566,26.4400,26.2600,,,,348.0000,257.3000,36729,36740,36737,56.6525,63.2053,50.0000,56.2233,55.0982,28,101,56.2233,55.0982,58.4735,0,0,0,,,,36768,36787,36815,
2012/07/10,26.35,26.35,26.20,26.25,-0.10,-0.3795,26.4400,26.2850,,,,280.0000,268.0000,36717,36734,36737,51.0389,59.9457,38.8889,50.4452,53.5472,68,94,50.4452,53.5472,44.2411,0,0,0,,,,36756,36776,36807,
2012/07/11,26.25,26.50,26.20,26.30,0.05,0.1905,26.3600,26.3150,,,,361.0000,286.8000,36710,36727,36736,53.7864,61.0416,41.1765,47.3556,51.4833,81,75,47.3556,51.4833,39.1001,0,0,0,,,,36749,36766,36799,
2012/07/12,26.20,26.20,25.35,25.55,-0.75,-2.8517,26.1900,26.2800,,,,102.0000,286.2000,36668,36711,36729,26.7582,42.1642,13.7931,36.1681,46.3783,259,100,36.1681,46.3783,15.7478,3,1,1,,,,36710,36751,36785,
2012/07/13,26.20,26.20,25.60,25.80,0.25,0.9785,26.0500,26.2300,,,,147.0000,277.7000,36670,36699,36721,39.0162,48.0107,31.0345,34.4569,42.4045,45,96,34.4569,42.4045,18.5618,0,1,1,,,,36709,36739,36769,
2012/07/16,26.10,26.20,26.00,26.00,0.20,0.7752,25.9800,26.2100,26.1025,,,232.0000,285.2000,36665,36686,36713,47.4580,52.2255,44.8276,37.9138,40.9076,85,107,37.9138,40.9076,31.9262,2,1,1,,,,36706,36726,36757,
2012/07/17,26.00,26.50,26.00,26.10,0.10,0.3846,25.9500,26.1950,26.1225,,,383.0000,297.5000,36674,36678,36706,51.4873,54.2486,55.5556,43.7944,41.8698,151,124,43.7944,41.8698,47.6435,0,1,1,,,,36769,36729,36752,
2012/07/18,26.10,26.35,26.05,26.20,0.10,0.3831,25.9300,26.1450,26.1450,,,424.0000,296.1000,36669,36669,36698,55.5755,56.2689,65.3846,50.9911,44.9103,41,116,50.9911,44.9103,63.1528,0,1,1,,,,36764,36732,36749,
2012/07/19,26.40,26.40,26.10,26.30,0.10,0.3817,26.0800,26.1350,26.1675,,,459.0000,311.2000,36669,36670,36691,59.6553,58.2787,82.6087,61.5303,50.4503,35,71,61.5303,50.4503,83.6904,0,0,1,,,,36764,36743,36747,
2012/07/20,26.30,26.30,26.20,26.20,-0.10,-0.3802,26.1600,26.1050,26.1675,,,410.0000,314.6000,36669,36669,36684,53.7336,55.4963,73.9130,65.6579,55.5195,49,72,65.6579,55.5195,85.9347,1,1,1,,,,36765,36754,36746,
2012/07/23,26.10,26.10,25.70,25.90,-0.30,-1.145,26.1400,26.0600,26.1600,,,313.0000,311.1000,36630,36662,36674,39.5870,47.9969,47.8261,59.7140,56.9176,97,74,59.7140,56.9176,65.3066,2,1,1,,,,36727,36758,36742,
2012/07/24,25.70,25.95,25.65,25.80,-0.10,-0.3861,26.0800,26.0150,26.1500,,,245.0000,307.6000,36633,36654,36666,35.8154,45.7489,39.1304,52.8528,55.5627,68,58,52.8528,55.5627,47.4330,0,1,1,,-0.0690,,36728,36750,36739,
2012/07/25,25.90,26.00,25.70,25.80,0.00,0.00,26.0000,25.9650,26.1400,,,245.0000,296.0000,36639,36648,36659,35.8154,45.7489,22.2222,42.6426,51.2560,55,60,42.6426,51.2560,25.4158,0,1,1,,-0.0841,,36734,36744,36738,
2012/07/26,25.65,26.00,25.65,26.00,0.20,0.7752,25.9400,26.0100,26.1450,,,277.0000,313.5000,36640,36642,36656,49.6352,51.1902,41.1765,42.1539,48.2220,32,60,42.1539,48.2220,30.0177,0,1,1,,-0.0790,,36735,36738,36740,
2012/07/27,26.05,26.05,25.85,26.00,0.00,0.00,25.9000,26.0300,26.1300,,,277.0000,326.5000,36646,36638,36654,49.6352,51.1902,41.1765,41.8281,46.0907,33,57,41.8281,46.0907,33.3029,0,0,1,,-0.0741,,36741,36733,36744,
2012/07/30,26.00,26.25,26.00,26.10,0.10,0.3846,25.9400,26.0400,26.1250,,,412.0000,344.5000,36659,36644,36653,56.3950,53.9393,60.0000,47.8854,46.6889,135,64,47.8854,46.6889,50.2784,0,0,0,,-0.0614,,36754,36739,36748,
2012/07/31,26.20,26.50,26.20,26.50,0.40,1.5326,26.0800,26.0800,26.1375,,,521.0000,358.3000,36670,36651,36653,73.4803,63.0262,100.0000,65.2569,52.8782,109,72,65.2569,52.8782,90.0143,0,0,0,,-0.0189,,36765,36746,36748,
2012/08/01,26.50,26.90,26.50,26.75,0.25,0.9434,26.2700,26.1350,26.1400,,,631.0000,379.0000,36675,36658,36653,79.5035,67.4098,88.0000,72.8380,59.5315,110,83,72.8380,59.5315,99.4509,0,0,0,,0.0346,,36770,36753,36748,
2012/08/03,26.75,26.95,26.75,26.80,0.05,0.1869,26.4300,26.1850,26.1600,,,837.0000,416.8000,36675,36665,36654,80.5630,68.2316,88.4615,78.0458,65.7029,206,118,78.0458,65.7029,102.7316,3,1,1,,0.0800,,36773,36761,36749,
2012/08/06,26.90,27.10,26.80,27.00,0.20,0.7463,26.6300,26.2650,26.1850,,,989.0000,474.7000,36676,36671,36655,84.4270,71.3807,93.1034,83.0650,71.4903,152,142,83.0650,71.4903,106.2145,0,1,1,0.2929,0.1307,-0.0157,36770,36767,36750,
2012/08/07,27.00,27.00,26.80,26.80,-0.20,-0.7407,26.7700,26.3550,26.2075,,,918.0000,535.2000,36663,36672,36658,68.1658,64.4150,79.3103,81.8135,74.9313,71,129,81.8135,74.9313,95.5777,0,1,0,0.2699,0.1530,0.0180,36757,36767,36753,
2012/08/08,26.90,26.90,26.65,26.75,-0.05,-0.1866,26.8200,26.4500,26.2325,,,815.0000,592.2000,36656,36669,36660,64.4422,62.7452,75.8621,79.8297,76.5641,103,128,79.8297,76.5641,86.3608,0,1,0,0.2347,0.1647,0.0474,36750,36764,36755,
2012/08/09,26.50,27.10,26.50,26.95,0.20,0.7477,26.8600,26.5650,26.2650,,,884.0000,656.1000,36658,36666,36662,71.8288,66.5312,88.0000,82.5531,78.5605,69,120,82.5531,78.5605,90.5384,4,2,1,0.2249,0.1880,0.0755,36765,36763,36758,
2012/08/10,26.95,27.45,26.95,27.15,0.20,0.7421,26.9300,26.6800,26.3450,,,963.0000,724.7000,36660,36663,36664,77.4500,69.8714,79.3103,81.4722,79.5310,79,94,81.4722,79.5310,85.3545,0,1,1,0.2312,0.2200,0.1044,36763,36761,36761,
2012/08/13,27.00,27.00,26.90,27.00,-0.15,-0.5525,26.9300,26.7800,26.4050,,,915.0000,788.5000,36661,36660,36666,65.6587,64.5968,64.0000,75.6481,78.2367,48,74,75.6481,78.2367,70.4709,0,1,1,0.2020,0.2306,0.1296,36764,36760,36763,
2012/08/14,27.00,27.30,26.95,27.00,0.00,0.00,26.9700,26.8700,26.4550,,,915.0000,838.8000,36653,36658,36665,65.6587,64.5968,52.6316,67.9759,74.8165,215,102,67.9759,74.8165,54.2949,9,3,2,0.1707,0.2363,0.1510,36765,36762,36764,
2012/08/15,27.00,27.20,26.80,26.80,-0.20,-0.7407,26.9800,26.9000,26.4900,,,840.0000,870.7000,36661,36659,36664,50.8072,57.6866,31.5789,55.8436,68.4922,75,97,55.8436,68.4922,30.5465,0,3,2,0.1138,0.2221,0.1652,36740,36760,36762,
2012/08/16,26.80,27.00,26.80,26.90,0.10,0.3731,26.9700,26.9150,26.5250,,,924.0000,900.0000,36658,36659,36662,56.6856,60.0195,42.1053,51.2642,62.7495,84,100,51.2642,62.7495,28.2935,0,2,2,0.0820,0.2165,0.1755,36737,36754,36759,
2012/08/17,27.00,27.10,26.95,27.05,0.15,0.5576,26.9500,26.9400,26.5625,,,1041.0000,920.4000,36652,36657,36660,64.3531,63.3279,57.8947,53.4744,59.6578,117,107,53.4744,59.6578,41.1075,0,2,1,0.0737,0.2215,0.1847,36731,36748,36754,
2012/08/20,27.05,27.10,26.90,27.05,0.00,0.00,26.9600,26.9450,26.6050,,,1041.0000,925.6000,36644,36654,36657,64.3531,63.3279,57.8947,54.9478,58.0878,191,136,54.9478,58.0878,48.6678,0,2,1,0.0613,0.2230,0.1923,36723,36739,36750,
2012/08/21,27.05,27.05,26.95,27.00,-0.05,-0.1848,26.9600,26.9650,26.6600,,,829.0000,916.7000,36686,36660,36659,59.3133,61.3151,52.6316,54.1757,56.7838,212,135,54.1757,56.7838,48.9597,8,2,2,0.0404,0.2176,0.1974,36773,36741,36751,
2012/08/22,27.00,27.70,27.00,27.70,0.70,2.5926,27.1400,27.0600,26.7550,,,1086.0000,943.8000,36688,36666,36662,82.4300,73.9569,100.0000,69.4505,61.0060,257,172,69.4505,61.0060,86.3394,0,2,2,0.1109,0.2667,0.2112,36767,36746,36753,
2012/08/23,27.90,28.25,27.70,28.25,0.55,1.9856,27.4100,27.1900,26.8775,,,1410.0000,996.4000,36679,36670,36664,88.5589,79.6555,100.0000,79.6337,67.2152,324,220,79.6337,67.2152,104.4705,7,3,3,0.2156,0.3460,0.2382,36765,36752,36753,
2012/08/24,28.25,28.30,27.90,28.20,-0.05,-0.177,27.6400,27.2950,26.9875,,,1260.0000,1026.1000,36662,36672,36665,85.3124,77.9637,93.3333,84.2002,72.8769,150,226,84.2002,72.8769,106.8469,6,4,3,0.2593,0.4002,0.2706,36747,36755,36751,
2012/08/27,28.20,28.70,28.20,28.65,0.45,1.5957,27.9600,27.4600,27.1200,,,1591.0000,1093.7000,36649,36673,36663,89.4782,81.7661,97.3684,88.5896,78.1145,331,254,88.5896,78.1145,109.5399,0,4,3,0.3255,0.4740,0.3113,36728,36756,36748,
2012/08/28,28.65,28.65,28.00,28.55,-0.10,-0.349,28.2700,27.6150,27.2425,,,1280.0000,1130.2000,36651,36666,36663,83.1865,78.4831,92.1053,89.7615,81.9968,311,274,89.7615,81.9968,105.2909,0,3,2,0.3315,0.5185,0.3527,36730,36748,36744,
2012/08/29,28.50,28.60,28.10,28.20,-0.35,-1.2259,28.3700,27.7550,27.3275,,,1170.0000,1163.2000,36663,36661,36663,64.2206,68.0506,72.2222,83.9151,82.6362,110,245,83.9151,82.6362,86.4728,0,3,2,0.2668,0.5195,0.3861,36742,36743,36745,
2012/08/30,28.20,28.40,28.00,28.20,0.00,0.00,28.3600,27.8850,27.4000,,,1170.0000,1187.8000,36662,36658,36664,64.2206,68.0506,72.2222,80.0175,81.7633,218,224,80.0175,81.7633,76.5258,10,3,3,0.2052,0.5144,0.4117,36751,36740,36746,
2012/08/31,28.20,28.20,27.95,27.95,-0.25,-0.8865,28.3100,27.9750,27.4575,,,695.0000,1153.2000,36635,36652,36662,52.0213,61.1419,57.1429,72.3926,78.6397,475,289,72.3926,78.6397,59.8983,13,5,5,0.1165,0.4845,0.4263,36727,36736,36746,
2012/09/03,26.50,27.30,26.40,27.30,-0.65,-2.3256,28.0400,28.0000,27.4725,,,93.0000,1058.4000,36648,36652,36663,32.6628,47.4719,39.1304,61.3052,72.8616,602,343,61.3052,72.8616,38.1925,6,6,5,-0.0360,0.4038,0.4218,36733,36737,36747,
2012/09/04,27.50,27.60,27.35,27.60,0.30,1.0989,27.8500,28.0600,27.5125,,,479.0000,1023.4000,36605,36643,36654,44.1695,52.7868,52.1739,58.2614,67.9949,386,358,58.2614,67.9949,38.7946,6,7,5,-0.0991,0.3599,0.4094,36690,36729,36738,
