ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/18,33.90,34.05,33.80,34.05,0.00,0.00,,,,,,0.0000,,30109,,,,,,,,337,,,,,15,,,,,,30454,,,
2012/05/21,34.05,34.05,33.50,33.60,-0.45,-1.3216,,,,,,-108.0000,,30088,,,,,,,,108,,,,,0,,,,,,30418,,,
2012/05/22,33.60,33.70,33.50,33.70,0.10,0.2976,,,,,,126.0000,,30055,,,,,,,,234,,,,,0,,,,,,30385,,,
2012/05/23,33.70,33.70,33.10,33.15,-0.55,-1.632,,,,,,-66.0000,,30006,,,,,,,,192,,,,,0,,,,,,30335,,,
2012/05/24,33.10,33.10,32.50,32.65,-0.50,-1.5083,33.4300,,,,,-1522.0000,,30008,30054,,,,,,,1456,465,,,,0,3,,,,,30337,30386,,
2012/05/25,32.60,32.95,32.60,32.75,0.10,0.3063,33.1700,,,,,-1438.0000,,30018,30036,,,,,,,84,414,,,,0,0,,,,,30347,30365,,
2012/05/28,32.70,32.70,32.65,32.65,-0.10,-0.3053,32.9800,,,,,-1532.0000,,30011,30021,,11.1111,,,,,94,412,,,,0,0,,,,,30340,30349,,
2012/05/29,32.90,33.40,32.90,33.40,0.75,2.2971,32.9200,,,,,-1371.0000,,30023,30014,,40.7407,,,,,161,397,,,,0,0,,,,,30352,30343,,
2012/05/30,33.80,33.80,33.05,33.15,-0.25,-0.7485,32.9200,,,,,-1483.0000,,29963,30006,,35.9477,,41.9355,47.3118,49.1039,112,381,47.3118,49.1039,43.7276,0,0,,,,,30295,30335,,
2012/05/31,33.15,33.30,32.90,33.25,0.10,0.3017,33.0400,33.2350,,,,-1325.0000,-871.9000,30025,30009,30032,39.3714,,48.3871,47.6703,48.6260,158,121,47.6703,48.6260,45.7587,0,0,2,,,,30357,30339,30363,
2012/06/01,33.25,33.25,33.00,33.10,-0.15,-0.4511,33.1100,33.1400,,,,-1404.0000,-1012.3000,30021,30010,30023,35.9158,,46.1538,47.1648,48.1390,79,120,47.1648,48.1390,45.2164,0,0,0,,,,30353,30340,30353,
