ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,66.00,66.40,65.20,66.00,0.00,0.00,,,,,,0.0000,,107266,,,,,,,,626,,,,,161,,,,,,115814,,,
2012/06/29,66.00,67.10,65.80,66.80,0.80,1.2121,,,,,,809.0000,,107279,,,,,,,,809,,,,,167,,,,,,115808,,,
2012/07/02,67.40,68.30,66.90,68.00,1.20,1.7964,,,,,,1701.0000,,107487,,,,,,,,892,,,,,255,,,,,,116612,,,
2012/07/03,68.40,68.50,67.70,68.10,0.10,0.1471,,,,,,2478.0000,,107390,,,,,,,,777,,,,,293,,,,,,116513,,,
2012/07/04,68.10,68.60,67.80,68.20,0.10,0.1468,67.4200,,,,,2969.0000,,107395,107364,,,,,,,491,719,,,,295,235,,,,,116520,116254,,
2012/07/05,68.20,68.30,67.90,68.20,0.00,0.00,67.8600,,,,,2969.0000,,107492,107410,,,,,,,496,693,,,,299,263,,,,,116620,116415,,
2012/07/06,68.20,68.20,67.50,67.90,-0.30,-0.4399,68.0800,,,,,2558.0000,,107724,107498,,88.0000,,,,,411,613,,,,297,289,,,,,116750,116604,,
2012/07/09,67.90,67.90,67.40,67.90,0.00,0.00,68.0600,,,,,2558.0000,,107732,107547,,88.0000,,,,,282,491,,,,358,309,,,,,116819,116645,,
2012/07/10,68.40,69.10,66.30,66.90,-1.00,-1.4728,67.8200,,,,,934.0000,,107730,107615,,55.8376,,43.5897,47.8632,49.2877,1624,660,47.8632,49.2877,45.0142,504,352,,,,,116609,116664,,
2012/07/11,67.30,68.30,66.90,68.00,1.10,1.6442,67.7800,67.6000,,,,2458.0000,1943.4000,107854,107707,107536,70.2096,,66.6667,54.1311,50.9022,1524,867,54.1311,50.9022,60.5888,498,392,314,,,,116198,116600,116427,
2012/07/12,68.00,69.30,68.00,69.00,1.00,1.4706,67.9400,67.9000,,,,4932.0000,2436.6000,107843,107777,107593,78.0148,,90.0000,66.0874,55.9639,2474,1263,66.0874,55.9639,86.3343,756,484,373,,,,116490,116574,116495,
2012/07/13,69.00,69.20,66.60,66.60,-2.40,-3.4783,67.6800,67.8800,,,,3111.0000,2666.8000,107170,107666,107582,44.4638,,10.0000,47.3916,53.1065,1821,1545,47.3916,53.1065,35.9618,704,565,427,,,,115844,116392,116498,
2012/07/16,66.60,67.30,65.60,66.30,-0.30,-0.4505,67.3600,67.7100,,,,1930.0000,2689.7000,107065,107533,107540,41.7693,51.8072,18.9189,37.9007,48.0379,1181,1724,37.9007,48.0379,17.6263,613,616,463,,,,115648,116158,116402,
2012/07/17,66.00,67.60,65.70,67.40,1.10,1.6591,67.4600,67.6400,,,,4697.0000,2911.6000,106652,107317,107466,54.0274,57.8947,48.6486,41.4833,45.8530,2767,1953,41.4833,45.8530,32.7440,889,693,522,,,,115503,115937,116301,
2012/07/18,64.90,65.60,64.40,64.40,-3.00,-4.451,66.7400,67.2600,,,,2821.0000,2896.8000,106599,107066,107387,31.9889,42.0803,0.0000,27.6556,39.7872,1876,2023,27.6556,39.7872,3.3923,776,749,570,,,,115337,115765,116182,
2012/07/19,65.00,65.60,64.80,65.00,0.60,0.9317,65.9400,66.9400,,,,3671.0000,2967.0000,106603,106818,107298,38.0534,45.3381,12.2449,22.5187,34.0310,850,1699,22.5187,34.0310,-0.5060,764,750,617,,,,115329,115533,116053,
2012/07/20,65.10,65.60,64.60,64.60,-0.40,-0.6154,65.5400,66.6100,,,,2930.0000,3004.2000,106499,106684,107175,35.5196,43.5563,4.0816,16.3730,28.1450,741,1483,16.3730,28.1450,-7.1711,831,776,670,,,,115329,115430,115911,
2012/07/23,65.00,65.50,64.20,64.60,0.00,0.00,65.2000,66.2800,,,,2930.0000,3041.4000,106485,106568,107051,35.5196,43.5563,7.8431,13.5297,23.2732,883,1423,13.5297,23.2732,-5.9574,825,818,717,,,,115277,115355,115757,
2012/07/24,64.60,64.70,63.80,64.60,0.00,0.00,64.6400,66.0500,,,,2930.0000,3241.0000,106470,106532,106925,35.5196,43.5563,14.5455,13.8683,20.1383,494,968,13.8683,20.1383,1.3283,807,802,747,,,,115244,115304,115620,
2012/07/25,64.20,65.40,64.20,65.20,0.60,0.9288,64.8000,65.7700,66.6850,,,4119.0000,3407.1000,106465,106505,106786,45.0103,47.5689,25.9259,17.8875,19.3880,1189,831,17.8875,19.3880,14.8865,818,810,779,,,,115250,115286,115526,
2012/07/26,65.70,66.00,65.10,65.20,0.00,0.00,64.8400,65.3900,66.6450,,,4119.0000,3325.8000,106295,106443,106631,45.0103,47.5689,36.8421,24.2057,20.9939,999,861,24.2057,20.9939,30.6293,811,819,785,,,,115104,115241,115387,
2012/07/27,66.00,66.20,65.40,65.70,0.50,0.7669,65.0600,65.3000,66.5900,,,5010.0000,3515.7000,106294,106402,106543,53.2648,51.0220,50.0000,32.8038,24.9305,891,891,32.8038,24.9305,48.5503,825,818,797,,,,115148,115205,115317,
2012/07/30,66.20,67.80,66.00,66.60,0.90,1.3699,65.4600,65.3300,66.5200,,,7043.0000,4027.0000,106305,106366,106467,64.7079,56.6307,70.0000,45.2025,31.6879,2033,1121,45.2025,31.6879,72.2319,876,828,823,,,,115210,115192,115274,
2012/07/31,66.60,67.30,66.40,66.60,0.00,0.00,65.8600,65.2500,66.4450,,,7043.0000,4261.6000,106436,106360,106446,64.7079,56.6307,70.0000,53.4684,38.9480,1165,1255,53.4684,38.9480,82.5090,818,831,816,,,,115283,115199,115252,
2012/08/01,66.40,67.00,66.10,66.20,-0.40,-0.6006,66.0600,65.4300,66.3450,,,6212.0000,4600.7000,106488,106364,106435,55.9417,53.3965,60.0000,55.6456,44.5139,831,1183,55.6456,44.5139,77.9090,857,838,824,,,,115334,115216,115251,
2012/08/03,66.30,68.00,66.00,67.80,1.60,2.4169,66.5800,65.7100,66.3250,,,7803.0000,5013.9000,106845,106474,106459,73.3025,62.6936,95.2381,68.8431,52.6236,1591,1302,68.8431,52.6236,101.2820,831,842,831,,-0.3671,,115924,115380,115311,
2012/08/06,68.50,69.00,67.60,67.80,0.00,0.00,67.0000,66.0300,66.3200,,,7803.0000,5501.2000,106876,106590,106496,73.3025,62.6936,76.9231,71.5364,58.9279,1635,1451,71.5364,58.9279,96.7535,860,849,834,,-0.2166,,116175,115586,115395,
2012/08/07,68.00,68.50,67.60,67.90,0.10,0.1475,67.2600,66.3600,66.3200,,,9282.0000,6136.4000,106670,106663,106515,74.2168,63.2390,77.0833,73.3854,63.7470,1479,1340,73.3854,63.7470,92.6621,871,848,838,,-0.0883,,116289,115802,115497,
2012/08/08,68.10,70.00,67.70,69.10,1.20,1.7673,67.7600,66.8100,66.4300,,,13172.0000,7160.6000,107499,106876,106618,82.7328,69.1449,81.6327,76.1345,67.8762,3890,1885,76.1345,67.8762,92.6510,942,873,852,,0.1089,,117125,116170,115685,
2012/08/09,69.70,70.00,68.30,69.20,0.10,0.1447,68.3600,67.2100,66.4900,,,15963.0000,8345.0000,107664,107111,106738,83.2849,69.5891,82.6087,78.2925,71.3483,2791,2277,78.2925,71.3483,92.1810,1162,934,886,,0.2702,,117712,116646,115931,
2012/08/10,69.20,69.70,67.70,68.30,-0.90,-1.3006,68.4600,67.5200,66.4550,,,14012.0000,9334.3000,107609,107264,106869,61.9076,60.9718,57.5000,71.3617,71.3528,1951,2349,71.3617,71.3528,71.3796,1279,1024,933,,0.3217,,117736,117008,116194,
2012/08/13,68.80,68.80,67.30,67.80,-0.50,-0.7321,68.4600,67.7300,66.5150,,,12815.0000,10114.8000,107353,107359,106975,52.8620,56.7154,45.0000,62.5745,68.4267,1197,2261,62.5745,68.4267,50.8701,1270,1106,978,,0.3185,,117383,117250,116418,
2012/08/14,67.80,68.80,67.60,67.90,0.10,0.1475,68.4600,67.8600,66.5950,,,14106.0000,10821.1000,107033,107432,107047,54.4590,57.3648,47.5000,57.5496,64.8010,1291,2224,57.5496,64.8010,43.0469,1288,1189,1019,,0.3203,,116900,117372,116587,
2012/08/15,67.70,68.40,67.50,67.90,0.00,0.00,68.2200,67.9900,66.6200,,,14106.0000,11527.4000,107004,107333,107104,54.4590,57.3648,47.5000,54.1998,61.2673,994,1644,54.1998,61.2673,40.0648,1306,1262,1068,0.4172,0.3181,0.1095,116848,117317,116743,
2012/08/16,68.00,68.40,67.90,68.30,0.40,0.5891,68.0400,68.2000,66.8150,,,15362.0000,12442.4000,106819,107164,107137,61.8950,60.2067,37.0370,48.4789,57.0045,1256,1337,48.4789,57.0045,31.4277,1363,1302,1118,0.3762,0.3447,0.1566,116450,117064,116855,
2012/08/17,68.60,69.00,67.90,68.30,0.00,0.00,68.0400,68.2500,66.9800,,,15362.0000,13198.3000,106793,107001,107132,61.8950,60.2067,37.0370,44.6649,52.8913,878,1123,44.6649,52.8913,28.2122,1440,1334,1179,0.3280,0.3615,0.1975,116299,116777,116892,
2012/08/20,68.60,69.10,68.20,68.20,-0.10,-0.1464,68.1200,68.2900,67.1600,,,14719.0000,13889.9000,106767,106883,107121,58.4587,59.0359,33.3333,40.8877,48.8901,643,1012,40.8877,48.8901,24.8830,1509,1382,1244,0.2642,0.3626,0.2306,116342,116568,116909,
2012/08/21,68.50,68.90,68.10,68.10,-0.10,-0.1466,68.1600,68.3100,67.3350,,,14019.0000,14363.6000,106900,106857,107144,54.8074,57.8096,29.6296,37.1350,44.9717,700,894,37.1350,44.9717,21.4616,1452,1415,1302,0.1934,0.3514,0.2547,116362,116461,116916,
2012/08/22,68.20,68.40,67.80,68.00,-0.10,-0.1468,68.1800,68.2000,67.5050,,,13462.0000,14392.6000,106914,106839,107086,50.9858,56.5285,29.1667,34.4789,41.4741,557,806,34.4789,41.4741,20.4885,1431,1440,1351,0.1214,0.3306,0.2699,116314,116354,116835,
2012/08/23,68.10,68.40,67.90,67.90,-0.10,-0.1471,68.1000,68.0700,67.6400,,,12982.0000,14094.5000,106930,106861,107012,47.0492,55.1942,33.3333,34.0970,39.0151,480,651,34.0970,39.0151,24.2609,1443,1456,1379,0.0523,0.3026,0.2765,116342,116333,116698,
2012/08/24,67.90,68.20,67.90,68.00,0.10,0.1473,68.0400,68.0400,67.7800,,,13576.0000,14050.9000,106909,106884,106942,51.5392,56.3190,31.2500,33.1480,37.0594,594,594,33.1480,37.0594,25.3253,1432,1454,1394,0.0140,0.2852,0.2782,116310,116335,116556,
2012/08/27,68.30,68.30,66.50,67.00,-1.00,-1.4706,67.8000,67.9600,67.8450,,,12721.0000,14041.5000,106904,106912,106897,25.5453,44.2116,19.2308,28.5089,34.2093,855,637,28.5089,34.2093,17.1083,1326,1418,1400,-0.1435,0.1885,0.2603,116199,116306,116437,
2012/08/28,67.00,67.00,65.30,65.30,-1.70,-2.5373,67.2400,67.7000,67.7800,,,11349.0000,13765.8000,106751,106882,106869,12.5908,31.6093,0.0000,19.0060,29.1415,1372,771,19.0060,29.1415,-1.2651,1302,1388,1401,-0.4564,-0.0250,0.2032,115962,116226,116343,
2012/08/29,65.30,66.00,64.80,65.80,0.50,0.7657,66.8000,67.4900,67.7400,,,12609.0000,13616.1000,106440,106787,106813,25.8605,37.3401,23.2558,20.4226,26.2352,1260,912,20.4226,26.2352,8.7974,1316,1365,1402,-0.5685,-0.1521,0.1321,115363,116036,116195,
