ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,51.40,51.40,51.00,51.10,0.00,0.00,,,,,,0.0000,,5464,,,,,,,,30,,,,,0,,,,,,8131,,,
2012/06/29,51.40,51.80,51.40,51.70,0.60,1.1742,,,,,,151.0000,,5467,,,,,,,,151,,,,,0,,,,,,8134,,,
2012/07/02,52.20,52.80,52.10,52.60,0.90,1.7408,,,,,,225.0000,,5466,,,,,,,,74,,,,,0,,,,,,8924,,,
2012/07/03,52.80,53.00,52.40,52.60,0.00,0.00,,,,,,225.0000,,5474,,,,,,,,149,,,,,0,,,,,,8919,,,
2012/07/04,52.80,53.00,52.40,52.40,-0.20,-0.3802,52.0800,,,,,-54.0000,,5474,5469,,,,,,,279,136,,,,3,1,,,,,8923,8607,,
2012/07/05,49.20,50.00,49.20,49.70,-2.70,-5.1527,51.8000,,,,,-249.0000,,5474,5471,,,,,,,195,169,,,,1,1,,,,,8920,8765,,
2012/07/06,50.00,50.00,49.20,49.25,-0.45,-0.9054,51.3100,,,,,-321.0000,,5468,5472,,30.9278,,,,,72,153,,,,0,1,,,,,8912,8920,,
2012/07/09,49.30,49.55,48.80,48.90,-0.35,-0.7107,50.5700,,,,,-515.0000,,5344,5447,,28.4630,,,,,194,177,,,,0,1,,,,,8788,8893,,
2012/07/10,48.90,49.00,47.90,47.90,-1.00,-2.045,49.6300,,,,,-784.0000,,5174,5387,,22.3547,,0.0000,33.3333,44.4444,269,201,33.3333,44.4444,11.1111,0,1,,,,,8618,8833,,
2012/07/11,47.10,47.50,47.10,47.50,-0.40,-0.8351,48.6500,50.3650,,,,-912.0000,-223.4000,5140,5320,5395,20.2670,,6.7797,24.4821,37.7903,128,171,24.4821,37.7903,-2.1343,0,0,1,,,,8574,8763,8685,
2012/07/12,48.50,48.50,47.55,48.00,0.50,1.0526,48.3100,50.0550,,,,-822.0000,-305.6000,5117,5249,5360,30.0640,,15.2542,21.4062,32.3289,90,150,21.4062,32.3289,-0.4394,0,0,1,,,,8541,8687,8726,
2012/07/13,47.70,47.75,47.50,47.75,-0.25,-0.5208,48.0100,49.6600,,,,-863.0000,-407.0000,5090,5173,5323,27.9998,,11.0169,17.9431,27.5337,41,144,17.9431,27.5337,-1.2381,0,0,1,,,,8514,8608,8764,
2012/07/16,48.50,48.50,47.75,47.75,0.00,0.00,47.7800,49.1750,,,,-863.0000,-515.8000,5063,5117,5282,27.9998,27.2109,11.0169,15.6344,23.5672,40,113,15.6344,23.5672,-0.2313,0,0,1,,,,8487,8547,8720,
