ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/05/16,19.85,19.85,19.70,19.70,0.00,0.00,,,,,,0.0000,,55,,,,,,,,20,,,,,0,,,,,,55,,,
2012/05/17,19.70,20.00,19.70,19.70,0.00,0.00,,,,,,0.0000,,55,,,,,,,,15,,,,,0,,,,,,55,,,
2012/05/18,19.70,19.70,19.35,19.60,-0.10,-0.5076,,,,,,-38.0000,,55,,,,,,,,38,,,,,0,,,,,,55,,,
2012/05/21,18.25,19.90,18.25,19.90,0.30,1.5306,,,,,,-28.0000,,55,,,,,,,,10,,,,,0,,,,,,55,,,
2012/05/22,19.60,20.00,19.20,19.75,-0.15,-0.7538,19.7300,,,,,-49.0000,,55,56,,,,,,,21,20,,,,0,0,,,,,55,56,,
2012/05/23,19.60,19.75,19.20,19.75,0.00,0.00,19.7400,,,,,-49.0000,,55,56,,,,,,,16,20,,,,0,0,,,,,55,56,,
2012/05/24,19.35,19.65,19.35,19.60,-0.15,-0.7595,19.7200,,,,,-73.0000,,55,56,,42.8571,,,,,24,21,,,,0,0,,,,,55,56,,
2012/05/25,19.75,19.75,19.20,19.60,0.00,0.00,19.7200,,,,,-73.0000,,55,56,,42.8571,,,,,21,18,,,,0,0,,,,,55,56,,
2012/05/28,19.25,19.60,19.25,19.60,0.00,0.00,19.6600,,,,,-73.0000,,55,56,,42.8571,,77.1429,59.0476,53.0159,5,17,59.0476,53.0159,71.1111,0,0,,,,,55,56,,
2012/05/29,19.55,20.20,19.55,20.20,0.60,3.0612,19.7500,19.7400,,,,-5.0000,-38.8000,55,56,56,76.9691,,100.0000,72.6984,59.5767,68,26,72.6984,59.5767,98.9418,0,0,0,,,,55,56,56,
2012/05/30,20.30,20.30,19.30,20.10,-0.10,-0.495,19.8200,19.7800,,,,-45.0000,-43.3000,55,56,56,68.7598,,90.2439,78.5469,65.9001,40,31,78.5469,65.9001,103.8405,0,0,0,,,,55,56,56,
2012/05/31,19.65,20.00,19.40,20.00,-0.10,-0.4975,19.9000,19.8100,,,,-63.0000,-49.6000,55,56,56,60.9578,,85.3659,80.8199,70.8734,18,30,80.8199,70.8734,100.7129,0,0,0,,,,55,56,56,
2012/06/01,19.65,19.85,19.30,19.85,-0.15,-0.75,19.9500,19.8350,,,,-87.0000,-54.5000,55,56,56,50.6193,54.5455,59.0909,73.5769,71.7745,24,31,73.5769,71.7745,77.1816,0,0,0,,,,55,56,56,
2012/06/04,19.30,19.45,18.50,19.25,-0.60,-3.0227,19.8800,19.7700,,,,-194.0000,-71.1000,55,56,56,27.9035,39.0533,41.6667,62.9402,68.8298,107,51,62.9402,68.8298,51.1610,0,0,0,,,,55,56,56,
2012/06/05,19.30,19.30,18.90,18.90,-0.35,-1.8182,19.6200,19.6850,,,,-213.0000,-87.5000,55,56,56,21.2334,33.0752,22.2222,49.3675,62.3423,19,41,49.3675,62.3423,23.4179,0,0,0,,,,55,56,56,
2012/06/06,18.90,19.10,18.00,18.00,-0.90,-4.7619,19.2000,19.5100,,,,-240.0000,-106.6000,55,56,56,12.2199,23.1391,0.0000,32.9117,52.5321,27,39,32.9117,52.5321,-6.3292,0,0,0,,,,55,56,56,
2012/06/07,18.35,18.70,18.35,18.65,0.65,3.6111,18.9300,19.4150,,,,-207.0000,-120.0000,55,56,56,35.8285,37.8493,28.2609,31.3614,45.4752,33,42,31.3614,45.4752,3.1338,0,0,0,,,,55,56,56,
2012/06/08,18.80,18.85,18.30,18.30,-0.35,-1.8767,18.6200,19.2850,,,,-227.0000,-135.4000,55,56,56,30.5239,34.0242,13.0435,25.2554,38.7353,20,41,25.2554,38.7353,-1.7043,0,0,0,,,,55,56,56,
2012/06/11,18.70,18.80,18.45,18.75,0.45,2.459,18.5200,19.2000,,,,-215.0000,-149.6000,55,56,56,43.4430,42.2151,32.6087,27.7065,35.0590,12,22,27.7065,35.0590,13.0015,0,0,0,,,,55,56,56,
2012/06/12,18.65,18.85,18.65,18.70,-0.05,-0.2667,18.4800,19.0500,19.3950,,,-235.0000,-172.6000,55,56,56,42.3920,41.5892,35.0000,30.1377,33.4186,20,22,30.1377,33.4186,23.5759,0,0,0,,,,55,56,56,
2012/06/13,19.00,19.00,18.75,19.00,0.30,1.6043,18.6800,18.9400,19.3600,,,-208.0000,-188.9000,55,56,56,50.9382,46.7560,54.0541,38.1098,34.9823,27,22,38.1098,34.9823,44.3648,0,0,0,,,,55,56,56,
2012/06/14,19.00,19.15,18.90,19.00,0.00,0.00,18.7500,18.8400,19.3250,,,-208.0000,-203.4000,55,56,56,50.9382,46.7560,68.9655,48.3950,39.4532,5,16,48.3950,39.4532,66.2787,0,0,0,,,,55,56,56,
2012/06/15,19.15,19.25,19.00,19.25,0.25,1.3158,18.9400,18.7800,19.3075,,,-195.0000,-214.2000,55,56,56,58.3524,51.0501,96.1538,64.3146,47.7404,13,15,64.3146,47.7404,97.4632,0,0,0,,,,55,56,56,
2012/06/18,19.80,20.10,19.55,19.75,0.50,2.5974,19.1400,18.8300,19.3000,,,-131.0000,-207.9000,55,56,56,69.4372,58.3746,83.3333,70.6542,55.3783,64,25,70.6542,55.3783,101.2060,0,0,0,,,,55,56,56,
2012/06/19,19.40,19.75,19.35,19.75,0.00,0.00,19.3500,18.9150,19.3000,,,-131.0000,-199.7000,55,56,56,69.4372,58.3746,80.5556,73.9547,61.5704,14,24,73.9547,61.5704,98.7231,0,0,0,,,,55,56,56,
2012/06/20,19.50,19.75,19.35,19.75,0.00,0.00,19.5000,19.0900,19.3000,,,-131.0000,-188.8000,55,56,56,69.4372,58.3746,80.5556,76.1550,66.4319,25,24,76.1550,66.4319,95.6010,0,0,0,,-0.0430,,55,56,56,
2012/06/21,19.40,19.75,19.40,19.55,-0.20,-1.0127,19.6100,19.1800,19.2975,,,-143.0000,-182.4000,55,56,56,58.6479,54.1656,66.6667,72.9922,68.6187,12,25,72.9922,68.6187,81.7392,0,0,0,,-0.0203,,55,56,56,
2012/06/22,19.55,19.65,19.40,19.40,-0.15,-0.7673,19.6400,19.2900,19.2875,,,-151.0000,-174.8000,55,56,56,51.4526,51.1482,51.7241,65.9028,67.7134,8,24,65.9028,67.7134,62.2817,0,0,0,,-0.0142,,55,56,56,
2012/06/25,19.85,20.00,19.50,19.70,0.30,1.5464,19.6300,19.3850,19.2925,,,-135.0000,-166.8000,55,56,56,62.4957,56.4423,70.3704,67.3920,67.6063,16,15,67.3920,67.6063,66.9635,0,0,0,,0.0146,,55,56,56,
2012/06/26,19.50,19.55,19.45,19.45,-0.25,-1.269,19.5700,19.4600,19.2550,,,-138.0000,-157.1000,55,56,56,50.9142,51.3804,45.8333,60.2058,65.1394,3,12,60.2058,65.1394,50.3385,0,0,0,,0.0171,,55,56,56,
2012/06/27,19.45,19.80,19.45,19.75,0.30,1.5424,19.5700,19.5350,19.2375,,,-117.0000,-148.0000,55,56,56,61.2538,56.4888,68.1818,62.8645,64.3811,21,12,62.8645,64.3811,59.8312,0,0,0,,0.0428,,55,56,56,
2012/06/28,19.50,20.15,19.50,20.10,0.35,1.7722,19.6800,19.6450,19.2425,,,-84.0000,-135.6000,55,56,56,70.0779,61.6210,93.7500,73.1596,67.3073,33,16,73.1596,67.3073,84.8643,0,0,0,,0.0904,,55,56,56,
