ら戳,秨絃,程蔼,程,Μ絃,害禴,害禴%," А基5"," А基10"," А基20"," А基60"," А基120"," OBV"," А絬10"," 戈畐"," А秖5"," А秖10"," RSI 6"," RSI 12"," RSV"," K9"," D9"," Θユ秖"," А秖5"," K(9,3,3)"," D(9,3,3)"," J"," 犁坝畐"," А秖5"," А秖10"," OSC"," DIF"," MACD"," 猭畐"," А秖5"," А秖10",
2012/06/28,29.40,29.40,28.85,29.00,0.00,0.00,,,,,,0.0000,,19,,,,,,,,54,,,,,0,,,,,,19,,,
2012/06/29,28.80,29.10,28.80,29.05,0.05,0.1724,,,,,,97.0000,,19,,,,,,,,97,,,,,0,,,,,,19,,,
2012/07/02,29.10,29.35,29.00,29.25,0.20,0.6885,,,,,,198.0000,,19,,,,,,,,101,,,,,0,,,,,,19,,,
2012/07/03,29.40,29.50,29.30,29.40,0.15,0.5128,,,,,,281.0000,,19,,,,,,,,83,,,,,0,,,,,,19,,,
2012/07/04,29.40,29.80,29.35,29.50,0.10,0.3401,29.2400,,,,,368.0000,,19,19,,,,,,,87,84,,,,0,0,,,,,19,19,,
2012/07/05,29.50,29.75,29.30,29.50,0.00,0.00,29.3400,,,,,368.0000,,19,19,,,,,,,48,83,,,,0,0,,,,,19,19,,
2012/07/06,29.50,29.70,29.20,29.40,-0.10,-0.339,29.4100,,,,,290.0000,,19,19,,83.3333,,,,,78,79,,,,0,0,,,,,19,19,,
2012/07/09,28.60,29.40,28.60,29.40,0.00,0.00,29.4400,,,,,290.0000,,19,19,,83.3333,,,,,58,70,,,,0,0,,,,,19,19,,
2012/07/10,29.35,29.55,28.95,29.20,-0.20,-0.6803,29.4000,,,,,142.0000,,19,19,,56.3063,,50.0000,50.0000,50.0000,148,83,50.0000,50.0000,50.0000,0,0,,,,,19,19,,
2012/07/11,28.95,29.45,28.95,29.45,0.25,0.8562,29.3900,29.3150,,,,225.0000,225.9000,19,19,19,70.6061,,70.8333,56.9444,52.3148,83,83,56.9444,52.3148,66.2037,0,0,0,,,,19,19,19,
2012/07/12,29.15,29.40,29.10,29.35,-0.10,-0.3396,29.3600,29.3500,,,,201.0000,246.0000,19,19,19,61.0203,,62.5000,58.7963,54.4753,24,78,58.7963,54.4753,67.4383,0,0,0,,,,19,19,19,
2012/07/13,29.35,29.40,29.05,29.15,-0.20,-0.6814,29.3100,29.3600,,,,145.0000,250.8000,19,19,19,46.0241,,45.8333,54.4753,54.4753,56,73,54.4753,54.4753,54.4753,0,0,0,,,,19,19,19,
2012/07/16,29.00,29.30,29.00,29.10,-0.05,-0.1715,29.2500,29.3450,,,,94.0000,240.4000,19,19,19,42.8639,53.5714,41.6667,50.2058,53.0521,51,72,50.2058,53.0521,44.5130,0,0,0,,,,19,19,19,
2012/07/17,29.00,29.35,29.00,29.15,0.05,0.1718,29.2400,29.3200,,,,139.0000,226.2000,19,19,19,47.2134,55.3125,47.8261,49.4125,51.8389,45,51,49.4125,51.8389,44.5598,0,0,0,,,,19,19,19,
2012/07/18,29.15,29.15,29.10,29.15,0.00,0.00,29.1800,29.2850,,,,139.0000,203.3000,19,19,19,47.2134,55.3125,50.0000,49.6084,51.0954,19,39,49.6084,51.0954,46.6343,0,0,0,,,,19,19,19,
2012/07/19,29.30,29.30,29.15,29.20,0.05,0.1715,29.1500,29.2550,,,,255.0000,192.0000,19,19,19,52.4282,57.2216,63.1579,54.1249,52.1052,116,57,54.1249,52.1052,58.1642,0,0,0,,,,19,19,19,
2012/07/20,29.15,29.40,29.15,29.20,0.00,0.00,29.1600,29.2350,,,,255.0000,188.5000,19,19,19,52.4282,57.2216,41.6667,49.9721,51.3942,63,58,49.9721,51.3942,47.1280,0,0,0,,,,19,19,19,
2012/07/23,29.10,29.30,29.10,29.25,0.05,0.1712,29.1900,29.2200,,,,307.0000,190.2000,19,19,19,58.3529,59.2913,60.0000,53.3148,52.0344,52,59,53.3148,52.0344,55.8755,0,0,0,,,,19,19,19,
2012/07/24,29.25,29.40,29.25,29.35,0.10,0.3419,29.2300,29.2350,,,,409.0000,216.9000,19,19,19,67.9366,63.1783,87.5000,64.7098,56.2595,102,70,64.7098,56.2595,81.6104,0,0,0,,,,19,19,19,
2012/07/25,29.35,29.35,29.20,29.20,-0.15,-0.5111,29.2400,29.2100,29.2625,,,372.0000,231.6000,19,19,19,48.0385,54.6410,50.0000,59.8066,57.4419,37,74,59.8066,57.4419,64.5359,0,0,0,,,,19,19,19,
2012/07/26,29.40,29.40,29.15,29.20,0.00,0.00,29.2400,29.1950,29.2725,,,372.0000,248.7000,19,19,19,48.0385,54.6410,50.0000,56.5377,57.1405,80,66,56.5377,57.1405,55.3321,0,0,0,,,,19,19,19,
